fitness,matches,expression
-42.0,2,(1 - neg(n))
-41.0,2,(n - (sin((pi / n)) - n))
-41.0,2,((n + n) - sin((pi / n)))
-41.0,2,(n - (sin(n) / sin(neg(n))))
-41.0,2,((cos(neg(n)) / cos(n)) + n)
-41.0,2,(n - (cos(n) / neg(cos(n))))
-41.0,2,(n + (cos(n) / cos(neg(n))))
-41.0,2,(n + (cos(neg(n)) / cos(n)))
-41.0,2,((cos(n) / cos(neg(n))) + n)
-41.0,2,(sin((asin(cos(n)) + n)) + n)
-41.0,2,(sin((n + asin(cos(n)))) + n)
-41.0,2,(n + sin((asin(cos(n)) + n)))
-41.0,2,(n - (sin(neg(n)) / sin(n)))
-41.0,2,(n + sin((n + asin(cos(n)))))
-41.0,2,(n - (atan(n) / neg(atan(n))))
-41.0,2,(n - (atan(n) / atan(neg(n))))
-41.0,2,(n - (sin(n) / neg(sin(n))))
-41.0,2,(n - (atan(neg(n)) / atan(n)))
-41.0,2,(n - (tan(neg(atan(n))) / n))
-41.0,2,(n - (n / tan(neg(atan(n)))))
-41.0,2,(n - (tan(neg(n)) / tan(n)))
-41.0,2,(n - (tan(n) / tan(neg(n))))
-41.0,2,(n - (tan(n) / neg(tan(n))))
-40.0,2,(n + sin(acos(sin((n * pi)))))
-40.0,2,(n - cos((n - (pi + n))))
-40.0,2,(n - cos((n / (n / pi))))
-40.0,2,(n - cos((n - (n - pi))))
-40.0,2,(n + cos(tan(sin((pi * n)))))
-40.0,2,((tan(n) * tan(asin(cos(n)))) + n)
-40.0,2,(cos(tan(tan((n * pi)))) + n)
-40.0,2,(n - cos((n * (pi / n))))
-40.0,2,(n - cos((n + (pi - n))))
-40.0,2,(cos(tan(tan((pi * n)))) + n)
-40.0,2,(n + cos(tan(tan((n * pi)))))
-40.0,2,(neg(sin((pi / n))) + (n + n))
-40.0,2,(n - cos((n - (n + pi))))
-40.0,2,(cos(sin(sin((n * pi)))) + n)
-40.0,2,(n - cos(((n - pi) - n)))
-40.0,2,(sin(acos(tan((pi * n)))) + n)
-40.0,2,((n + sin((pi / neg(n)))) + n)
-40.0,2,(sin(acos(sin((pi * n)))) + n)
-40.0,2,(cos(tan(sin((pi * n)))) + n)
-40.0,2,(n + (n + sin(neg((pi / n)))))
-40.0,2,(cos(tan(sin((n * pi)))) + n)
-40.0,2,(n - cos(((pi - n) + n)))
-40.0,2,((n + neg(sin((pi / n)))) + n)
-40.0,2,(n + sin(acos(sin((pi * n)))))
-40.0,2,(cos(atan(sin((pi * n)))) + n)
-40.0,2,((tan(asin(cos(n))) * tan(n)) + n)
-40.0,2,(sin(acos(sin((n * pi)))) + n)
-40.0,2,((n * tan(asin(cos(atan(n))))) + n)
-40.0,2,(n + cos((tan(n) + tan(neg(n)))))
-40.0,2,(cos(sin(neg((n * pi)))) + n)
-40.0,2,((n + sin(neg((pi / n)))) + n)
-40.0,2,((neg(tan(neg(atan(n)))) / n) + n)
-40.0,2,(neg((neg(tan(n)) / tan(n))) + n)
-40.0,2,((neg(tan(n)) / tan(neg(n))) + n)
-40.0,2,neg(((neg(cos(n)) / cos(n)) - n))
-40.0,2,(n + cos(asin(tan((n * pi)))))
-40.0,2,(n + cos((neg(atan(n)) + atan(n))))
-40.0,2,(n + cos(sin(tan((pi * n)))))
-40.0,2,(cos(atan(sin((n * pi)))) + n)
-40.0,2,(n + cos(asin(tan((pi * n)))))
