run,fitness,matches,elapsed_time_seconds,expression,is_new_best
1,-123.0,3,398.82770919799805,"(((n + (nroot((n ** (n * n)), n) / n)) / (n + n)) + n)",True
2,-123.0,3,446.7703242301941,"(((n + (nroot(((n ** n) ** n), n) / n)) / (n + n)) + n)",False
3,-283.0,4,441.23938393592834,(((n - n) ** log_{3}(n)) + ((n - (n / n)) + n)),True
4,-123.0,3,442.58134937286377,"((((nroot((n ** (n * n)), n) / n) + n) / (n + n)) + n)",False
5,-123.0,3,442.19127225875854,"(((n + (nroot(((n ** n) ** n), n) / n)) / (n + n)) + n)",False
6,-283.0,4,441.2154586315155,(((n - n) ** log_{3}(n)) + ((n - (n / n)) + n)),False
7,-123.0,3,457.436785697937,"(((n + (nroot((n ** (n * n)), n) / n)) / (n + n)) + n)",False
8,-123.0,3,451.2023482322693,"(((n + (nroot(((n ** n) ** n), n) / n)) / (n + n)) + n)",False
9,-123.0,3,452.2075481414795,"((((nroot((n ** (n * n)), n) / n) + n) / (n + n)) + n)",False
10,-123.0,3,445.9964368343353,"(n + (((nroot((n ** (n * n)), n) / n) + n) / (n + n)))",False
11,-123.0,3,454.50334453582764,"((((nroot(((n ** n) ** n), n) / n) + n) / (n + n)) + n)",False
12,-123.0,3,445.29629373550415,"(((n + (nroot(((n ** n) ** n), n) / n)) / (n + n)) + n)",False
13,-123.0,3,456.1582510471344,"(n + (((nroot((n ** (n * n)), n) / n) + n) / (n + n)))",False
14,-283.0,4,444.9949457645416,(((n - n) ** log_{3}(n)) + ((n - (n / n)) + n)),False
15,-123.0,3,451.21400785446167,"((((nroot((n ** (n * n)), n) / n) + n) / (n + n)) + n)",False
16,-123.0,3,453.3762164115906,"((((nroot(((n ** n) ** n), n) / n) + n) / (n + n)) + n)",False
17,-123.0,3,446.71991062164307,"(n + (((nroot((n ** (n * n)), n) / n) + n) / (n + n)))",False
18,-283.0,4,444.28182101249695,(((n - n) ** log_{3}(n)) + ((n - (n / n)) + n)),False
19,-123.0,3,444.83623933792114,"(n + (((nroot((n ** (n * n)), n) / n) + n) / (n + n)))",False
20,-283.0,4,444.11858344078064,(((n - n) ** log_{3}(n)) + ((n - (n / n)) + n)),False
21,-123.0,3,441.22299575805664,"((((nroot((n ** (n * n)), n) / n) + n) / (n + n)) + n)",False
22,-283.0,4,447.84171533584595,(((n - n) ** log_{3}(n)) + ((n - (n / n)) + n)),False
23,-123.0,3,450.86563181877136,"((((nroot((n ** (n * n)), n) / n) + n) / (n + n)) + n)",False
24,-123.0,3,448.4738209247589,"(n + ((n + (nroot((n ** (n * n)), n) / n)) / (n + n)))",False
25,-283.0,4,444.8927581310272,(((n - n) ** log_{3}(n)) + ((n - (n / n)) + n)),False
26,-283.0,4,447.60206484794617,(((n - n) ** log_{3}(n)) + ((n - (n / n)) + n)),False
27,-123.0,3,450.9861001968384,"(((n + (nroot((n ** (n * n)), n) / n)) / (n + n)) + n)",False
28,-123.0,3,445.684063911438,"(((n + (nroot((n ** (n * n)), n) / n)) / (n + n)) + n)",False
29,-123.0,3,455.32799887657166,"((((nroot((n ** (n * n)), n) / n) + n) / (n + n)) + n)",False
30,-123.0,3,453.0712125301361,"((((nroot((n ** (n * n)), n) / n) + n) / (n + n)) + n)",False
31,-123.0,3,450.8789255619049,"(((n + (nroot(((n ** n) ** n), n) / n)) / (n + n)) + n)",False
32,-283.0,4,447.12445306777954,(((n - n) ** log_{3}(n)) + ((n - (n / n)) + n)),False
33,-123.0,3,453.8485960960388,"((((nroot((n ** (n * n)), n) / n) + n) / (n + n)) + n)",False
34,-283.0,4,438.0530529022217,(((n - n) ** log_{3}(n)) + ((n - (n / n)) + n)),False
35,-283.0,4,438.3195879459381,(((n - n) ** log_{3}(n)) + ((n - (n / n)) + n)),False
36,-123.0,3,398.11820554733276,(((((acos(cos(n)) ** n) / n) + n) / (n + n)) + n),False
37,-283.0,4,441.7220461368561,(((n - n) ** log_{3}(n)) + ((n - (n / n)) + n)),False
38,-123.0,3,445.5377812385559,"((((nroot((n ** (n * n)), n) / n) + n) / (n + n)) + n)",False
39,-283.0,4,446.5337393283844,(((n - n) ** log_{3}(n)) + ((n - (n / n)) + n)),False
40,-123.0,3,451.83565640449524,"(n + ((n + (nroot((n ** (n * n)), n) / n)) / (n + n)))",False
41,-123.0,3,447.53329944610596,"(((n + (nroot((n ** (n * n)), n) / n)) / (n + n)) + n)",False
42,-123.0,3,447.71106362342834,"(((n + (nroot((n ** (n * n)), n) / n)) / (n + n)) + n)",False
43,-123.0,3,448.80897283554077,"((((nroot(((n ** n) ** n), n) / n) + n) / (n + n)) + n)",False
