run,fitness,matches,elapsed_time_seconds,expression,is_new_best
1,-283.0,4,253.7635862827301,(((n - n) ** log_{3}(n)) + ((n + n) - (n / n))),True
2,-283.0,4,264.45093965530396,(((n - n) ** log_{3}(n)) + ((n + n) - (n / n))),False
3,-283.0,4,268.40386986732483,(((n - n) ** log_{3}(n)) + ((n + n) - (n / n))),False
4,-283.0,4,271.86790657043457,(((n - n) ** log_{3}(n)) + ((n + n) - (n / n))),False
5,-283.0,4,270.10194516181946,(((n - n) ** log_{3}(n)) + ((n + n) - (n / n))),False
6,-283.0,4,268.165647983551,(((n - n) ** log_{3}(n)) + ((n + n) - (n / n))),False
7,-283.0,4,268.2788562774658,(((n - n) ** log_{3}(n)) + ((n + n) - (n / n))),False
8,-283.0,4,268.58800864219666,(((n - n) ** log_{3}(n)) + ((n + n) - (n / n))),False
9,-283.0,4,270.61157846450806,(((n - n) ** log_{3}(n)) + ((n + n) - (n / n))),False
10,-283.0,4,274.22111201286316,(((n - n) ** log_{3}(n)) + ((n + n) - (n / n))),False
11,-283.0,4,268.316201210022,(((n - n) ** log_{3}(n)) + ((n + n) - (n / n))),False
12,-283.0,4,271.5852806568146,(((n - n) ** log_{3}(n)) + ((n + n) - (n / n))),False
13,-283.0,4,271.51033115386963,(((n - n) ** log_{3}(n)) + ((n + n) - (n / n))),False
14,-283.0,4,267.0977535247803,(((n - n) ** log_{3}(n)) + ((n + n) - (n / n))),False
15,-283.0,4,266.616641998291,(((n - n) ** log_{3}(n)) + ((n + n) - (n / n))),False
16,-283.0,4,269.5034897327423,(((n - n) ** log_{3}(n)) + ((n + n) - (n / n))),False
17,-283.0,4,266.01377725601196,(((n - n) ** log_{3}(n)) + ((n + n) - (n / n))),False
18,-283.0,4,271.76619505882263,(((n - n) ** log_{3}(n)) + ((n + n) - (n / n))),False
19,-283.0,4,269.95662212371826,(((n - n) ** log_{3}(n)) + ((n + n) - (n / n))),False
20,-283.0,4,267.4858980178833,(((n - n) ** log_{3}(n)) + ((n + n) - (n / n))),False
21,-283.0,4,266.25181579589844,(((n - n) ** log_{3}(n)) + ((n + n) - (n / n))),False
22,-283.0,4,268.3058726787567,(((n - n) ** log_{3}(n)) + ((n + n) - (n / n))),False
23,-283.0,4,268.5661816596985,(((n - n) ** log_{3}(n)) + ((n + n) - (n / n))),False
24,-283.0,4,267.54842257499695,(((n - n) ** log_{3}(n)) + ((n + n) - (n / n))),False
25,-283.0,4,265.4332480430603,(((n - n) ** log_{3}(n)) + ((n + n) - (n / n))),False
26,-283.0,4,269.8640296459198,(((n - n) ** log_{3}(n)) + ((n + n) - (n / n))),False
27,-283.0,4,266.7731776237488,(((n - n) ** log_{3}(n)) + ((n + n) - (n / n))),False
28,-283.0,4,267.75874733924866,(((n - n) ** log_{3}(n)) + ((n + n) - (n / n))),False
29,-283.0,4,265.21215176582336,(((n - n) ** log_{3}(n)) + ((n + n) - (n / n))),False
30,-283.0,4,268.97438073158264,(((n - n) ** log_{3}(n)) + ((n + n) - (n / n))),False
31,-283.0,4,270.8935754299164,(((n - n) ** log_{3}(n)) + ((n + n) - (n / n))),False
32,-283.0,4,263.8787076473236,(((n - n) ** log_{3}(n)) + ((n + n) - (n / n))),False
33,-283.0,4,268.26857328414917,(((n - n) ** log_{3}(n)) + ((n + n) - (n / n))),False
34,-283.0,4,268.72721457481384,(((n - n) ** log_{3}(n)) + ((n + n) - (n / n))),False
35,-283.0,4,263.9695608615875,(((n - n) ** log_{3}(n)) + ((n + n) - (n / n))),False
36,-283.0,4,267.3025722503662,(((n - n) ** log_{3}(n)) + ((n + n) - (n / n))),False
37,-283.0,4,264.1578733921051,(((n - n) ** log_{3}(n)) + ((n + n) - (n / n))),False
38,-283.0,4,267.39941143989563,(((n - n) ** log_{3}(n)) + ((n + n) - (n / n))),False
39,-283.0,4,264.6752882003784,(((n - n) ** log_{3}(n)) + ((n + n) - (n / n))),False
40,-283.0,4,268.4235043525696,(((n - n) ** log_{3}(n)) + ((n + n) - (n / n))),False
41,-283.0,4,269.102338552475,(((n - n) ** log_{3}(n)) + ((n + n) - (n / n))),False
42,-283.0,4,267.0108458995819,(((n - n) ** log_{3}(n)) + ((n + n) - (n / n))),False
43,-283.0,4,268.2711567878723,(((n - n) ** log_{3}(n)) + ((n + n) - (n / n))),False
44,-283.0,4,269.8012590408325,(((n - n) ** log_{3}(n)) + ((n + n) - (n / n))),False
45,-283.0,4,268.13382053375244,(((n - n) ** log_{3}(n)) + ((n + n) - (n / n))),False
46,-283.0,4,267.5179235935211,(((n - n) ** log_{3}(n)) + ((n + n) - (n / n))),False
47,-283.0,4,270.07898116111755,(((n - n) ** log_{3}(n)) + ((n + n) - (n / n))),False
48,-283.0,4,268.28956627845764,(((n - n) ** log_{3}(n)) + ((n + n) - (n / n))),False
49,-283.0,4,266.9551875591278,(((n - n) ** log_{3}(n)) + ((n + n) - (n / n))),False
50,-283.0,4,266.91459679603577,(((n - n) ** log_{3}(n)) + ((n + n) - (n / n))),False
51,-283.0,4,270.9071249961853,(((n - n) ** log_{3}(n)) + ((n + n) - (n / n))),False
52,-283.0,4,268.0890212059021,(((n - n) ** log_{3}(n)) + ((n + n) - (n / n))),False
53,-283.0,4,267.2740776538849,(((n - n) ** log_{3}(n)) + ((n + n) - (n / n))),False
54,-283.0,4,269.79709243774414,(((n - n) ** log_{3}(n)) + ((n + n) - (n / n))),False
55,-283.0,4,273.5007688999176,(((n - n) ** log_{3}(n)) + ((n + n) - (n / n))),False
56,-283.0,4,271.9475860595703,(((n - n) ** log_{3}(n)) + ((n + n) - (n / n))),False
57,-283.0,4,267.8948528766632,(((n - n) ** log_{3}(n)) + ((n + n) - (n / n))),False
58,-283.0,4,272.16701769828796,(((n - n) ** log_{3}(n)) + ((n + n) - (n / n))),False
59,-283.0,4,266.27492594718933,(((n - n) ** log_{3}(n)) + ((n + n) - (n / n))),False
60,-283.0,4,267.6415641307831,(((n - n) ** log_{3}(n)) + ((n + n) - (n / n))),False
61,-283.0,4,269.2772762775421,(((n - n) ** log_{3}(n)) + ((n + n) - (n / n))),False
62,-283.0,4,269.04348969459534,(((n - n) ** log_{3}(n)) + ((n + n) - (n / n))),False
63,-283.0,4,269.5616056919098,(((n - n) ** log_{3}(n)) + ((n + n) - (n / n))),False
64,-283.0,4,270.4625356197357,(((n - n) ** log_{3}(n)) + ((n + n) - (n / n))),False
65,-283.0,4,267.0639636516571,(((n - n) ** log_{3}(n)) + ((n + n) - (n / n))),False
66,-283.0,4,267.6164002418518,(((n - n) ** log_{3}(n)) + ((n + n) - (n / n))),False
67,-283.0,4,268.6074285507202,(((n - n) ** log_{3}(n)) + ((n + n) - (n / n))),False
68,-283.0,4,267.56930470466614,(((n - n) ** log_{3}(n)) + ((n + n) - (n / n))),False
69,-283.0,4,271.41248297691345,(((n - n) ** log_{3}(n)) + ((n + n) - (n / n))),False
70,-283.0,4,268.2236132621765,(((n - n) ** log_{3}(n)) + ((n + n) - (n / n))),False
71,-283.0,4,265.9771363735199,(((n - n) ** log_{3}(n)) + ((n + n) - (n / n))),False
