generation,individual,population_size,generations,max_depth,keep_pct,crossover_pct,random_pct,match_weight_factor,mutation_rate,prune_rate,duplicate_mutate_rate,fitness,matches,elapsed_time_seconds,expression
1,3,200,500,5,0.7062257534872874,0.1969802849048866,0.09679396160782597,2.0,0.6943208120712399,0.20997923286324693,0.03416968431574069,0.0,0,2.1246771812438965,log_{acos(n)}(n)
1,9,50,1000,8,0.7633677567134735,0.03456954994694651,0.20206269333958005,2.0,0.4798614186774307,0.35338263779998785,0.07483038570977002,0.0,0,1.0007386207580566,(n + tan((n + log_{n}((log_{sin(cos(n))}(n) - acos(n))))))
1,5,100,3000,8,0.8680702130209915,0.12885030154826127,0.0030794854307472086,2.0,0.2642075001904124,0.08726022014782275,0.26572694473780056,-3.0,1,7.744345426559448,"(n + nroot(n, atan(n)))"
1,2,300,1000,10,0.5723370678467401,0.03461476263829292,0.39304816951496696,2.0,0.5012468826282551,0.06852117145620906,0.2739120167483732,0.0,0,9.000812292098999,log_{(acos(n) - cos(n))}(n)
1,11,50,5000,9,0.8421481753484918,0.10827104953547727,0.04958077511603089,2.0,0.2763992145681527,0.3110654854289667,0.3096089735660386,0.0,0,5.908495903015137,log_{n}(cos(n))
1,10,1000,500,7,0.29581448155133316,0.040818837175364796,0.663366681273302,2.0,0.8359209194615291,0.057376436499001315,0.4400345221263212,-3.0,1,14.238337993621826,"(n + nroot(n, atan(n)))"
1,8,500,1000,8,0.47723906117610393,0.5196239974911493,0.0031369413327467788,2.0,0.33084488731689865,0.3261348694362788,0.011535346651684597,-3.0,1,19.71217393875122,((n ** atan(n)) + n)
1,13,1500,1000,5,0.7596506391428133,0.058743727732216235,0.1816056331249705,2.0,0.4258711774974226,0.4848917961771373,0.2509506549366962,-3.0,1,28.785358905792236,((n ** sin(n)) + n)
1,4,1000,1000,12,0.2645041945169837,0.5344092893305906,0.20108651615242568,2.0,0.1578705608519944,0.35036940960794816,0.16105353309274617,-3.0,1,52.82017540931702,"(nroot(n, sin(n)) + n)"
1,17,50,1500,9,0.23760382558339735,0.1283836008104071,0.6340125736061956,2.0,0.3954192745953561,0.24631454050815915,0.2541895368038879,-1.0,1,2.873626947402954,(n - (n * neg(n)))
