run,fitness,matches,elapsed_time_seconds,expression,is_new_best
1,-123.0,3,395.1652841567993,"((((nroot((n ** (n * n)), n) / n) + n) / (n + n)) + n)",True
2,-283.0,4,435.8917679786682,(((n - n) ** log_{3}(n)) + ((n - (n / n)) + n)),True
3,-123.0,3,450.81289434432983,"(n + ((n + (nroot((n ** (n * n)), n) / n)) / (n + n)))",False
4,-123.0,3,441.3001618385315,"((((nroot((n ** (n * n)), n) / n) + n) / (n + n)) + n)",False
5,-123.0,3,444.70481276512146,"((((nroot((n ** (n * n)), n) / n) + n) / (n + n)) + n)",False
6,-123.0,3,400.89351534843445,(n + ((((acos(cos(n)) ** n) / n) + n) / (n + n))),False
7,-123.0,3,456.2786145210266,"((((nroot(((n ** n) ** n), n) / n) + n) / (n + n)) + n)",False
8,-123.0,3,455.1235110759735,"(n + ((n + (nroot((n ** (n * n)), n) / n)) / (n + n)))",False
9,-123.0,3,402.42911076545715,(((((n ** acos(cos(n))) / n) + n) / (n + n)) + n),False
10,-123.0,3,450.8460052013397,"((((nroot(((n ** n) ** n), n) / n) + n) / (n + n)) + n)",False
11,-123.0,3,452.05735301971436,"(((n + (nroot(((n ** n) ** n), n) / n)) / (n + n)) + n)",False
12,-283.0,4,439.1975722312927,(((n - n) ** log_{3}(n)) + ((n - (n / n)) + n)),False
13,-123.0,3,452.2992000579834,"(((n + (nroot(((n ** n) ** n), n) / n)) / (n + n)) + n)",False
14,-283.0,4,441.6237554550171,(((n - n) ** log_{3}(n)) + ((n - (n / n)) + n)),False
15,-123.0,3,448.79685068130493,"(((n + (nroot((n ** (n * n)), n) / n)) / (n + n)) + n)",False
16,-123.0,3,443.05205941200256,"(n + (((nroot((n ** (n * n)), n) / n) + n) / (n + n)))",False
17,-123.0,3,448.0768632888794,"(((n + (nroot((n ** (n * n)), n) / n)) / (n + n)) + n)",False
18,-123.0,3,444.95813179016113,"((((nroot((n ** (n * n)), n) / n) + n) / (n + n)) + n)",False
19,-283.0,4,435.62859559059143,(((n - n) ** log_{3}(n)) + ((n - (n / n)) + n)),False
20,-123.0,3,408.99269104003906,(((((acos(cos(n)) ** n) / n) + n) / (n + n)) + n),False
21,-123.0,3,446.7587802410126,"((((nroot((n ** (n * n)), n) / n) + n) / (n + n)) + n)",False
22,-283.0,4,435.17524456977844,(((n - n) ** log_{3}(n)) + ((n - (n / n)) + n)),False
23,-123.0,3,449.948885679245,"((((nroot((n ** (n * n)), n) / n) + n) / (n + n)) + n)",False
24,-123.0,3,458.58176350593567,"((((nroot((n ** (n * n)), n) / n) + n) / (n + n)) + n)",False
25,-123.0,3,454.8992269039154,"(((n + (nroot(((n ** n) ** n), n) / n)) / (n + n)) + n)",False
26,-123.0,3,448.46031165122986,"((((nroot((n ** (n * n)), n) / n) + n) / (n + n)) + n)",False
27,-123.0,3,456.2458870410919,"(((n + (nroot(((n ** n) ** n), n) / n)) / (n + n)) + n)",False
28,-123.0,3,450.1188974380493,"((((nroot(((n ** n) ** n), n) / n) + n) / (n + n)) + n)",False
29,-283.0,4,440.7339882850647,(((n - n) ** log_{3}(n)) + ((n - (n / n)) + n)),False
30,-123.0,3,417.86522603034973,(((((acos(cos(n)) ** n) / n) + n) / (n + n)) + n),False
31,-283.0,4,443.9742500782013,(((n - n) ** log_{3}(n)) + ((n - (n / n)) + n)),False
32,-123.0,3,399.71436977386475,(((((n ** acos(cos(n))) / n) + n) / (n + n)) + n),False
33,-123.0,3,450.2527196407318,"((((nroot((n ** (n * n)), n) / n) + n) / (n + n)) + n)",False
34,-283.0,4,439.4643566608429,(((n - n) ** log_{3}(n)) + ((n - (n / n)) + n)),False
35,-283.0,4,442.2678506374359,(((n - n) ** log_{3}(n)) + ((n - (n / n)) + n)),False
36,-283.0,4,444.54558181762695,(((n - n) ** log_{3}(n)) + ((n - (n / n)) + n)),False
37,-123.0,3,406.0778148174286,(n + ((((n ** acos(cos(n))) / n) + n) / (n + n))),False
38,-123.0,3,446.89950489997864,"((((nroot((n ** (n * n)), n) / n) + n) / (n + n)) + n)",False
39,-283.0,4,441.63934087753296,(((n - n) ** log_{3}(n)) + ((n - (n / n)) + n)),False
40,-123.0,3,428.079345703125,(n + ((((n ** acos(cos(n))) / n) + n) / (n + n))),False
41,-283.0,4,443.0183229446411,(((n - n) ** log_{3}(n)) + ((n - (n / n)) + n)),False
42,-123.0,3,446.8855948448181,"(n + ((n + (nroot((n ** (n * n)), n) / n)) / (n + n)))",False
43,-283.0,4,436.6213626861572,(((n - n) ** log_{3}(n)) + ((n - (n / n)) + n)),False
44,-123.0,3,434.85910987854004,"((((nroot((n ** (n * n)), n) / n) + n) / (n + n)) + n)",False
