fitness,matches,expression
-6474.0,12,"((n ** log_{(pi + nroot((n // cosh(phi)), log_{cosh(phi)}(e)))}(n)) + (n // catalan))"
-6470.0,12,(((n + (cosh((n // phi)) // (n + ((cosh((n // phi)) // n) // atan(factorial(n)))))) min cosh((n / ceil(phi)))) + n)
-6469.0,12,"(((n ** log_{ceil((n + nroot(ceil((pi - n)), nroot(n, n))))}(n)) ** tanh(pi)) + ((n // catalan) // catalan))"
-6457.0,12,"((cos((n * n)) + nroot(nroot(floor((floor(nroot(n, (catalan ** log_{10}(n)))) / catalan)), (catalan ** (nroot(floor(nroot(n, pi)), (catalan ** n)) / n))), catalan)) + n)"
-5036.0,11,((n ** log_{(atan(phi) + ((n + euler_gamma) // (atan(n) ** atan(n))))}(n)) + (n // catalan))
-5033.0,11,((((n ** (catalan ** catalan)) + (atan(n) % atan((n % atan(n))))) ** atan(n)) + (n ** euler_gamma))
-5028.0,11,((n ** log_{ceil(log_{ceil(pi)}(((n | ceil(pi)) ** pi)))}((n ** tanh(n)))) + (n // catalan))
-5027.0,11,"((n ** log_{(ceil(pi) + (floor(nroot(n, pi)) + (sin(n) ** (n // catalan))))}(n)) + (n // catalan))"
-5024.0,11,"(((n + (cos(n) // (n - tan((n << n))))) ** nroot(((n - cos((sin(n) + n))) - cos(n)), (10 max n))) + n)"
-5024.0,11,"((n // (n % (cosh(cos(nroot(nroot((n // catalan), catalan), n))) ** cosh((tanh(cos(n)) min tanh(sin(h))))))) + (tanh(cos(n)) + nroot(n, catalan)))"
-3827.0,10,(phi + (n ** atan(((n + (cos(n) + cosh(tan((avogadro % n))))) // atan((n + n))))))
-3826.0,10,(n + (n ** log_{(pi + ((n // cosh(phi)) min (pi * catalan)))}(n)))
-3823.0,10,"((tanh(cos(nroot(n, (catalan ** ((n // cosh(e)) * n))))) + nroot(n, (catalan ** (n // pi)))) + n)"
-3822.0,10,"((((cos(n) min euler_gamma) + (n // sin(nroot(n, (e * catalan))))) // cos(euler_gamma)) + n)"
-3822.0,10,(phi + ((n + (((n % atan(n)) / atan(catalan)) % (n % (n % atan(n))))) ** atan((n / atan(n)))))
-3819.0,10,"(n + ((n + (((n // cosh(nroot(n, n))) // nroot(n, (n + n))) ** ((cosh(euler_gamma) ** cosh(euler_gamma)) * cosh(cos(n))))) + cos(n)))"
-3816.0,10,((n ** atan(((((n / (n ** ((cos(n) % (n ** phi)) % n))) + n) + phi) // phi))) + phi)
-3815.0,10,"((n + floor(cos(n))) + nroot(((((n // nroot(catalan, euler_gamma)) // catalan) // catalan) // nroot(catalan, catalan)), nroot(euler_gamma, 4)))"
-3802.0,10,(((n + (n min ((log_{5}(n) ** n) min (e ** log_{5}((n max (log_{5}(n) ** n))))))) min ((n ** asin(catalan)) ** log_{5}(n))) + n)
-2831.0,9,(((n / n) + n) + (tan(catalan) * floor(log_{7}((n ** n)))))
-2829.0,9,"(nroot(n, catalan) + ((nroot(n, catalan) // catalan) + (cos((n * n)) // (n ** n))))"
-2828.0,9,(((log_{5}(n) ** 6) + (cos(n) // n)) + (n + n))
-2828.0,9,"((nroot(n, tanh(nroot(n, n))) // tanh((n ** n))) + (floor(cos(n)) + nroot(n, atan(nroot(n, n)))))"
-2827.0,9,"((cos(sinh(n)) min ((n ** n) % sin(n))) + ((nroot(n, catalan) // catalan) + nroot(n, catalan)))"
-2827.0,9,(cos(n) + (n + (asin(catalan) * (n + (((sinh(n) / n) // n) // (n + pi))))))
-2827.0,9,"((sin(cos((cosh(e) min n))) + nroot(n, catalan)) + (n // cos((n % catalan))))"
-2826.0,9,"((n // tanh(tan(catalan))) + (nroot((n // tanh(atan(n))), tanh(tan(catalan))) + floor(cos(n))))"
-2826.0,9,(n + (ceil(((n / e) ** e)) min (floor(e) | (n + ceil(((n ** n) % pi))))))
-2826.0,9,"(nroot(n, (cos(log_{(pi ** pi)}(n)) max cos(n))) + (n + (cos(n) * cos(cos(n)))))"
-2825.0,9,"((n + nroot(factorial(n), sinh(phi))) min (ceil((n * cosh((sin((n ^ (n ** n))) max neg(cos(n)))))) + n))"
-2825.0,9,(((cosh(((n + n) & ceil(phi))) + (ceil(phi) | n)) min cosh((n / ceil(atan((n ** n)))))) + n)
-2824.0,9,"(n + (nroot(floor(((nroot(n, catalan) // catalan) + cos(n))), catalan) + sin((sin(catalan) * n))))"
-2824.0,9,"((tanh(cos((n ** (nroot(c, 9) // n)))) + nroot(n, (catalan ** (n // pi)))) + n)"
-2823.0,9,(((cosh((catalan % (tan(sinh(n)) max (e * cos(((n ** n) % (c >> n))))))) * n) + n) + cos(n))
-2823.0,9,"(((n // (nroot((n << n), n) / pi)) // ((e / n) max atan(euler_gamma))) + e)"
-2823.0,9,ceil(((phi ** n) min ((floor(sin(n)) + ((n / sin(n)) max ((n + n) / tanh(phi)))) + tanh((n ** n)))))
-2822.0,9,"(atan(cos(n)) + (nroot(n, (catalan ** (n // (pi * e)))) + nroot(n, (catalan ** (n // pi)))))"
-2821.0,9,(((n / sinh((sin((cos(n) max euler_gamma)) max atan(tanh((phi + (cos(n) / cos(cosh(n))))))))) + cos(n)) + n)
-2820.0,9,(((n + cos(n)) // (cos((euler_gamma max ((cos(n) % cos(cos(sinh((n min (n ** n)))))) / cos(cos(sinh(n)))))) max cos(n))) + n)
-2820.0,9,"(nroot((n ** n), ((phi + e) max (nroot((((n ** n) + sin(n)) % (e - n)), (n ** euler_gamma)) + n))) + n)"
-2820.0,9,(n + ((n + cos(n)) // (cos(n) max cos((((cos(n) * (euler_gamma + phi)) % tanh(n)) max (cos(n) % tanh((n ** n))))))))
-2820.0,9,"((cos(n) + (((cos(atan(pi)) + ((nroot(n, catalan) // catalan) // catalan)) // catalan) // catalan)) + n)"
-2820.0,9,"(((nroot(n, catalan) + tanh(cos(n))) + n) + ((sinh(log_{10}(G)) % (n + n)) // pi))"
-2819.0,9,"(n + (nroot((n // tanh(nroot(n, n))), tanh(nroot((nroot((n // nroot(n, n)), tanh(tanh(atan((n ** n))))) + n), n))) + cos((n * n))))"
-2819.0,9,(((((catalan + (sin((n ** n)) // (e / n))) + (n ** catalan)) + (n ** catalan)) ** log_{8}(n)) + n)
-2818.0,9,"((cos(n) // ((sinh((pi - n)) // n) + (n + n))) + ((((sin(n) // (n ** n)) + n) + n) * nroot(n, 8)))"
-2818.0,9,"(cos((n * n)) + (n + ((nroot(n, 8) * (n max (log_{5}((n ** n)) // sinh(catalan)))) / sinh(catalan))))"
-2817.0,9,((n + cos(n)) + (((((n // tanh(cosh(catalan))) // tanh(atan(n))) // tanh(tan(catalan))) // tanh(atan(n))) / tanh(tan(catalan))))
-2816.0,9,"(((((n // (nroot(sin(catalan), 10) ** n)) // catalan) + sin(cos(n))) + nroot(n, catalan)) + (n // sinh(e)))"
-2815.0,9,"((cosh(log_{euler_gamma}(n)) + nroot(n, e)) min ((cosh(e) // ((((cos(n) % e) % nroot(n, pi)) % (n ** n)) % nroot(n, n))) + n))"
-2811.0,9,"((floor((floor((n ** asin(catalan))) ** nroot(acos(boltzmann), (7 + 7)))) ** nroot(acos(h), 7)) + (n + floor(cos(n))))"
-2024.0,8,"(cos(n) + (nroot(n, sin(cosh(cos(cosh(n))))) + n))"
-2023.0,8,((floor((n * asin(catalan))) * acos(sin(c))) + cos(n))
-2023.0,8,((cos(cosh(n)) + n) + ((n % (neg(pi) % n)) + n))
-2023.0,8,(n + ((n ** cosh((acos(catalan) - ceil(sin(n))))) + cos(n)))
-2023.0,8,"(n + (atan(cos(n)) + nroot(n, (catalan ** (n // pi)))))"
-2023.0,8,"((tanh(cos(n)) + nroot(n, (catalan ** (n // pi)))) + n)"
-2023.0,8,"(atan(cos(n)) + (nroot(n, (catalan ** (n // pi))) + n))"
-2023.0,8,((n + (n % (neg(pi) % n))) + (cos(cosh(n)) + n))
-2023.0,8,((n + cos(n)) + (n * (cosh(tan((cosh(n) + n))) max asin(sin(n)))))
-2023.0,8,((cos(cosh(n)) + ((n % (neg(pi) % n)) + n)) + n)
-2022.0,8,"(cos((n ** n)) + (((nroot(n, catalan) // catalan) + n) // catalan))"
-2022.0,8,(((n % (n - (pi % n))) + (n + cos(cosh(n)))) + n)
-2022.0,8,"((nroot(n, cos(((n ** n) % euler_gamma))) + cos(n)) + n)"
-2022.0,8,"((n ** atan(nroot(n, atan((tanh(n) + (n % phi)))))) + phi)"
-2022.0,8,(n + ((cos(n) + n) / (cos(log_{cosh(pi)}(n)) max cos(n))))
-2022.0,8,(n + (cosh(cosh((n / pi))) min (cosh((n // pi)) + n)))
-2021.0,8,"((n + cos(n)) + (nroot((n // tanh(nroot(n, n))), catalan) // catalan))"
-2021.0,8,"(tanh(cos(n)) + (n + nroot(nroot(n, (catalan ** ceil(sin(n)))), catalan)))"
