run,fitness,matches,elapsed_time_seconds,expression,is_new_best
1,-3813.0,10,1677.0676548480988,"sinh(tan(nroot((n min (e + (((((e % nroot(n, 7)) + (G * c)) ** acos(sin(n))) max sin(n)) + e))), 7)))",True
2,-896.0,6,702.2741408348083,"sinh(tan((cosh(tanh(catalan)) min nroot(n, 7))))",False
3,-3813.0,10,1971.4840302467346,"sinh(tan(nroot((n min (e + (((((e % nroot(n, 7)) + (G * c)) ** acos(sin(n))) max sin(n)) + e))), 7)))",False
4,-2016.0,8,1453.957481622696,"cosh(tan(nroot(((atan(7) + ((atan(ceil(sin(n))) max sin(n)) + 4)) min n), 7)))",False
5,-542.0,5,379.1032991409302,"cosh(tan(nroot(n, 7)))",False
6,-2010.0,8,1206.4959497451782,"sinh(tan(nroot((((phi ** 4) - (n % acos(G))) min ((phi * 4) min n)), 7)))",False
7,-2819.0,9,1707.2884294986725,"cosh(tan(nroot((n min (e + ((((e % nroot(n, 7)) ** atan(pi)) max sin(n)) + e))), 7)))",False
8,-2017.0,8,1495.0351271629333,"cosh(tan(nroot((n min (atan(7) + (tanh((n % ceil((atan(7) + 4)))) + 4))), 7)))",False
9,-293.0,4,384.7061996459961,((cos(n) + n) + n),False
10,-895.0,6,732.1071617603302,"cosh(tan(nroot((n min (e + e)), 7)))",False
11,-895.0,6,669.6076033115387,"cosh(tan(nroot((n min (e + e)), 7)))",False
12,-895.0,6,639.8450648784637,"cosh(tan(nroot((n min (e + e)), 7)))",False
13,-896.0,6,835.8934457302094,"sinh(tan((cosh(tanh(catalan)) min nroot(n, 7))))",False
14,-895.0,6,578.033590555191,"sinh(tan(nroot((n min (e + e)), 7)))",False
15,-896.0,6,600.1233661174774,"sinh(tan(nroot(((atan(7) + 4) min n), 7)))",False
16,-3820.0,10,1874.0838129520416,"sinh(tan(nroot(((e + ((((e % nroot(n, 7)) ** (acos(sin(sin(n))) / catalan)) max sin(n)) + e)) min n), 7)))",True
17,-3820.0,10,1898.1554725170135,"cosh(tan(nroot(((e + ((((e % nroot(n, 7)) ** (acos(sin(sin(n))) / catalan)) max sin(n)) + e)) min n), 7)))",False
18,-1381.0,7,700.4663965702057,"cosh(tan(nroot((n min ((e / cos(sin((7 min n)))) + e)), 7)))",False
19,-542.0,5,388.11975145339966,"cosh(tan(nroot(n, 7)))",False
20,-2016.0,8,1078.7865250110626,"sinh(tan(nroot(((cosh(cosh((tan(n) max sin(n)))) + 4) min n), 7)))",False
21,-1381.0,7,1144.2577409744263,"sinh(tan(nroot(((atan(7) + (atan((((7 min n) / n) & n)) + 4)) min n), 7)))",False
22,-2007.0,8,1242.288638830185,"cosh(tan(nroot((n min (((e / cos(sin(n))) + e) min (tanh(n) + (e + e)))), 7)))",False
23,-2017.0,8,1321.7592725753784,"cosh(tan(nroot((n min (atan(7) + (tanh((n % ceil((atan(7) + 4)))) + 4))), 7)))",False
24,-896.0,6,609.8703780174255,"sinh(cosh((nroot(n, e) min tan(avogadro))))",False
25,-3820.0,10,1874.8944075107574,"sinh(tan(nroot(((e + ((((e % nroot(n, 7)) ** (acos(sin(sin(n))) / catalan)) max sin(n)) + e)) min n), 7)))",False
26,-2016.0,8,921.4609441757202,"cosh(tan(nroot((n min (cosh(cosh((tan(n) max sin(n)))) + 4)), 7)))",False
27,-5021.0,11,2075.9321575164795,"sinh(tan(nroot((n min ((((e % nroot(n, 7)) ** (acos(atan(sin(n))) / catalan)) max sin(n)) + (e + e))), 7)))",True
28,-896.0,6,732.6613357067108,"cosh(tan(nroot((n min sinh(sinh(phi))), 7)))",False
29,-5021.0,11,2322.400204181671,"cosh(tan(nroot((((((e % nroot(n, 7)) ** (acos(atan(sin(n))) / catalan)) max sin(n)) + (e + e)) min n), 7)))",False
30,-293.0,4,378.5467233657837,(n + (n + cos(n))),False
31,-895.0,6,723.3271458148956,"cosh(tan(nroot(((e + e) min n), 7)))",False
32,-896.0,6,747.3132517337799,"sinh(tan(nroot((n min sinh(sinh(phi))), 7)))",False
33,-896.0,6,955.3192570209503,"cosh(tan(nroot(((floor(e) + tan(nroot(n, 7))) min n), 7)))",False
34,-895.0,6,726.217226266861,"cosh(tan(nroot((n min (e + e)), 7)))",False
35,-3820.0,10,2013.3091011047363,"cosh(tan(nroot(((e + ((((e % nroot(n, 7)) ** (acos(sin(sin(n))) / catalan)) max sin(n)) + e)) min n), 7)))",False
36,-2008.0,8,1581.6738879680634,"cosh(tan(nroot((n min (((e / cos(sin(n))) + e) min (tanh(n) + (atan(n) + 4)))), 7)))",False
37,-5021.0,11,2239.667361974716,"cosh(tan(nroot((((((e % nroot(n, 7)) ** (acos(atan(sin(n))) / catalan)) max sin(n)) + (e + e)) min n), 7)))",False
38,-896.0,6,787.9924218654633,"cosh(tan(nroot(((atan(7) + 4) min n), 7)))",False
39,-896.0,6,644.0651962757111,"sinh(cosh((nroot(n, e) min tan(avogadro))))",False
40,-2018.0,8,1222.2272186279297,"sinh(tan(nroot((n min (atan(7) + nroot((cosh(e) min n), atan(pi)))), 7)))",False
41,-895.0,6,682.3312590122223,"sinh(tan(nroot((n min (e + e)), 7)))",False
42,-2017.0,8,1356.0330426692963,"cosh(cosh(nroot((((atan((n % sinh(sinh(phi)))) + 4) * atan(e)) min n), e)))",False
43,-5003.0,11,1939.1348321437836,"sinh(tan(nroot((((e + ((((e % nroot(n, 7)) ** (acos(sin(n)) / catalan)) max sin(n)) + e)) min n) min (e + ((((e % nroot(n, 7)) ** e) max sin(n)) + e))), 7)))",False
44,-893.0,6,810.8345782756805,"ceil(sinh((nroot(n, cosh(catalan)) min cosh(cosh(atan(e))))))",False
45,-293.0,4,361.7672333717346,((n + cos(n)) + n),False
46,-896.0,6,757.8822882175446,"cosh(tan(nroot(((atan(7) + 4) min n), 7)))",False
47,-2007.0,8,1444.8183901309967,"cosh(tan(nroot((n min (((e / cos(sin(n))) + e) min (tanh(n) + (e + e)))), 7)))",False
48,-5021.0,11,2132.674493789673,"sinh(tan(nroot((n min ((((e % nroot(n, 7)) ** (acos(atan(sin(n))) / catalan)) max sin(n)) + (e + e))), 7)))",False
49,-1383.0,7,800.6674988269806,"sinh(tan(nroot(((atan(ceil(sin(n))) + (atan(7) + 4)) min n), 7)))",False
50,-2017.0,8,980.490297794342,"cosh(tan(nroot(((atan(7) + (tanh((n % (cos(pi) + 7))) + 4)) min n), 7)))",False
51,-1381.0,7,1033.9365186691284,"cosh(tan(nroot((n min ((e / cos(sin((7 min n)))) + e)), 7)))",False
52,-2017.0,8,1304.3233420848846,"cosh(tan(nroot((n min ((neg(floor(cos(n))) max sin(n)) + (e + e))), 7)))",False
53,-896.0,6,919.7715408802032,"cosh(tan(nroot(((floor(e) + tan(nroot(n, 7))) min n), 7)))",False
54,-5021.0,11,1950.2525613307953,"cosh(tan(nroot(((e + ((((e % nroot(n, 7)) ** (acos(atan(sin(n))) / catalan)) max sin(n)) + e)) min n), 7)))",False
55,-2012.0,8,1301.8537895679474,"cosh(tan(nroot((n min ((e / (cos(sin(n)) max atan(catalan))) + e)), 7)))",False
56,-2018.0,8,1292.9842374324799,"sinh(tan(nroot((n min (atan(7) + nroot((cosh(e) min n), atan(pi)))), 7)))",False
57,-5021.0,11,2147.3363049030304,"sinh(tan(nroot((n min ((((e % nroot(n, 7)) ** (acos(atan(sin(n))) / catalan)) max sin(n)) + (e + e))), 7)))",False
58,-896.0,6,903.7735633850098,"cosh(tan(nroot(((floor(e) + tan(nroot(n, 7))) min n), 7)))",False
59,-2017.0,8,1290.5985345840454,"cosh(tan(nroot((n min (cosh(cosh((sin(ceil(sin(n))) max sin(n)))) + 4)), 7)))",False
60,-895.0,6,670.7127838134766,"cosh(tan(nroot(((e + e) min n), 7)))",False
61,-2011.0,8,1324.4096693992615,"cosh(tan(nroot((n min (((e / cos(sin(n))) + e) min (7 - euler_gamma))), 7)))",False
62,-5021.0,11,2193.4915924072266,"cosh(tan(nroot((((((e % nroot(n, 7)) ** (acos(atan(sin(n))) / catalan)) max sin(n)) + (e + e)) min n), 7)))",False
63,-2019.0,8,1364.9341740608215,"sinh(tan(nroot((((phi ** 4) - (7 % acos(((7 % n) / n)))) min n), 7)))",False
64,-2018.0,8,1313.3405067920685,"sinh(tan(nroot((n min (atan(7) + nroot((cosh(e) min n), atan(pi)))), 7)))",False
65,-2019.0,8,1317.2384130954742,"sinh(tan(nroot((((phi ** 4) - (7 % acos(((7 % n) / n)))) min n), 7)))",False
66,-895.0,6,678.519814491272,"cosh(tan(nroot((n min (e + e)), 7)))",False
67,-293.0,4,367.55162024497986,(cos(n) + (n + n)),False
68,-896.0,6,754.1034739017487,"cosh(tan(nroot((n min (atan(7) + 4)), 7)))",False
69,-896.0,6,757.7975454330444,"sinh(tan(nroot(((atan(7) + 4) min n), 7)))",False
70,-1381.0,7,732.5908915996552,"cosh(tan(nroot(((7 - (tan(cos(tan(n))) max tan(7))) min n), 7)))",False
71,-1378.0,7,793.5718328952789,"sinh(tan(nroot(((sinh(tan(nroot(((n % atan(n)) min catalan), 7))) + 4) min n), 7)))",False
72,-2012.0,8,1439.7866716384888,"cosh(tan(nroot((n min ((e + e) max (sin(n) + (e + e)))), 7)))",False
73,-3820.0,10,1925.8104298114777,"sinh(tan(nroot(((e + ((((e % nroot(n, 7)) ** (acos(sin(sin(n))) / catalan)) max sin(n)) + e)) min n), 7)))",False
74,-896.0,6,757.8484945297241,"sinh(tan(nroot(((atan(7) + 4) min n), 7)))",False
75,-1377.0,7,966.4383895397186,"cosh(tan(nroot(((atan(n) + (tan(nroot(n, 7)) ** log_{e}(pi))) min n), 7)))",False
76,-2010.0,8,1363.6189386844635,"sinh(tan(nroot((((phi ** 4) - (n % acos(G))) min ((phi * 4) min n)), 7)))",False
77,-896.0,6,676.2832779884338,"cosh(tan(nroot((n min (7 - atan(n))), 7)))",False
