run,fitness,matches,elapsed_time_seconds,expression,is_new_best
1,-6477.0,12,855.1932053565979,((5 | (n + (5 << 2))) min ((n min (5 + sqrt5)) + cosh(log2((sinh(sqrt(n)) + (n // 5)))))),True
2,-6477.0,12,741.5691838264465,((5 | (n + (5 << 2))) min ((n min (5 + sqrt5)) + cosh(log2((sinh(sqrt(n)) + (n // 5)))))),False
3,-6477.0,12,676.1122312545776,((5 | (n + (5 << 2))) min ((n min (5 + sqrt5)) + cosh(log2((sinh(sqrt(n)) + (n // 5)))))),False
4,-6477.0,12,671.7691190242767,((5 | (n + (5 << 2))) min ((n min (5 + sqrt5)) + cosh(log2((sinh(sqrt(n)) + (n // 5)))))),False
5,-6477.0,12,689.7595529556274,((5 | (n + (5 << 2))) min ((n min (5 + sqrt5)) + cosh(log2((sinh(sqrt(n)) + (n // 5)))))),False
6,-6477.0,12,693.2405958175659,((5 | (n + (5 << 2))) min ((n min (5 + sqrt5)) + cosh(log2((sinh(sqrt(n)) + (n // 5)))))),False
7,-6477.0,12,679.3185143470764,((5 | (n + (5 << 2))) min ((n min (5 + sqrt5)) + cosh(log2((sinh(sqrt(n)) + (n // 5)))))),False
8,-6477.0,12,677.1355016231537,((5 | (n + (5 << 2))) min ((n min (5 + sqrt5)) + cosh(log2((sinh(sqrt(n)) + (n // 5)))))),False
9,-6477.0,12,671.6963737010956,((5 | (n + (5 << 2))) min ((n min (5 + sqrt5)) + cosh(log2((sinh(sqrt(n)) + (n // 5)))))),False
10,-6477.0,12,676.4825549125671,((5 | (n + (5 << 2))) min ((n min (5 + sqrt5)) + cosh(log2((sinh(sqrt(n)) + (n // 5)))))),False
11,-6477.0,12,704.6794967651367,((5 | (n + (5 << 2))) min ((n min (5 + sqrt5)) + cosh(log2((sinh(sqrt(n)) + (n // 5)))))),False
12,-6477.0,12,694.5309472084045,((5 | (n + (5 << 2))) min ((n min (5 + sqrt5)) + cosh(log2((sinh(sqrt(n)) + (n // 5)))))),False
13,-6477.0,12,777.4798724651337,((5 | (n + (5 << 2))) min ((n min (5 + sqrt5)) + cosh(log2((sinh(sqrt(n)) + (n // 5)))))),False
