generation,individual,population_size,generations,max_depth,keep_pct,crossover_pct,random_pct,match_weight_factor,mutation_rate,fitness,matches,elapsed_time_seconds,expression
1,8,200,1000,7,0.7056993761305904,0.04165241071287445,0.25264821315653513,2.8902802005333714,0.6131140242305928,0.3459872159853084,2,3.681382656097412,(sqrt2 + n)
1,6,300,500,5,0.240596205574943,0.36115008154463574,0.3982537128804213,7.1700891510336815,0.7390049510774127,0.08368096788775639,4,5.066892385482788,((cos(n) + n) + n)
1,3,1500,500,7,0.966302434432649,0.00015945178004064947,0.03353811378731039,2.6787125922909802,0.9245238097859599,0.3733136592846438,2,7.090394973754883,(sqrt2 + n)
1,10,100,4000,4,0.584053119090059,0.22888674292966205,0.18706013798027898,8.293186383994284,0.46312135018823447,0.0723485488229217,4,6.661101579666138,(n + (n + cos(n)))
1,12,50,1500,4,0.8793457081040668,0.06950695712450011,0.05114733477143313,9.510119957979995,0.6231785216702788,0.10515114471935702,2,0.5067241191864014,(sqrt2 + n)
1,1,300,2000,4,0.6228740059826632,0.35861878300146743,0.018507211015869385,6.447162458023533,0.34081071887813147,0.09306419745221348,4,14.038727521896362,(n + (cos(n) + n))
1,14,100,5000,4,0.35787239964876083,0.011305807622799806,0.6308217927284394,2.2576418544724692,0.6354399742695956,0.26576403108906693,4,4.68207573890686,((n + cos(n)) + n)
1,11,200,2000,9,0.7140069078118473,0.024448502703638055,0.26154458948451464,6.297306860395101,0.2925780221442546,0.0952788252663227,4,12.785231828689575,(cos(n) + (n + n))
1,15,50,5000,5,0.9061187249645924,0.017666147091773228,0.07621512794363433,6.157318991026884,0.4978425280342561,0.162408347116222,2,1.8397979736328125,(sqrt3 + n)
1,17,100,4000,5,0.6892952096452313,0.23400735529641875,0.07669743505834997,4.120034436648503,0.9425285808186336,0.1456298507271891,4,9.48513674736023,(n + (n + cos(n)))
