machine | field | kills in window | mirror is a kill of the same field | mirror is a kill of any field | mirror is a twin member
23 | lower:79 | 1 | 0/1 | 1/1 | 0/1
23 | lower:83 | 1 | 0/1 | 1/1 | 0/1
23 | lower:89 | 1 | 0/1 | 1/1 | 0/1
23 | lower:97 | 1 | 0/1 | 1/1 | 0/1
23 | lower:101 | 1 | 0/1 | 1/1 | 0/1
23 | lower:103 | 1 | 0/1 | 1/1 | 0/1
23 | lower1:7 | 2 | 0/2 | 2/2 | 0/2
23 | lower1:11 | 4 | 0/4 | 4/4 | 0/4
23 | lower1:13 | 5 | 0/5 | 5/5 | 0/5
23 | lower1:17 | 5 | 0/5 | 5/5 | 0/5
23 | lower1:19 | 6 | 0/6 | 6/6 | 0/6
23 | lower1:23 | 6 | 0/6 | 6/6 | 0/6
23 | lower1:29 | 5 | 0/5 | 5/5 | 0/5
23 | lower1:31 | 5 | 0/5 | 5/5 | 0/5
23 | lower1:37 | 4 | 0/4 | 4/4 | 0/4
23 | lower1:41 | 3 | 0/3 | 3/3 | 0/3
23 | lower1:43 | 3 | 0/3 | 3/3 | 0/3
23 | lower1:47 | 3 | 0/3 | 3/3 | 0/3
23 | lower1:53 | 2 | 0/2 | 2/2 | 0/2
23 | lower1:59 | 2 | 0/2 | 2/2 | 0/2
23 | lower1:61 | 2 | 0/2 | 2/2 | 0/2
23 | lower1:67 | 2 | 0/2 | 2/2 | 0/2
23 | lower1:71 | 2 | 0/2 | 2/2 | 0/2
23 | lower1:73 | 2 | 0/2 | 2/2 | 0/2
23 | lower1:79 | 1 | 0/1 | 1/1 | 0/1
23 | lower1:83 | 1 | 0/1 | 1/1 | 0/1
23 | lower1:89 | 1 | 0/1 | 1/1 | 0/1
23 | lower1:97 | 1 | 0/1 | 1/1 | 0/1
23 | lower1:101 | 1 | 0/1 | 1/1 | 0/1
23 | lower1:103 | 1 | 0/1 | 1/1 | 0/1
23 | multiples | 79 | 79/79 | 79/79 | 0/79
23 | products:2 | 69 | 21/69 | 69/69 | 0/69
23 | products:3 | 10 | 3/10 | 10/10 | 0/10
23 | squares | 7 | 0/7 | 7/7 | 0/7
29 | higher:5 | 54 | 54/54 | 54/54 | 0/54
29 | higher:7 | 31 | 31/31 | 31/31 | 0/31
29 | higher:11 | 17 | 17/17 | 17/17 | 0/17
29 | higher:13 | 13 | 13/13 | 13/13 | 0/13
29 | higher:17 | 9 | 9/9 | 9/9 | 0/9
29 | higher:19 | 7 | 7/7 | 7/7 | 0/7
29 | higher:23 | 3 | 3/3 | 3/3 | 0/3
29 | higher:29 | 1 | 1/1 | 1/1 | 0/1
29 | higher1:5 | 44 | 33/44 | 44/44 | 0/44
29 | higher1:7 | 26 | 21/26 | 26/26 | 0/26
29 | higher1:11 | 16 | 14/16 | 16/16 | 0/16
29 | higher1:13 | 12 | 11/12 | 12/12 | 0/12
29 | higher1:17 | 8 | 7/8 | 8/8 | 0/8
29 | higher1:19 | 6 | 6/6 | 6/6 | 0/6
29 | higher1:23 | 2 | 2/2 | 2/2 | 0/2
29 | lower:5 | 2 | 0/2 | 2/2 | 0/2
29 | lower:7 | 5 | 0/5 | 5/5 | 0/5
29 | lower:11 | 7 | 0/7 | 7/7 | 0/7
29 | lower:13 | 8 | 0/8 | 8/8 | 0/8
29 | lower:17 | 8 | 0/8 | 8/8 | 0/8
29 | lower:19 | 8 | 0/8 | 8/8 | 0/8
29 | lower:23 | 9 | 0/9 | 9/9 | 0/9
29 | lower:29 | 9 | 0/9 | 9/9 | 0/9
