the {3, h} rows per machine: hits of the form S = {3, h} with h a single gear above sqrt q (landing E +- 6h); listed as h+ or h-
q = 277: E = 9119; gears above sqrt q in reach 53 (x2 directions); hits 9: 37+ 43- 47- 53+ 97- 197+ 223+ 227- 277-
q = 281: E = 7739; gears above sqrt q in reach 54 (x2 directions); hits 6: 23+ 47- 163- 173- 257+ 257-
q = 283: E = 9239; gears above sqrt q in reach 55 (x2 directions); hits 8: 17+ 37+ 67- 73+ 103+ 107- 227- 283+
q = 293: E = 8339; gears above sqrt q in reach 55 (x2 directions); hits 8: 43+ 83+ 97- 157+ 167+ 223+ 263- 283+
q = 307: E = 10079; gears above sqrt q in reach 56 (x2 directions); hits 10: 37+ 37- 67- 103- 107- 163+ 173+ 173- 257- 283+
q = 311: E = 8579; gears above sqrt q in reach 57 (x2 directions); hits 4: 43+ 47+ 127+ 137-
q = 313: E = 10199; gears above sqrt q in reach 58 (x2 directions); hits 8: 43+ 127- 193- 223- 227- 263+ 277- 307+
q = 317: E = 8819; gears above sqrt q in reach 59 (x2 directions); hits 8: 37+ 37- 47- 103+ 107+ 157- 173+ 227-
q = 331: E = 11039; gears above sqrt q in reach 60 (x2 directions); hits 11: 97- 113+ 167+ 167- 197- 223+ 227- 263- 283- 293- 313+
q = 337: E = 9179; gears above sqrt q in reach 61 (x2 directions); hits 10: 23- 43+ 47+ 53- 83+ 97- 107- 113+ 293+ 313+
q = 347: E = 11639; gears above sqrt q in reach 62 (x2 directions); hits 11: 23+ 67+ 97- 197+ 197- 223- 227+ 263+ 283+ 293+ 347+
q = 349: E = 9299; gears above sqrt q in reach 63 (x2 directions); hits 9: 23+ 43- 73- 127- 167+ 193+ 257- 293+ 307-
q = 353: E = 11879; gears above sqrt q in reach 64 (x2 directions); hits 15: 47+ 83+ 127- 137- 157+ 157- 173+ 223+ 263- 307+ 307- 313+ 337+ 337- 353+
q = 359: E = 9659; gears above sqrt q in reach 65 (x2 directions); hits 8: 37- 53- 103- 107+ 137- 233+ 317- 353+
q = 367: E = 12359; gears above sqrt q in reach 65 (x2 directions); hits 11: 53- 97- 107+ 107- 163+ 173+ 227+ 233+ 257+ 317- 367+
q = 373: E = 10019; gears above sqrt q in reach 66 (x2 directions); hits 11: 47+ 73+ 97- 113- 163- 173+ 193- 197- 283+ 293+ 337+
q = 379: E = 12719; gears above sqrt q in reach 67 (x2 directions); hits 14: 47+ 83+ 103+ 113+ 113- 157- 167+ 167- 173+ 193+ 197+ 227+ 277- 307+
q = 383: E = 10259; gears above sqrt q in reach 68 (x2 directions); hits 10: 37- 67- 97- 113+ 137- 163- 233- 277- 317+ 353+
q = 389: E = 13079; gears above sqrt q in reach 69 (x2 directions); hits 11: 23+ 43+ 43- 53+ 107+ 113+ 137+ 167+ 173- 227- 337-
q = 397: E = 10739; gears above sqrt q in reach 70 (x2 directions); hits 11: 47- 53+ 73- 163+ 173+ 233- 283- 313- 317- 347+ 367-
