rung  digits(P)   j_k    6|j|/(ln P)^2   s^2 mod 5,7,11,13   time
  0        1        1       2.316      [1, 1, 3, 10]      0.0s
  1        2        4       1.740      [4, 0, 4, 9]      0.0s
  2        4        6       0.642      [4, 2, 3, 10]      0.0s
  3        7       77       2.059      [0, 2, 3, 10]      0.0s
  4       14       44       0.294      [4, 4, 9, 3]      0.0s
  5       27     -829       1.386      [4, 4, 4, 10]      0.0s
  6       53     3605       1.507      [0, 0, 4, 4]      0.1s
  7      105    28145       2.941      [0, 0, 9, 4]      2.8s
  8      209    -6965       0.182      [0, 4, 5, 3]      4.6s
final P has 417 digits; P = 201073501434590837463208717002421715728968702326680018529548...
