Q	g	N_cur	raw	fresh	D_raw	D_fresh	N_cur_sec	raw_sec	fresh_sec	D_raw_sec	D_fresh_sec	N_cur_left	fresh_left	pct	pct_sec	fits	delta_lower	hist_range	hist_std	N_live	D_live	pct_live
173	17	1575	184	184	-1.2941	-1.2941	105	13	13	0.6471	0.6471	786	90	0.1250	0.3125	1	-1.7059	8	2.2994	1568	-0.4706	0.0625
173	19	1391	168	150	2.2105	3.5789	92	13	12	1.9474	2.3158	696	73	0.9444	0.7778	0	1.2632	8	1.9352	1382	4.5263	0.9444
173	23	1241	137	105	0.0435	-2.9130	80	10	7	0.8696	0.0435	623	55	0.6818	0.2727	0	1.7391	12	2.7580	1228	-1.7826	0.5909
173	29	1136	103	77	-5.6207	-1.3448	73	8	4	0.7586	-1.0345	568	39	0.2500	0.6071	0	nan	11	2.6790	1115	0.1034	0.0357
173	31	1059	99	70	-2.6129	1.6774	69	7	4	0.2258	-0.4516	529	38	0.5000	0.2667	0	nan	10	2.6772	1036	3.1613	0.7667
173	37	989	85	51	-0.1351	-2.4595	65	8	4	2.3243	0.4865	491	29	0.5278	0.1111	0	nan	8	1.8694	955	-0.6216	0.1944
173	41	938	76	45	-0.8293	-0.7561	61	6	4	0.8780	1.0244	462	24	0.1500	0.7000	0	nan	9	2.3079	897	1.2439	0.4250
173	43	893	76	49	2.7442	7.4651	57	6	3	1.1163	0.3488	438	26	0.9286	0.2143	0	nan	11	2.7180	849	9.5116	0.9762
173	47	844	68	41	0.9787	5.0851	54	6	5	1.5319	2.7021	412	18	0.9130	0.9565	0	nan	12	2.2874	789	7.4255	0.9348
173	53	803	56	36	-3.4340	5.6981	49	1	0	-2.9623	-1.8491	394	19	0.9615	0.8269	0	nan	11	2.2770	735	8.2642	0.9808
173	59	767	53	32	-0.3898	6.0000	49	4	3	0.4407	1.3390	375	16	0.9310	0.7414	0	nan	10	2.1392	686	8.7458	0.9828
173	61	735	52	30	0.3607	5.9016	46	4	1	0.5574	-0.5082	359	16	0.9667	0.4500	0	nan	11	2.2355	649	8.7213	0.9833
173	67	705	48	29	0.9851	7.9552	45	3	1	-0.1343	-0.3433	343	14	0.9848	0.2424	0	nan	12	2.3395	600	11.0896	0.9848
173	71	676	44	25	-0.3662	5.9577	44	2	1	-0.9577	-0.2394	329	11	0.9571	0.2429	0	nan	11	2.1020	560	9.2254	0.9857
173	73	651	41	21	-2.1507	3.1644	43	3	2	0.1233	0.8219	318	7	0.8611	0.4861	0	nan	9	1.9846	532	6.4247	0.9722
173	79	630	41	18	1.1266	2.0506	41	3	1	0.3418	-0.0380	311	8	0.5256	0.2436	0	nan	9	2.0926	496	5.4430	0.9615
173	83	612	37	18	-0.9518	3.2530	40	2	1	-0.5301	0.0361	303	6	0.8659	0.2561	0	nan	9	1.8348	464	6.8193	0.9878
173	89	594	38	16	2.6067	2.6517	39	3	2	0.6404	1.1236	297	6	0.6705	0.8977	0	nan	10	2.0155	432	6.2921	0.9659
173	97	578	32	10	-0.4742	-1.9175	37	2	1	-0.1649	0.2371	291	4	0.5521	0.2188	0	nan	8	1.6492	395	1.8557	0.6250
173	101	568	30	15	-1.1881	3.7525	36	0	0	-2.0792	-0.7129	287	4	0.8000	0.5700	0	nan	9	1.9794	370	7.6733	0.9900
173	103	553	29	11	-1.5825	0.2621	36	1	1	-1.0388	0.3010	283	3	0.0882	0.1863	0	nan	8	1.7570	348	4.2427	0.9314
173	107	542	30	6	0.5607	-4.1308	35	1	0	-0.9626	-0.6542	280	3	0.9434	0.5943	0	nan	10	1.7523	327	-0.1121	0.1132
173	109	536	27	11	-1.8991	1.1651	35	2	1	0.0734	0.3578	277	3	0.4444	0.2315	0	nan	7	1.4847	315	5.2202	0.9907
173	113	525	27	5	-0.8761	-4.2920	34	3	2	1.1416	1.3982	274	0	0.9464	0.9375	0	nan	8	1.6071	293	-0.1858	0.1339
173	127	520	25	7	0.1969	-1.1890	32	1	0	-0.6535	-0.5039	274	0	0.4444	0.6032	0	nan	9	1.5845	246	3.1260	0.9683
173	131	513	27	5	2.9542	-2.8321	32	4	2	2.3969	1.5115	274	0	0.8769	0.9538	0	nan	9	1.5680	227	1.5344	0.7615
173	137	508	21	6	-1.9927	-1.4161	30	2	1	0.4672	0.5620	274	0	0.4559	0.7794	0	nan	7	1.4457	195	3.1533	0.9559
173	139	502	21	5	-1.6619	-2.2230	29	0	0	-1.5108	-0.4173	274	0	0.6739	0.3261	0	nan	8	1.6382	183	2.3669	0.8623
173	149	497	21	3	-0.1409	-3.6711	29	1	0	-0.4094	-0.3893	274	0	0.9459	0.3108	0	nan	6	1.4774	133	1.2148	0.7230
173	151	494	22	7	1.1391	0.4570	29	2	2	0.6093	1.6159	274	0	0.1067	0.9800	0	nan	8	1.4870	120	5.4106	0.9933
173	157	487	21	3	0.9363	-3.2038	27	3	2	1.6624	1.6561	274	0	0.8974	0.9679	0	nan	7	1.5401	93	1.8153	0.9295
173	163	484	22	3	2.6748	-2.9387	25	1	0	-0.2883	-0.3067	274	0	0.8827	0.3827	0	nan	6	1.2553	73	2.1043	0.9630
173	167	481	20	0	1.1377	-5.7605	25	1	0	-0.2575	-0.2994	274	0	0.9940	0.3614	0	nan	8	1.4877	49	-0.5868	0.6627
173	173	481	17	1	-1.2081	-4.5607	25	0	0	-1.2139	-0.2890	274	0	0.9942	0.3721	0	nan	6	1.4053	26	0.6994	0.8488
