Q	g	N_cur	raw	fresh	D_raw	D_fresh	N_cur_sec	raw_sec	fresh_sec	D_raw_sec	D_fresh_sec	N_cur_left	fresh_left	pct	pct_sec	fits	delta_lower	hist_range	hist_std	N_live	D_live	pct_live
4999	17	1237501	145584	145584	-4.3529	-4.3529	1978	228	228	-4.7059	-4.7059	618752	72793	0.9375	0.7500	1	-1.7059	7	2.0647	1237501	-4.3529	0.9375
4999	19	1091917	130262	114935	-1.2632	-3.6316	1750	208	187	-0.2105	2.7895	545959	57473	0.9444	0.5556	1	1.2632	13	3.8121	1091917	-3.6316	0.9444
4999	23	976982	107603	84950	-5.7826	-4.9565	1563	170	137	-2.0000	1.0870	488486	42475	0.7727	0.3182	1	1.7391	20	4.6050	976982	-4.9565	0.7727
4999	29	892032	85344	61523	-0.8966	3.5517	1426	129	93	-7.4138	-5.3448	446011	30750	0.4286	0.8929	0	nan	30	6.8677	892032	3.5517	0.4286
4999	31	830509	79840	53583	1.2258	1.7742	1333	129	83	1.3871	-3.0000	415261	26799	0.1333	0.8333	0	nan	38	9.4585	830509	1.7742	0.1333
4999	37	776926	66892	41982	0.0541	-14.0000	1250	107	69	0.0811	1.4324	388462	21010	0.6389	0.5556	0	nan	41	10.3637	776926	-14.0000	0.6389
4999	41	734944	60365	35854	-0.9024	3.0732	1181	95	60	-1.4878	2.3902	367452	17927	0.1500	0.1750	0	nan	39	9.4665	734944	3.0732	0.1500
4999	43	699090	57558	32521	-0.1860	5.1860	1121	96	52	4.0000	-0.1395	349525	16266	0.3571	0.0238	0	nan	70	15.6217	699090	5.1860	0.3571
4999	47	666569	52658	28429	-1.6170	64.3617	1069	81	44	-3.1702	-1.4894	333259	14231	0.9783	0.3478	0	nan	70	17.9077	666569	64.3617	0.9783
4999	53	638140	46698	24103	-0.1509	22.2453	1025	73	41	-1.6415	2.3208	319028	12039	0.6346	0.5192	0	nan	67	15.4349	638140	22.2453	0.6346
4999	59	614037	41948	20892	-1.1864	77.1864	984	68	31	0.9492	-2.3559	306989	10441	0.9828	0.3966	0	nan	98	21.4034	614037	77.1864	0.9828
4999	61	593145	40574	19532	0.1967	84.6230	953	64	35	-0.8525	3.7541	296548	9781	0.9833	0.7333	0	nan	98	21.1835	593145	84.6230	0.9833
4999	67	573613	36941	17141	0.6716	18.2239	918	64	33	4.9552	5.5970	286767	8576	0.7273	0.8939	0	nan	97	17.9044	573613	18.2239	0.7273
4999	71	556472	34860	15729	0.8169	53.7324	885	55	27	-0.7183	2.0704	278191	7845	0.9857	0.3714	0	nan	93	18.8038	556470	53.7887	0.9857
4999	73	540743	33904	14873	-0.1370	58.1233	858	56	22	1.8082	-1.5068	270346	7415	0.9861	0.4722	0	nan	108	19.8460	540738	58.2603	0.9861
4999	79	525870	31328	13335	-1.1392	21.8354	836	51	21	0.9241	-0.1646	262931	6633	0.6538	0.1026	0	nan	87	19.4172	525850	22.3418	0.6538
4999	83	512535	29818	12338	-1.3012	-12.2410	815	48	23	0.3373	3.3614	256298	6136	0.3049	0.7317	0	nan	91	20.4034	512501	-11.4217	0.3049
4999	89	500197	27810	11289	0.9888	48.6180	792	44	21	-0.4494	3.2022	250162	5579	0.9886	0.6364	0	nan	125	21.2184	500149	49.6966	0.9886
4999	97	488908	25517	10079	1.5155	-1.5773	771	42	17	1.2165	1.1031	244583	4972	0.0938	0.3646	0	nan	78	17.7322	488839	-0.1546	0.0208
