Q	Qn	a	k_lo	k_hi	W	S	N_A	N_A_sec	twins	twins_sec	surv	surv_sec	ok	sum_fresh	R	R_sec	prod	maxDf	gDf	NcurDf	freshDf	maxDr	gDr	maxDfs	gDfs	NcurDfs	freshDfs	E_win	E_sec	top_max	room	pct_mean	pct_sec_mean	maxDl	gDl	NliveDl	pct_live_mean	E_live
61	67	13	11	747	737	127	219	41	110	19	110	19	1	109	1.0832	0.9994	0.4637	-3.7966	59	112	0	2.2353	17	2.1321	53	23	3	0.0345	0.1497	3.7966	4.6206	0.5955	0.4287	3.6471	17	207	0.6045	0.2342
67	71	13	12	839	828	91	244	25	121	11	121	11	1	123	1.1023	0.9781	0.4499	-3.3051	59	127	1	2.6170	47	-1.9412	17	25	1	0.0247	0.3374	3.3051	4.6984	0.5827	0.5728	4.6744	43	93	0.5127	0.2916
71	73	13	13	887	875	47	259	15	123	3	123	3	1	136	1.0862	0.4575	0.4372	-3.4068	59	130	1	2.9787	47	1.6316	19	13	3	0.0433	0.9290	3.4068	4.7295	0.6052	0.6242	4.4419	43	98	0.6300	0.4964
73	79	13	13	1039	1027	151	300	41	138	15	138	15	1	162	1.0818	0.8604	0.4252	-3.7808	73	138	0	2.6792	53	3.1321	53	23	4	0.0488	0.3772	3.7808	4.8486	0.6218	0.5421	5.2791	43	123	0.5477	0.2892
79	83	13	14	1147	1134	107	335	34	152	14	152	14	1	183	1.0948	0.9935	0.4145	-4.1644	73	152	0	2.3585	53	1.8421	19	30	5	0.0505	0.2166	4.1644	4.9333	0.6655	0.4380	5.3488	43	143	0.6133	0.2629
83	89	13	15	1319	1305	171	385	49	166	14	166	14	1	219	1.0660	0.7064	0.4045	4.4194	31	257	21	-1.7805	41	2.9355	31	32	5	0.0636	0.4414	4.2025	5.0481	0.6963	0.4488	6.1613	31	230	0.6388	0.2934
89	97	13	16	1567	1552	247	458	72	187	21	187	21	1	271	1.0327	0.7377	0.3954	3.7612	67	209	10	3.3284	67	2.9565	23	58	8	0.0744	0.4123	3.7612	5.1990	0.7421	0.5716	7.0149	67	100	0.5955	0.3252
97	101	13	17	1699	1683	131	500	41	202	15	202	15	1	298	1.0433	0.9448	0.3872	4.4516	31	334	26	-2.6986	73	1.8293	41	24	3	0.0664	0.3278	4.1649	5.2659	0.6771	0.5385	6.5075	67	117	0.6368	0.2898
101	103	13	18	1767	1750	67	518	19	208	7	208	7	1	310	1.0579	0.9707	0.3796	4.7419	31	345	27	-3.1918	73	1.4054	37	11	2	0.0648	0.4271	4.2887	5.2812	0.6495	0.4728	6.4194	31	319	0.6780	0.2686
103	107	13	18	1907	1890	139	560	41	218	10	218	10	1	342	1.0459	0.6553	0.3722	-4.5361	97	220	0	-3.3425	73	2.1489	47	20	3	0.0652	0.6060	4.5361	5.3396	0.6405	0.5979	5.7910	67	141	0.6951	0.3683
107	109	13	19	1979	1961	71	580	20	223	6	223	6	1	357	1.0527	0.8214	0.3652	-4.6598	97	226	0	-3.8904	73	-1.8947	19	18	0	0.0683	0.6114	4.6598	5.3558	0.6617	0.5626	6.5224	67	150	0.6948	0.4459
109	113	13	19	2127	2109	147	624	44	234	11	234	11	1	390	1.0459	0.6973	0.3585	-4.2936	109	234	0	-3.4118	17	1.6203	79	15	2	0.0716	0.6046	4.2936	5.4104	0.6720	0.5873	6.0000	43	301	0.7138	0.3417
113	127	13	20	2687	2668	559	789	164	276	42	276	42	1	513	0.9933	0.7272	0.3522	5.4884	43	441	26	-3.6164	73	-3.2759	29	120	5	0.0751	0.3855	4.8850	5.6272	0.6073	0.6679	7.6279	43	395	0.8326	0.3731
127	131	13	22	2859	2838	171	838	48	288	12	288	12	1	550	0.9915	0.7212	0.3466	6.0755	53	422	22	-3.7931	29	2.0943	53	24	3	0.0778	0.5782	5.1150	5.6715	0.5636	0.5326	8.7170	53	352	0.8049	0.4143
131	137	13	23	3127	3105	267	921	82	315	27	315	27	1	606	1.0020	0.9646	0.3413	-5.6460	113	319	0	-4.4194	31	-2.6774	31	57	1	0.0656	0.2565	5.6460	5.7506	0.5408	0.5029	8.0189	53	397	0.8146	0.3896
137	139	13	24	3219	3196	91	947	27	320	6	320	6	1	627	1.0046	0.6607	0.3364	5.1628	43	534	30	-5.0968	31	-2.1765	17	27	1	0.0702	0.8026	4.7522	5.7637	0.6106	0.5928	7.4528	53	412	0.8349	0.3803
139	149	13	24	3699	3676	479	1088	140	365	45	365	45	1	723	1.0119	0.9696	0.3315	-5.6372	113	375	1	-5.1935	31	2.5294	17	140	19	0.0637	0.1940	5.6372	5.8880	0.5831	0.4625	7.7358	53	484	0.7589	0.3075
149	151	13	26	3799	3774	99	1116	28	374	10	374	10	1	742	1.0246	1.0919	0.3271	4.9180	61	521	22	-4.8305	59	-1.2941	17	28	2	0.0628	0.3475	4.8319	5.8999	0.6156	0.4792	7.7377	61	435	0.7441	0.3512
151	157	13	26	4107	4082	307	1210	94	394	20	394	20	1	816	1.0089	0.6592	0.3227	5.8302	53	614	29	-6.0645	31	2.4483	29	66	7	0.0774	0.5482	5.2743	5.9675	0.6827	0.5782	8.3962	53	546	0.7791	0.3469
157	163	13	27	4427	4401	319	1304	94	411	17	411	17	1	893	0.9892	0.5676	0.3186	8.0943	53	660	33	3.6966	89	3.4419	43	55	6	0.0925	0.6925	5.6637	6.0295	0.6724	0.6240	10.6604	53	592	0.7599	0.4003
163	167	13	28	4647	4620	219	1369	64	432	21	432	21	1	937	1.0027	1.0426	0.3147	8.0465	43	773	44	-5.4138	29	-2.2414	29	47	1	0.0824	0.3239	6.1062	6.0658	0.6336	0.5409	10.2642	53	629	0.7498	0.3577
167	173	13	29	4987	4959	339	1469	99	455	23	455	23	1	1014	0.9961	0.7471	0.3110	8.3284	67	659	28	-6.3103	29	2.6810	163	26	3	0.0895	0.4532	5.6726	6.1242	0.6927	0.5066	11.4627	67	554	0.7464	0.3850
173	179	13	30	5339	5310	351	1575	105	480	25	480	25	1	1095	0.9916	0.7747	0.3074	7.9552	67	705	29	-5.6207	29	2.7021	47	54	5	0.0897	0.4376	5.7605	6.1823	0.6998	0.5112	11.0896	67	600	0.7702	0.3854
179	181	13	31	5459	5429	119	1610	36	492	13	492	13	1	1118	1.0055	1.1882	0.3039	7.3881	67	724	29	-4.0345	29	1.6699	103	17	2	0.0859	0.4265	4.9281	6.1930	0.7322	0.5454	10.4925	67	620	0.7462	0.4008
181	191	13	31	6079	6049	619	1791	180	541	49	541	49	1	1250	1.0050	0.9057	0.3006	7.8507	67	809	32	-3.1460	137	-2.2195	41	107	3	0.0781	0.2271	5.5629	6.2884	0.7024	0.4393	10.9552	67	705	0.7548	0.3233
191	193	13	33	6207	6175	127	1833	42	547	7	547	7	1	1286	1.0034	0.5604	0.2974	7.5254	59	899	38	3.0526	19	2.1053	19	37	6	0.0800	0.8758	5.0663	6.3011	0.7105	0.5268	10.3881	67	724	0.7840	0.4416
193	197	13	33	6467	6435	259	1906	73	567	20	567	20	1	1339	1.0107	0.9308	0.2943	7.2090	67	864	33	-2.9725	109	-3.0968	31	48	0	0.0760	0.3845	5.8756	6.3297	0.6878	0.4823	10.2836	67	761	0.7877	0.3685
197	199	13	34	6599	6566	131	1946	40	574	8	574	8	1	1372	1.0124	0.6865	0.2913	7.2264	53	1001	45	3.2437	197	2.3158	19	35	6	0.0779	0.7556	5.9482	6.3403	0.6946	0.5161	9.7164	67	780	0.8018	0.3582
199	211	13	34	7419	7386	819	2189	243	626	52	626	52	1	1563	0.9915	0.7420	0.2884	10.6596	47	1183	61	-6.2258	31	-4.5263	19	214	18	0.0873	0.3878	6.2915	6.4479	0.6827	0.5537	12.8723	47	1131	0.7733	0.3374
211	223	13	36	8287	8252	867	2444	254	685	59	685	59	1	1759	0.9811	0.8131	0.2857	9.7447	47	1322	66	-3.8451	71	-4.3043	23	199	13	0.0872	0.3184	6.0051	6.5485	0.6722	0.5225	11.9574	47	1270	0.7970	0.3460
223	227	13	38	8587	8550	299	2538	93	708	23	708	23	1	1830	0.9853	0.8735	0.2831	9.7170	53	1306	59	-4.7419	31	2.2632	19	83	11	0.0887	0.4399	5.3587	6.5773	0.7065	0.4955	12.5373	67	1054	0.8002	0.3597
227	229	13	39	8739	8701	151	2577	40	716	9	716	9	1	1861	0.9901	0.8018	0.2806	10.0755	53	1323	60	-3.6204	137	2.2174	23	32	5	0.0898	0.6945	6.3084	6.5837	0.7163	0.4881	12.4906	53	1259	0.7842	0.3433
229	233	13	39	9047	9009	307	2672	94	732	16	732	16	1	1940	0.9848	0.6119	0.2782	10.1233	73	1127	41	-3.2920	113	2.9412	17	94	14	0.0909	0.7461	5.5736	6.6111	0.7016	0.6138	13.2740	73	1012	0.8059	0.4643
233	239	13	40	9519	9480	471	2808	135	764	32	764	32	1	2044	0.9866	0.8595	0.2758	10.9104	67	1276	49	-3.9927	137	2.6047	43	73	6	0.0924	0.4152	5.9289	6.6521	0.7184	0.5225	13.9254	67	1175	0.8014	0.3863
239	241	13	41	9679	9639	159	2857	49	772	9	772	9	1	2085	0.9881	0.6716	0.2735	11.2836	67	1297	50	3.8824	17	1.6699	103	17	2	0.0923	0.7970	5.7773	6.6610	0.6955	0.5041	14.2687	67	1197	0.7953	0.5394
241	251	13	41	10499	10459	819	3103	246	818	46	818	46	1	2285	0.9720	0.6895	0.2712	12.0299	67	1406	54	4.2703	37	3.0470	149	71	4	0.0966	0.4894	5.7967	6.7353	0.6927	0.6091	15.0149	67	1306	0.8376	0.4178
251	257	13	43	11007	10965	507	3250	146	851	33	851	33	1	2399	0.9732	0.8401	0.2691	11.9403	67	1476	56	-3.9116	181	-3.3226	31	98	3	0.0976	0.4482	6.7809	6.7736	0.6950	0.5333	14.9254	67	1376	0.8074	0.3757
257	263	13	44	11527	11484	519	3405	154	878	27	878	27	1	2527	0.9659	0.6568	0.2670	13.0000	53	1749	79	-3.9928	139	3.4737	19	138	18	0.0997	0.5951	6.3503	6.8123	0.6849	0.5661	15.8356	73	1320	0.8359	0.4424
263	269	13	45	12059	12015	531	3566	161	921	43	921	43	1	2645	0.9749	1.0081	0.2649	13.6027	73	1511	55	-5.1150	113	-3.0435	23	127	8	0.0937	0.2881	7.0038	6.8509	0.6883	0.4878	16.7260	73	1397	0.8362	0.3731
269	271	13	46	12239	12194	179	3615	50	927	7	927	7	1	2688	0.9752	0.5324	0.2630	13.0000	73	1533	55	-4.9448	181	1.9056	233	11	2	0.0968	1.0734	7.0570	6.8571	0.7059	0.5591	16.0959	73	1420	0.8384	0.4999
271	277	13	46	12787	12742	547	3780	164	957	30	957	30	1	2823	0.9700	0.7008	0.2610	15.1096	73	1602	59	4.1053	19	2.8421	19	144	18	0.1018	0.5368	7.2928	6.8943	0.7107	0.5651	18.2055	73	1489	0.8370	0.4122
277	281	13	47	13159	13113	371	3889	109	977	20	977	20	1	2912	0.9695	0.7081	0.2591	14.3396	53	2005	90	-4.3933	89	-3.1053	19	96	7	0.1021	0.6688	7.4525	6.9155	0.7060	0.5801	16.8356	73	1539	0.8600	0.4408
281	283	13	48	13347	13300	187	3944	55	988	12	988	12	1	2956	0.9736	0.8480	0.2573	15.2453	53	2034	92	-4.6292	89	-2.2581	31	35	0	0.1040	0.6696	7.5361	6.9224	0.7179	0.5204	17.5472	53	1973	0.8516	0.4161
283	293	13	48	14307	14260	959	4228	284	1056	68	1056	68	1	3172	0.9777	0.9372	0.2555	14.3962	53	2189	97	-3.9258	229	-3.5616	73	130	0	0.1009	0.2830	8.0760	6.9848	0.7163	0.5143	17.5060	83	1556	0.8658	0.3697
293	307	13	50	15707	15658	1399	4643	414	1144	88	1144	88	1	3499	0.9711	0.8378	0.2537	14.8028	71	2066	73	3.7925	53	4.0000	137	137	6	0.1025	0.2881	8.7985	7.0716	0.7233	0.4998	17.8732	71	1957	0.8576	0.3570
307	311	13	52	16119	16068	411	4764	120	1166	22	1166	22	1	3598	0.9710	0.7273	0.2521	15.6867	83	1922	62	4.2264	53	1.7952	83	50	3	0.1036	0.6401	8.9886	7.0908	0.7209	0.5538	19.0843	83	1781	0.8563	0.3885
311	313	13	53	16327	16275	207	4827	64	1183	18	1183	18	1	3644	0.9786	1.1230	0.2505	15.0361	83	1949	62	-3.5116	43	-2.1053	19	58	4	0.1017	0.4560	9.1179	7.0975	0.7298	0.5056	18.4096	83	1809	0.8306	0.3540
313	317	13	53	16747	16695	419	4952	124	1207	24	1207	24	1	3745	0.9795	0.7778	0.2489	15.7108	83	2004	64	-4.4393	239	-2.6809	47	63	0	0.1006	0.6097	8.1472	7.1166	0.7159	0.5309	19.0843	83	1864	0.8100	0.4032
317	331	13	54	18259	18206	1511	5399	446	1295	88	1295	88	1	4104	0.9700	0.7979	0.2473	15.9639	83	2201	69	-4.6575	181	-6.0000	43	258	6	0.1015	0.3563	10.4172	7.1967	0.7270	0.5610	19.3373	83	2061	0.8383	0.3447
331	337	13	56	18927	18872	667	5599	199	1336	41	1336	41	1	4263	0.9708	0.8382	0.2458	14.1831	71	2514	85	-3.8674	181	3.4648	71	90	6	0.1009	0.4404	8.4487	7.2271	0.7468	0.5122	17.3614	83	2143	0.8760	0.3364
337	347	13	57	20067	20011	1139	5939	339	1406	70	1406	70	1	4533	0.9689	0.8451	0.2443	16.1233	73	2587	87	5.1148	331	-3.9322	59	175	2	0.0984	0.3794	8.1061	7.2801	0.7189	0.5762	19.1644	73	2476	0.8583	0.3378
347	349	13	59	20299	20241	231	6002	64	1419	14	1419	14	1	4583	0.9732	0.9005	0.2429	-15.7317	41	3582	159	5.5094	53	2.6897	29	48	6	0.0985	0.6527	8.1787	7.2848	0.7234	0.5057	18.3699	73	2505	0.8262	0.3290
349	353	13	59	20767	20709	467	6145	142	1448	29	1448	29	1	4697	0.9756	0.8456	0.2415	15.4217	83	2514	76	-5.4173	139	4.4186	43	77	8	0.0983	0.4919	8.2980	7.3026	0.7298	0.4948	18.7711	83	2375	0.8291	0.3371
353	359	13	60	21479	21420	711	6353	208	1483	35	1483	35	1	4870	0.9720	0.7007	0.2402	15.3014	73	2763	91	6.2642	53	3.4211	19	186	23	0.1033	0.5648	8.4986	7.3302	0.7649	0.5248	18.3151	73	2653	0.8483	0.3266
359	367	13	61	22447	22387	967	6641	288	1539	56	1539	56	1	5102	0.9704	0.8142	0.2388	17.3373	83	2725	83	-4.5540	139	-4.5517	29	211	10	0.1023	0.4335	7.8991	7.3690	0.7724	0.5185	20.6867	83	2586	0.8425	0.3429
367	373	13	62	23187	23126	739	6861	220	1580	41	1580	41	1	5281	0.9695	0.7846	0.2375	17.0241	83	2821	85	4.0943	53	3.8696	23	174	19	0.1012	0.5025	8.1527	7.3961	0.7590	0.5618	20.3735	83	2682	0.8349	0.3705
373	379	13	63	23939	23877	751	7084	222	1619	39	1619	39	1	5465	0.9674	0.7436	0.2362	-16.9024	41	4221	189	-5.5517	29	4.8824	17	222	31	0.1057	0.5560	8.6810	7.4227	0.7750	0.5133	20.2048	83	2772	0.8483	0.3504
379	383	13	64	24447	24384	507	7234	149	1645	26	1645	26	1	5589	0.9677	0.7425	0.2350	17.4247	73	3160	104	-4.9337	181	2.7073	41	88	7	0.1053	0.6251	8.8204	7.4384	0.7766	0.5654	20.4384	73	3050	0.8621	0.3488
383	389	13	65	25219	25155	771	7462	227	1694	49	1694	49	1	5768	0.9711	0.9234	0.2338	17.5205	73	3266	107	-5.6207	29	-4.0930	43	131	2	0.1059	0.4042	8.9956	7.4642	0.7770	0.5040	20.5342	73	3156	0.8365	0.3326
389	397	13	66	26267	26202	1047	7774	313	1760	66	1760	66	1	6014	0.9735	0.9067	0.2326	17.6849	73	3406	111	-5.0000	23	-5.3043	23	245	16	0.1026	0.3474	9.2115	7.5000	0.7749	0.5421	20.6986	73	3296	0.8292	0.3181
397	401	13	67	26799	26733	531	7930	155	1789	29	1789	29	1	6141	0.9749	0.8085	0.2314	16.1807	83	3271	95	-5.0424	283	1.9725	109	56	3	0.1012	0.5347	9.3473	7.5148	0.7789	0.4917	19.5301	83	3132	0.8573	0.3507
401	409	13	68	27879	27812	1079	8250	319	1843	54	1843	54	1	6407	0.9702	0.7352	0.2302	19.8493	73	3619	119	-8.3913	23	-4.8261	23	251	17	0.1031	0.4996	10.1278	7.5494	0.7701	0.5688	22.8630	73	3509	0.8829	0.3518
409	419	13	69	29259	29191	1379	8660	410	1903	60	1903	60	1	6757	0.9591	0.6387	0.2291	21.3014	73	3785	125	-5.0435	23	4.7241	29	294	25	0.1076	0.5609	10.3524	7.5930	0.7432	0.5765	24.3151	73	3675	0.8570	0.3573
419	421	13	71	29539	29469	279	8740	80	1926	24	1926	24	1	6814	0.9664	1.3156	0.2280	21.2603	73	3823	126	-4.5746	181	2.4211	19	72	10	0.1036	0.3979	10.0705	7.5974	0.7540	0.5094	24.2466	73	3714	0.8683	0.3840
421	431	13	71	30959	30889	1419	9164	423	2016	90	2016	90	1	7148	0.9694	0.9375	0.2269	18.8356	73	4021	129	4.8053	113	-5.7872	47	230	4	0.1014	0.3013	9.9427	7.6400	0.7663	0.4970	21.8219	73	3912	0.8421	0.3478
431	433	13	73	31247	31175	287	9249	86	2034	19	2034	19	1	7215	0.9736	0.9780	0.2259	18.8767	73	4056	130	-4.2609	23	-1.8261	23	67	4	0.1011	0.5180	9.7489	7.6446	0.7798	0.4907	21.8356	73	3948	0.8308	0.3351
433	439	13	73	32119	32047	871	9508	258	2078	44	2078	44	1	7430	0.9720	0.7585	0.2248	17.6986	73	4172	132	-3.7826	23	-4.9302	43	149	2	0.1035	0.5669	10.1762	7.6675	0.7887	0.5826	20.6575	73	4064	0.8169	0.3260
439	443	13	74	32707	32634	587	9680	172	2101	23	2101	23	1	7579	0.9697	0.5974	0.2238	17.8630	73	4239	134	4.4138	29	4.0323	31	108	11	0.1054	0.8215	9.8502	7.6809	0.7822	0.5564	20.8219	73	4131	0.8298	0.3706
443	449	13	75	33599	33525	891	9947	266	2147	46	2147	46	1	7800	0.9687	0.7761	0.2228	17.6027	73	4358	137	5.3133	83	3.7021	47	148	10	0.1071	0.5716	11.2775	7.7036	0.7748	0.5778	20.5616	73	4250	0.8255	0.3542
449	457	13	76	34807	34732	1207	10305	357	2217	70	2217	70	1	8088	0.9699	0.8840	0.2218	17.9726	73	4527	142	4.6106	113	-4.0000	17	357	38	0.1049	0.3632	10.3436	7.7345	0.7850	0.5014	20.9315	73	4419	0.8517	0.3601
457	461	13	77	35419	35343	611	10485	179	2250	33	2250	33	1	8235	0.9717	0.8348	0.2208	17.8356	73	4605	144	-5.3789	227	4.7297	37	116	11	0.1045	0.5307	9.8468	7.7474	0.7817	0.4949	20.8523	149	2991	0.8391	0.3514
461	463	13	78	35727	35650	307	10575	90	2259	10	2259	10	1	8316	0.9715	0.5053	0.2199	16.9315	73	4638	144	-5.1583	139	2.6552	29	63	7	0.1069	1.1197	9.8862	7.7516	0.7830	0.5653	21.4899	149	3018	0.8288	0.3552
463	467	13	78	36347	36270	619	10760	184	2289	30	2289	30	1	8471	0.9717	0.7447	0.2189	18.6849	73	4720	148	5.3784	37	-3.1579	19	163	14	0.1068	0.6809	10.0175	7.7646	0.7729	0.5281	21.8583	127	3438	0.8231	0.3499
467	479	13	79	38239	38161	1891	11322	561	2389	100	2389	100	1	8933	0.9679	0.8177	0.2180	20.0361	83	4688	133	-5.1980	101	3.5652	23	442	42	0.1065	0.3458	10.3774	7.8113	0.7550	0.5216	23.3133	83	4552	0.8141	0.3524
479	487	13	81	39527	39447	1287	11703	381	2463	74	2463	74	1	9240	0.9694	0.8947	0.2171	19.3253	83	4842	136	-4.9331	239	3.7151	179	115	5	0.1053	0.3682	10.7028	7.8402	0.7635	0.5325	22.6024	83	4706	0.8224	0.3256
487	491	13	82	40179	40098	651	11896	193	2487	24	2487	24	1	9409	0.9670	0.5752	0.2162	19.2877	73	5209	162	4.7216	97	3.3433	67	89	6	0.1072	0.8807	10.8200	7.8524	0.7696	0.5622	22.2192	73	5102	0.8366	0.3756
491	499	13	83	41499	41417	1319	12286	390	2557	70	2557	70	1	9729	0.9666	0.8336	0.2153	21.2466	73	5393	169	-5.2871	101	-4.0968	31	265	13	0.1059	0.4340	11.1497	7.8806	0.7772	0.5535	24.1781	73	5286	0.8635	0.3742
499	503	13	84	42167	42084	667	12486	199	2585	28	2585	28	1	9901	0.9654	0.6561	0.2145	20.0822	73	5472	170	-5.3507	211	4.0233	43	107	9	0.1078	0.7573	10.3607	7.8927	0.7791	0.5531	23.0137	73	5365	0.8785	0.3600
503	509	13	85	43179	43095	1011	12785	298	2631	46	2631	46	1	10154	0.9634	0.7227	0.2136	20.2466	73	5612	174	-7.1848	211	-4.8947	19	265	23	0.1099	0.6176	10.4881	7.9124	0.7703	0.5778	23.1781	73	5505	0.8549	0.3619
509	521	13	86	45239	45154	2059	13396	610	2740	109	2740	109	1	10656	0.9613	0.8398	0.2128	20.5479	73	5893	182	-6.2673	101	4.8375	277	161	6	0.1083	0.3530	12.0036	7.9551	0.7625	0.5264	23.4795	73	5786	0.8524	0.3433
521	523	13	88	45587	45500	347	13499	104	2760	21	2760	21	1	10739	0.9647	0.9527	0.2119	21.4521	73	5933	184	-5.3643	269	4.3023	43	58	7	0.1075	0.6362	11.8159	7.9590	0.7728	0.5060	24.3562	73	5827	0.8604	0.3370
523	541	13	88	48779	48692	3191	14444	944	2917	157	2917	157	1	11527	0.9565	0.7877	0.2111	19.4932	73	6333	193	-5.4680	359	7.6316	19	830	95	0.1065	0.3445	12.2130	8.0228	0.7638	0.5387	24.5491	173	3845	0.8524	0.3326
541	547	13	91	49867	49777	1087	14768	324	2962	45	2962	45	1	11806	0.9535	0.6603	0.2104	19.3526	173	4381	70	-4.9810	211	-4.1053	19	286	26	0.1095	0.6582	13.7148	8.0413	0.7717	0.5488	24.4624	173	3939	0.8623	0.3586
547	557	13	92	51707	51616	1839	15317	548	3061	99	3061	99	1	12256	0.9535	0.8620	0.2096	20.8356	73	6722	205	-5.1848	211	-6.6512	43	315	8	0.1087	0.3598	15.7112	8.0741	0.7742	0.5225	25.4393	173	4114	0.8815	0.3379
557	563	13	94	52827	52734	1119	15648	331	3115	54	3115	54	1	12533	0.9532	0.7812	0.2088	21.1850	173	4655	75	-4.3420	269	3.8108	37	207	15	0.1098	0.5412	10.3967	8.0919	0.7660	0.5654	26.2948	173	4213	0.8726	0.3457
563	569	13	95	53959	53865	1131	15983	335	3186	71	3186	71	1	12797	0.9579	1.0185	0.2081	20.9249	173	4764	76	-4.0601	499	-3.0435	23	265	20	0.1075	0.2876	11.3179	8.1095	0.7791	0.4761	26.0347	173	4322	0.8733	0.3231
569	571	13	96	54339	54244	379	16094	111	3206	21	3206	21	1	12888	0.9607	0.9124	0.2074	22.4740	173	4803	78	-4.6580	269	3.0968	31	76	8	0.1052	0.7139	11.3961	8.1129	0.7597	0.5312	27.5723	173	4362	0.8567	0.4023
571	577	13	96	55487	55392	1147	16436	342	3273	67	3273	67	1	13163	0.9637	0.9481	0.2066	21.8405	163	5066	84	-5.4653	101	-3.7586	29	243	13	0.1044	0.3706	11.6341	8.1304	0.7851	0.5011	26.7117	163	4669	0.8730	0.3258
577	587	13	97	57427	57331	1939	17009	573	3355	82	3355	82	1	13654	0.9579	0.6950	0.2059	23.6442	163	5245	88	-5.2049	283	-3.2676	71	258	4	0.1058	0.4983	11.6291	8.1612	0.7824	0.5238	28.5153	163	4848	0.8832	0.3367
587	593	13	99	58607	58509	1179	17360	351	3407	52	3407	52	1	13953	0.9563	0.7219	0.2052	24.2454	163	5359	90	-5.5498	211	-4.9149	47	186	3	0.1060	0.6145	10.9440	8.1782	0.7789	0.5787	29.1166	163	4962	0.8857	0.3529
593	599	13	100	59799	59700	1191	17714	353	3467	60	3467	60	1	14247	0.9570	0.8311	0.2045	22.8344	163	5474	90	-5.1873	283	-3.5738	61	170	2	0.1044	0.4802	11.6931	8.1950	0.7805	0.5394	27.7055	163	5077	0.8940	0.3525
599	601	13	101	60199	60099	399	17830	117	3486	20	3486	20	1	14344	0.9591	0.8386	0.2038	22.3313	163	5515	90	-5.1560	109	-2.4146	41	70	1	0.1044	0.7040	11.7572	8.1982	0.7609	0.5133	27.2948	173	4905	0.8762	0.3491
601	607	13	101	61407	61307	1207	18189	358	3538	52	3538	52	1	14651	0.9574	0.7149	0.2032	22.0552	163	5619	91	-4.2236	313	4.4516	31	241	20	0.1042	0.5829	10.9427	8.2148	0.7662	0.5545	27.1040	173	5008	0.9001	0.3800
