Q	g	N_cur	raw	fresh	D_raw	D_fresh	N_cur_sec	raw_sec	fresh_sec	D_raw_sec	D_fresh_sec	N_cur_left	fresh_left	pct	pct_sec	fits	delta_lower	hist_range	hist_std	N_live	D_live	pct_live
499	23	9850	859	859	2.4783	2.4783	153	13	13	-0.3043	-0.3043	4928	427	0.4091	0.1364	0	1.7391	19	4.7385	9849	2.5652	0.5909
499	29	8991	683	621	3.6897	0.9310	140	12	12	1.4483	2.3448	4501	306	0.2143	0.9286	0	nan	14	3.5958	8982	1.5517	0.5000
499	31	8370	634	534	-1.4839	-6.0000	128	11	9	1.1290	0.7419	4195	265	0.8333	0.3333	0	nan	16	3.6983	8359	-5.2903	0.7667
499	37	7836	532	420	-0.4324	-3.5676	119	8	6	-0.2703	-0.4324	3930	203	0.7778	0.1111	0	nan	15	3.5347	7814	-2.3784	0.4722
499	41	7416	477	346	-3.4878	-15.7561	113	8	6	0.5366	0.4878	3727	170	0.9750	0.1250	0	nan	21	4.5703	7387	-14.3415	0.9750
499	43	7070	463	328	4.8605	-0.8372	107	9	9	1.8837	4.0233	3557	175	0.0476	0.9286	0	nan	18	4.4263	7038	0.6512	0.0238
499	47	6742	415	274	-4.1489	-12.8936	98	5	1	-1.5106	-3.1702	3382	141	0.9348	0.9783	0	nan	22	4.7839	6699	-11.0638	0.9348
499	53	6468	367	232	-4.6981	-12.0755	97	6	4	0.2264	0.3396	3241	131	0.9423	0.1538	0	nan	18	4.7223	6412	-9.9623	0.9038
499	59	6236	331	212	-2.8983	0.6102	93	5	3	-0.1864	-0.1525	3110	109	0.1034	0.1724	0	nan	19	4.4427	6167	2.9492	0.3793
499	61	6024	323	198	0.0492	0.4918	90	7	4	1.9836	1.0492	3001	102	0.1333	0.5333	0	nan	25	4.9972	5950	2.9180	0.6833
499	67	5826	293	183	-1.0299	9.0896	86	7	4	2.4328	1.4328	2899	94	0.9394	0.5758	0	nan	20	4.5266	5733	11.8657	0.9545
499	71	5643	283	171	5.5352	12.0423	82	6	3	1.6901	0.6901	2805	89	0.9571	0.3857	0	nan	23	4.3858	5539	14.9718	0.9857
499	73	5472	271	170	1.1370	20.0822	79	3	1	-1.1918	-1.1644	2716	90	0.9861	0.6250	0	nan	22	4.5764	5365	23.0137	0.9861
499	79	5302	248	138	-1.3671	3.7722	78	2	1	-1.8734	-0.9747	2626	75	0.4615	0.4231	0	nan	20	4.4579	5180	6.8608	0.6795
499	83	5164	237	142	-0.3494	17.5663	77	4	2	0.3133	0.1446	2551	76	0.9878	0.2073	0	nan	22	4.7771	5028	20.8434	0.9878
499	89	5022	217	116	-4.3483	3.1461	75	3	3	-0.4382	1.3146	2475	64	0.4773	0.7386	0	nan	20	4.3779	4872	6.5169	0.7500
499	97	4906	203	113	-0.0928	11.8454	72	3	1	-0.1546	-0.4845	2411	58	0.9479	0.2188	0	nan	18	4.2737	4735	15.3711	0.9688
499	101	4793	191	111	-4.0495	16.0891	71	3	0	-0.0297	-1.4059	2353	57	0.9900	0.7200	0	nan	22	3.6817	4607	19.7723	0.9900
499	103	4682	188	93	-3.2621	2.0874	71	0	0	-2.9709	-1.3786	2296	51	0.3235	0.7157	0	nan	15	3.3755	4489	5.8350	0.7745
