Q	g	N_cur	raw	fresh	D_raw	D_fresh	N_cur_sec	raw_sec	fresh_sec	D_raw_sec	D_fresh_sec	N_cur_left	fresh_left	pct	pct_sec	fits	delta_lower	hist_range	hist_std	N_live	D_live	pct_live
499	19	11015	1165	1165	5.5263	5.5263	173	20	20	1.7895	1.7895	5509	581	0.9444	0.6667	0	1.2632	10	2.5098	11015	5.5263	0.9444
499	23	9850	954	859	-3.8261	2.4783	153	15	13	-0.0435	-0.3043	4928	427	0.4091	0.1364	0	1.7391	19	4.7385	9849	2.5652	0.5909
499	29	8991	764	621	4.3448	0.9310	140	13	12	1.0690	2.3448	4501	306	0.2143	0.9286	0	nan	14	3.5958	8982	1.5517	0.5000
499	31	8370	712	534	1.3548	-6.0000	128	11	9	-0.1613	0.7419	4195	265	0.8333	0.3333	0	nan	16	3.6983	8359	-5.2903	0.7667
499	37	7836	596	420	0.5946	-3.5676	119	9	6	-0.3514	-0.4324	3930	203	0.7778	0.1111	0	nan	15	3.5347	7814	-2.3784	0.4722
499	41	7416	538	346	0.6829	-15.7561	113	8	6	-0.4390	0.4878	3727	170	0.9750	0.1250	0	nan	21	4.5703	7387	-14.3415	0.9750
499	43	7070	514	328	1.6744	-0.8372	107	9	9	0.9535	4.0233	3557	175	0.0476	0.9286	0	nan	18	4.4263	7038	0.6512	0.0238
499	47	6742	467	274	-1.7234	-12.8936	98	6	1	-1.3617	-3.1702	3382	141	0.9348	0.9783	0	nan	22	4.7839	6699	-11.0638	0.9348
499	53	6468	415	232	-0.6604	-12.0755	97	6	4	-0.5283	0.3396	3241	131	0.9423	0.1538	0	nan	18	4.7223	6412	-9.9623	0.9038
499	59	6236	371	212	-2.3898	0.6102	93	5	3	-0.8644	-0.1525	3110	109	0.1034	0.1724	0	nan	19	4.4427	6167	2.9492	0.3793
499	61	6024	361	198	-0.1475	0.4918	90	7	4	1.3279	1.0492	3001	102	0.1333	0.5333	0	nan	25	4.9972	5950	2.9180	0.6833
499	67	5826	330	183	1.1940	9.0896	86	7	4	1.8358	1.4328	2899	94	0.9394	0.5758	0	nan	20	4.5266	5733	11.8657	0.9545
499	71	5643	313	171	2.7183	12.0423	82	6	3	1.1268	0.6901	2805	89	0.9571	0.3857	0	nan	23	4.3858	5539	14.9718	0.9857
499	73	5472	302	170	0.2192	20.0822	79	3	1	-1.7397	-1.1644	2716	90	0.9861	0.6250	0	nan	22	4.5764	5365	23.0137	0.9861
499	79	5302	279	138	0.1392	3.7722	78	3	1	-1.3797	-0.9747	2626	75	0.4615	0.4231	0	nan	20	4.4579	5180	6.8608	0.6795
499	83	5164	266	142	0.5783	17.5663	77	5	2	0.8313	0.1446	2551	76	0.9878	0.2073	0	nan	22	4.7771	5028	20.8434	0.9878
499	89	5022	247	116	-0.5281	3.1461	75	4	3	0.1124	1.3146	2475	64	0.4773	0.7386	0	nan	20	4.3779	4872	6.5169	0.7500
499	97	4906	226	113	-1.1134	11.8454	72	4	1	0.4330	-0.4845	2411	58	0.9479	0.2188	0	nan	18	4.2737	4735	15.3711	0.9688
499	101	4793	213	111	-5.1188	16.0891	71	4	0	0.5743	-1.4059	2353	57	0.9900	0.7200	0	nan	22	3.6817	4607	19.7723	0.9900
499	103	4682	211	93	-2.8835	2.0874	71	0	0	-3.3592	-1.3786	2296	51	0.3235	0.7157	0	nan	15	3.3755	4489	5.8350	0.7745
499	107	4589	204	100	-1.8879	14.2243	71	3	1	-0.2336	-0.3271	2245	44	0.9906	0.1509	0	nan	23	4.2741	4386	18.0187	0.9906
499	109	4489	198	98	-4.1101	15.6330	70	4	2	0.8257	0.7156	2201	52	0.9537	0.4259	0	nan	24	3.8245	4280	19.4679	0.9907
499	113	4391	195	93	0.0442	15.2832	68	4	1	0.9381	-0.2035	2149	46	0.9911	0.1696	0	nan	26	4.0415	4171	19.1770	0.9911
499	127	4298	176	83	2.5354	15.3150	67	3	1	0.2756	-0.0551	2103	43	0.9921	0.1905	0	nan	17	3.5370	4036	19.4409	0.9921
499	131	4215	163	77	-5.1679	12.6489	66	1	0	-1.6412	-1.0076	2060	39	0.9769	0.7846	0	nan	22	3.8134	3941	16.8321	0.9923
499	137	4138	159	75	-1.8029	14.5912	66	4	1	1.4745	0.0365	2021	38	0.9926	0.2353	0	nan	19	3.6068	3837	18.9854	0.9926
499	139	4063	157	66	-1.4892	7.5396	65	2	0	-0.4892	-0.9353	1983	30	0.8913	0.5725	0	nan	18	3.5972	3756	11.9568	0.9783
499	149	3997	149	71	1.1477	17.3490	65	2	0	-0.3221	-0.8725	1953	34	0.9932	0.5676	0	nan	20	3.4810	3645	22.0738	0.9932
499	151	3926	144	67	-1.8940	15.0000	65	1	1	-1.2914	0.1391	1919	36	0.9933	0.2067	0	nan	18	3.6083	3564	19.7947	0.9933
499	157	3859	143	64	2.6815	14.8408	64	3	3	0.7962	2.1847	1883	31	0.9936	0.9808	0	nan	18	3.5281	3477	19.7070	0.9936
499	163	3795	134	61	-1.1534	14.4356	61	2	0	-0.1227	-0.7485	1852	35	0.9938	0.6049	0	nan	19	3.4455	3396	19.3313	0.9938
499	167	3734	130	51	-1.9162	6.2814	61	3	2	0.9281	1.2695	1817	23	0.8554	0.9096	0	nan	21	3.4662	3314	11.3114	0.9880
499	173	3683	124	55	-3.3410	12.4220	59	4	2	2.0000	1.3179	1794	25	0.9884	0.9012	0	nan	22	3.4520	3240	17.5434	0.9942
499	179	3628	122	54	-1.0726	13.4637	57	2	2	0.0670	1.3631	1769	24	0.9944	0.9326	0	nan	18	3.4939	3160	18.6927	0.9944
499	181	3574	117	49	-4.7127	9.5083	55	1	0	-0.9116	-0.6077	1745	19	0.9944	0.5722	0	nan	16	3.2876	3093	14.8232	0.9944
