Q	Qn	a	k_lo	k_hi	W	S	N_A	N_A_sec	twins	twins_sec	surv	surv_sec	ok	sum_fresh	R	R_sec	prod	maxDf	gDf	NcurDf	freshDf	maxDr	gDr	maxDfs	gDfs	NcurDfs	freshDfs	E_win	E_sec	top_max	room	pct_mean	pct_sec_mean	maxDl	gDl	NliveDl	pct_live_mean	E_live
71	73	19	13	887	875	47	202	10	123	3	123	3	1	79	1.0995	0.5417	0.5538	-3.4068	59	130	1	-1.6226	53	1.4839	31	8	2	0.0325	0.7878	3.4068	4.7173	0.6401	0.6281	4.4419	43	98	0.6285	0.4734
73	79	19	13	1039	1027	151	238	36	138	15	138	15	1	100	1.0765	0.7736	0.5386	-3.7808	73	138	0	-2.6957	23	3.1321	53	23	4	0.0488	0.3772	3.7808	4.8535	0.6891	0.4899	5.2791	43	123	0.6009	0.2838
79	83	19	14	1147	1134	107	263	25	152	14	152	14	1	111	1.1009	1.0667	0.5250	-4.1644	73	152	0	-2.8696	23	-1.3548	31	21	0	0.0442	0.1552	4.1644	4.9277	0.6961	0.4148	5.3488	43	143	0.6235	0.2488
83	89	19	15	1319	1305	171	301	37	166	14	166	14	1	135	1.0765	0.7386	0.5123	4.4194	31	257	21	3.5211	71	2.9355	31	32	5	0.0541	0.4024	4.2025	5.0383	0.7253	0.4480	6.1613	31	230	0.6392	0.2768
89	97	19	16	1567	1552	247	360	58	187	21	187	21	1	173	1.0372	0.7230	0.5008	3.7612	67	209	10	5.2537	67	2.9565	23	58	8	0.0663	0.4098	3.7612	5.1946	0.7476	0.5827	7.0149	67	100	0.5905	0.3134
97	101	19	17	1699	1683	131	395	34	202	15	202	15	1	193	1.0426	0.8995	0.4905	4.4516	31	334	26	4.2090	67	1.8293	41	24	3	0.0633	0.3235	4.1649	5.2665	0.6951	0.5419	6.5075	67	117	0.6517	0.2834
101	103	19	18	1767	1750	67	408	14	208	7	208	7	1	200	1.0604	1.0400	0.4808	4.7419	31	345	27	3.8209	67	1.4054	37	11	2	0.0590	0.3559	4.2887	5.2789	0.6545	0.4902	6.4194	31	319	0.6766	0.2598
103	107	19	18	1907	1890	139	440	31	218	10	218	10	1	222	1.0509	0.6842	0.4714	-4.5361	97	220	0	3.8657	67	2.1489	47	20	3	0.0576	0.5681	4.5361	5.3348	0.6378	0.6097	5.7910	67	141	0.7087	0.3579
107	109	19	19	1979	1961	71	458	18	223	6	223	6	1	235	1.0525	0.7205	0.4626	-4.6598	97	226	0	4.3284	67	1.6271	59	11	2	0.0646	0.6114	4.6598	5.3560	0.6605	0.5640	6.5224	67	150	0.7001	0.4399
109	113	19	19	2127	2109	147	494	36	234	11	234	11	1	260	1.0430	0.6728	0.4541	-4.2936	109	234	0	4.0845	71	1.6203	79	15	2	0.0686	0.6046	4.2936	5.4132	0.6745	0.6085	6.0000	43	301	0.7090	0.3365
113	127	19	20	2687	2668	559	626	132	276	42	276	42	1	350	0.9883	0.7133	0.4461	5.4884	43	441	26	4.3134	67	-3.2759	29	120	5	0.0751	0.3855	4.8850	5.6321	0.6123	0.7002	7.6279	43	395	0.8588	0.3722
127	131	19	22	2859	2838	171	662	35	288	12	288	12	1	374	0.9908	0.7809	0.4391	6.0755	53	422	22	5.0189	53	2.0943	53	24	3	0.0765	0.5089	5.1150	5.6722	0.5888	0.5155	8.7170	53	352	0.8519	0.4113
131	137	19	23	3127	3105	267	728	65	315	27	315	27	1	413	1.0007	0.9607	0.4324	-5.6460	113	319	0	-4.9677	31	-2.6774	31	57	1	0.0652	0.2522	5.6460	5.7518	0.5731	0.5275	8.0189	53	397	0.8680	0.3878
137	139	19	24	3219	3196	91	749	22	320	6	320	6	1	429	1.0028	0.6401	0.4261	5.1628	43	534	30	-5.3226	31	1.7108	83	12	2	0.0682	0.7540	4.7522	5.7656	0.6097	0.5763	7.4528	53	412	0.8431	0.3770
139	149	19	24	3699	3676	479	858	108	365	45	365	45	1	493	1.0130	0.9922	0.4199	-5.6372	113	375	1	-5.3548	31	-1.9024	41	80	2	0.0618	0.1738	5.6372	5.8869	0.5953	0.4674	7.7358	53	484	0.7786	0.3044
149	151	19	26	3799	3774	99	881	23	374	10	374	10	1	507	1.0247	1.0495	0.4143	4.9180	61	521	22	-4.8387	31	0.8523	149	11	1	0.0607	0.3373	4.8319	5.8999	0.6203	0.4789	7.7377	61	435	0.7590	0.3480
