Q	g	N_cur	raw	fresh	D_raw	D_fresh	N_cur_sec	raw_sec	fresh_sec	D_raw_sec	D_fresh_sec	N_cur_left	fresh_left	pct	pct_sec	fits	delta_lower	hist_range	hist_std	N_live	D_live	pct_live
997	23	39708	3454	3454	1.1304	1.1304	941	81	81	-0.8261	-0.8261	19858	1729	0.5455	0.1818	0	1.7391	17	5.2654	39708	1.1304	0.5455
997	29	36254	2730	2491	-8.4828	-9.2759	860	60	53	-4.8966	-6.3103	18129	1252	0.9643	0.9643	0	nan	17	4.1250	36254	-9.2759	0.9643
997	31	33763	2567	2185	5.1935	6.7419	807	65	57	4.2903	4.9355	16877	1088	0.6000	0.9000	0	nan	16	4.5913	33763	6.7419	0.6000
997	37	31578	2150	1709	3.6216	2.0811	750	55	44	4.1351	3.4595	15789	854	0.3056	0.8333	0	nan	24	5.9665	31567	2.6757	0.4167
997	41	29869	1943	1461	6.0244	3.9756	706	45	35	-0.9024	0.5610	14935	723	0.3000	0.3250	0	nan	28	5.9883	29851	4.8537	0.4750
997	43	28408	1844	1322	-2.8837	0.6977	671	42	31	-1.7674	-0.2093	14212	657	0.0714	0.0952	0	nan	34	7.6550	28387	1.6744	0.1667
997	47	27086	1697	1151	7.2979	-1.5957	640	38	29	-2.0426	1.7660	13555	565	0.1087	0.5000	0	nan	39	7.5651	27054	-0.2340	0.0217
997	53	25935	1495	962	-3.4151	-16.6792	611	30	17	-5.5094	-6.0566	12990	482	0.9423	0.9615	0	nan	24	6.1734	25890	-14.9811	0.9423
997	59	24973	1348	831	1.9661	-15.5424	594	31	19	-0.8983	-1.1356	12508	411	0.8793	0.3103	0	nan	41	7.9037	24915	-13.5763	0.8103
997	61	24142	1301	778	-0.9016	-13.5410	575	30	16	-0.8525	-2.8525	12097	397	0.9500	0.7667	0	nan	34	6.5971	24079	-11.4754	0.8833
997	67	23364	1194	686	8.6866	-11.4328	559	28	16	-0.0896	-0.6866	11700	358	0.6818	0.1970	0	nan	35	7.8433	23282	-8.9851	0.5606
997	71	22678	1123	610	4.4648	-28.8169	543	25	10	-1.5070	-5.2958	11342	310	0.9857	0.9000	0	nan	37	7.7142	22585	-26.1972	0.9857
997	73	22068	1092	582	4.1096	-22.6027	533	23	10	-2.7808	-4.6027	11032	300	0.9861	0.9444	0	nan	31	7.4239	21972	-19.9726	0.9861
997	79	21486	1007	504	1.7342	-39.9494	523	26	13	2.1772	-0.2405	10732	266	0.9872	0.1026	0	nan	41	7.2618	21375	-37.1392	0.9872
997	83	20982	950	499	-6.8193	-6.5904	510	22	9	-0.6747	-3.2892	10466	268	0.5976	0.8659	0	nan	30	6.7659	20857	-3.5783	0.3415
997	89	20483	886	438	-6.3146	-22.2921	501	17	7	-4.1461	-4.2584	10198	237	0.9886	0.9545	0	nan	31	6.8917	20344	-19.1685	0.9886
997	97	20045	825	414	6.2784	0.7010	494	21	13	1.5979	2.8144	9961	214	0.1042	0.7917	0	nan	36	6.2821	19885	4.0000	0.3646
997	101	19631	792	400	5.7030	11.2673	481	20	9	1.3663	-0.5248	9747	208	0.7900	0.2600	0	nan	33	7.2545	19456	14.7327	0.8700
997	103	19231	769	367	-2.0291	-6.4175	472	18	7	-0.2718	-2.1650	9539	190	0.5588	0.6373	0	nan	31	7.2603	19049	-2.8835	0.2745
997	107	18864	740	361	-2.2056	8.4019	465	15	7	-2.5888	-1.6916	9349	195	0.7925	0.5094	0	nan	39	6.7356	18672	11.9907	0.9151
997	109	18503	740	357	11.4128	17.4954	458	17	10	-0.2661	1.5963	9154	193	0.9259	0.6111	0	nan	34	7.1165	18305	21.1284	0.9537
997	113	18146	702	339	-0.7965	17.8319	448	12	7	-4.6549	-0.9292	8961	185	0.9554	0.2857	0	nan	29	6.2141	17937	21.5310	0.9732
997	127	17807	628	311	2.6772	30.5748	441	13	5	-1.8189	-1.9449	8776	163	0.9921	0.6270	0	nan	38	7.0629	17556	34.5276	0.9921
997	131	17496	609	277	2.7710	9.8855	436	16	8	1.6336	1.3435	8613	153	0.7615	0.4538	0	nan	34	7.0766	17233	13.9008	0.9077
997	137	17219	586	274	6.3212	22.6277	428	15	4	1.2628	-2.2482	8460	151	0.9926	0.8015	0	nan	33	7.1662	16929	26.8613	0.9926
997	139	16945	565	257	-6.3381	13.1871	424	14	4	0.4604	-2.1007	8309	134	0.9058	0.7246	0	nan	36	5.8922	16649	17.4460	0.9638
