Q	g	N_cur	raw	fresh	D_raw	D_fresh	N_cur_sec	raw_sec	fresh_sec	D_raw_sec	D_fresh_sec	N_cur_left	fresh_left	pct	pct_sec	fits	delta_lower	hist_range	hist_std	N_live	D_live	pct_live
4999	23	976982	84950	84950	-4.9565	-4.9565	1563	137	137	1.0870	1.0870	488486	42475	0.7727	0.3182	1	1.7391	20	4.6050	976982	-4.9565	0.7727
4999	29	892032	67383	61523	4.9310	3.5517	1426	102	93	-5.7931	-5.3448	446011	30750	0.4286	0.8929	0	nan	30	6.8677	892032	3.5517	0.4286
4999	31	830509	63033	53583	1.9032	1.7742	1333	99	83	-1.8387	-3.0000	415261	26799	0.1333	0.8333	0	nan	38	9.4585	830509	1.7742	0.1333
4999	37	776926	52810	41982	0.1622	-14.0000	1250	87	69	2.5135	1.4324	388462	21010	0.6389	0.5556	0	nan	41	10.3637	776926	-14.0000	0.6389
4999	41	734944	47659	35854	1.3415	3.0732	1181	75	60	-1.2439	2.3902	367452	17927	0.1500	0.1750	0	nan	39	9.4665	734944	3.0732	0.1500
4999	43	699090	45441	32521	-0.0233	5.1860	1121	77	52	4.3023	-0.1395	349525	16266	0.3571	0.0238	0	nan	70	15.6217	699090	5.1860	0.3571
4999	47	666569	41574	28429	0.2979	64.3617	1069	63	44	-3.5106	-1.4894	333259	14231	0.9783	0.3478	0	nan	70	17.9077	666569	64.3617	0.9783
4999	53	638140	36870	24103	2.7547	22.2453	1025	59	41	0.0189	2.3208	319028	12039	0.6346	0.5192	0	nan	67	15.4349	638140	22.2453	0.6346
4999	59	614037	33127	20892	8.9661	77.1864	984	56	31	3.0169	-2.3559	306989	10441	0.9828	0.3966	0	nan	98	21.4034	614037	77.1864	0.9828
4999	61	593145	32033	19532	0.8033	84.6230	953	50	35	-1.2459	3.7541	296548	9781	0.9833	0.7333	0	nan	98	21.1835	593145	84.6230	0.9833
4999	67	573613	29167	17141	3.3582	18.2239	918	51	33	4.3433	5.5970	286767	8576	0.7273	0.8939	0	nan	97	17.9044	573613	18.2239	0.7273
4999	71	556472	27523	15729	2.3803	53.7324	885	44	27	-0.0282	2.0704	278191	7845	0.9857	0.3714	0	nan	93	18.8038	556470	53.7887	0.9857
4999	73	540743	26756	14873	-10.6301	58.1233	858	45	22	2.1781	-1.5068	270346	7415	0.9861	0.4722	0	nan	108	19.8460	540738	58.2603	0.9861
4999	79	525870	24726	13335	-7.7215	21.8354	836	41	21	1.4304	-0.1646	262931	6633	0.6538	0.1026	0	nan	87	19.4172	525850	22.3418	0.6538
4999	83	512535	23542	12338	0.2651	-12.2410	815	41	23	3.3373	3.3614	256298	6136	0.3049	0.7317	0	nan	91	20.4034	512501	-11.4217	0.3049
4999	89	500197	21956	11289	1.3483	48.6180	792	35	21	-0.1236	3.2022	250162	5579	0.9886	0.6364	0	nan	125	21.2184	500149	49.6966	0.9886
4999	97	488908	20143	10079	-0.9588	-1.5773	771	32	17	-0.2268	1.1031	244583	4972	0.0938	0.3646	0	nan	78	17.7322	488839	-0.1546	0.0208
4999	101	478829	19344	9442	-2.1782	-39.7624	754	29	15	-1.9505	0.0693	239611	4683	0.8600	0.1000	0	nan	111	22.5293	478745	-38.0990	0.8300
4999	103	469387	18974	9029	3.4757	-85.3107	739	32	20	1.6505	5.6505	234928	4484	0.9902	0.9510	0	nan	109	20.3029	469296	-83.5437	0.9902
4999	107	460358	18266	8563	4.6542	-41.8224	719	33	13	3.7850	-0.4393	230444	4250	0.9151	0.0849	0	nan	130	23.5844	460257	-39.9346	0.8774
4999	109	451795	17928	8193	1.7248	-96.8165	706	28	19	-0.6789	6.0459	226194	4083	0.9907	0.9815	0	nan	106	21.8911	451688	-94.8532	0.9907
4999	113	443602	17289	7789	-2.7168	-62.3628	687	29	15	1.3363	2.8407	222111	3842	0.9911	0.7054	0	nan	96	20.6433	443484	-60.2743	0.9911
4999	127	435813	15375	6738	-10.5433	-125.1969	672	22	8	-2.6142	-2.5827	218269	3339	0.9921	0.7063	0	nan	129	21.5623	435653	-122.6772	0.9921
4999	131	429075	14916	6429	0.2443	-121.7634	664	23	13	-0.8626	2.8626	214930	3172	0.9923	0.7154	0	nan	159	23.1690	428903	-119.1374	0.9923
4999	137	422646	14260	6038	-2.5109	-132.0146	651	24	8	1.1825	-1.5036	211758	2990	0.9926	0.4853	0	nan	122	20.7447	422447	-129.1095	0.9926
4999	139	416608	14058	5869	0.7050	-125.3597	643	23	10	0.5108	0.7482	208768	2878	0.9928	0.2826	0	nan	119	22.5038	416403	-122.4101	0.9928
4999	149	410739	13108	5362	-5.8523	-151.2752	633	14	8	-6.9799	-0.4966	205890	2629	0.9932	0.0811	0	nan	148	23.1790	410489	-147.9195	0.9932
4999	151	405377	12938	5265	-2.1589	-104.2318	625	21	11	0.2980	2.7219	203261	2596	0.9933	0.7600	0	nan	122	21.1105	405117	-100.7881	0.9933
4999	157	400112	12449	4929	3.3694	-167.9682	614	21	11	1.0892	3.1783	200665	2425	0.9936	0.8141	0	nan	146	22.1919	399832	-164.4013	0.9936
4999	163	395183	11993	4699	5.4908	-149.8712	603	23	7	3.8221	-0.3988	198240	2326	0.9938	0.1173	0	nan	134	21.9704	394886	-146.2270	0.9938
4999	167	390484	11701	4571	0.6168	-105.4551	596	17	5	-1.7186	-2.1377	195914	2275	0.9940	0.5964	0	nan	120	19.5150	390166	-101.6467	0.9940
4999	173	385913	11290	4315	-4.5896	-146.4220	591	16	3	-2.0694	-3.8324	193639	2131	0.9942	0.8953	0	nan	129	20.7244	385572	-142.4798	0.9942
4999	179	381598	10921	4106	5.0000	-157.6648	588	17	3	-0.4637	-3.5698	191508	2062	0.9944	0.9270	0	nan	126	21.9938	381232	-153.5754	0.9944
4999	181	377492	10800	4022	4.6188	-149.1823	585	16	6	-1.2707	-0.4641	189446	1997	0.9944	0.1333	0	nan	152	21.7080	377113	-144.9945	0.9944
4999	191	373470	10227	3748	-3.1780	-162.6806	579	14	2	-2.3665	-4.0628	187449	1874	0.9947	0.9737	0	nan	149	21.5464	373042	-158.1990	0.9947
4999	193	369722	10122	3668	-2.1658	-163.3161	577	15	5	-1.1969	-0.9793	185575	1858	0.9948	0.3125	0	nan	136	20.1874	369287	-158.8083	0.9948
4999	197	366054	9918	3530	-0.5990	-186.2843	572	18	5	2.1320	-0.8071	183717	1785	0.9949	0.2449	0	nan	184	22.6270	365599	-181.6650	0.9949
4999	199	362524	9821	3468	2.0854	-175.4573	567	17	9	1.2915	3.3015	181932	1759	0.9949	0.8535	0	nan	149	22.6233	362061	-170.8040	0.9949
4999	211	359056	9264	3248	3.5071	-155.3744	558	12	5	-2.8152	-0.2891	180173	1649	0.9952	0.1286	0	nan	142	19.8003	358541	-150.4929	0.9952
4999	223	355808	8762	3058	-0.1704	-133.1031	553	14	4	-0.0179	-0.9596	178524	1578	0.9955	0.3649	0	nan	124	20.6279	355234	-127.9552	0.9955
4999	227	352750	8612	2964	4.2291	-143.9295	549	14	5	0.2291	0.1630	176946	1524	0.9956	0.1106	0	nan	156	20.2686	352153	-138.6696	0.9956
4999	229	349786	8535	2883	2.4061	-171.8996	544	20	11	6.3493	6.2489	175422	1503	0.9956	0.9956	0	nan	153	20.9099	349180	-166.6070	0.9956
4999	233	346903	8391	2830	4.8884	-147.7082	533	16	4	2.5837	-0.5751	173919	1488	0.9957	0.3491	0	nan	135	19.3192	346281	-142.3691	0.9957
4999	239	344073	8180	2728	4.4184	-151.2720	529	12	4	-1.0795	-0.4268	172431	1410	0.9958	0.1429	0	nan	168	21.9514	343419	-145.7992	0.9958
4999	241	341345	8108	2712	0.2656	-120.7386	525	12	4	-0.9710	-0.3568	171021	1436	0.9958	0.1542	0	nan	140	19.9420	340682	-115.2365	0.9958
4999	251	338633	7798	2576	13.2829	-122.2709	521	15	6	2.5458	1.8486	169585	1390	0.9960	0.7040	0	nan	121	19.3083	337924	-116.6215	0.9960
4999	257	336057	7609	2490	6.0272	-125.2296	515	13	8	0.8366	3.9922	168195	1305	0.9961	0.9570	0	nan	111	19.5096	335315	-119.4553	0.9961
4999	263	333567	7427	2409	-2.5209	-127.6312	507	11	2	-0.8859	-1.8555	166890	1266	0.9962	0.7137	0	nan	133	18.8045	332798	-121.7833	0.9962
4999	269	331158	7260	2388	-3.8067	-74.1413	505	9	3	-2.6208	-0.7546	165624	1260	0.9963	0.3806	0	nan	100	17.6433	330346	-68.1041	0.9963
4999	271	328770	7216	2356	5.8007	-70.3469	502	10	2	-1.5351	-1.7048	164364	1249	0.9963	0.6852	0	nan	106	18.4606	327951	-64.3026	0.9889
4999	277	326414	7054	2305	-0.0217	-51.7798	500	11	3	-0.2852	-0.6101	163115	1231	0.9638	0.3587	0	nan	89	17.3584	325565	-45.6498	0.9529
4999	281	324109	6954	2223	0.3915	-83.8256	497	11	5	-0.1246	1.4626	161884	1182	0.9964	0.5286	0	nan	100	17.8102	323240	-77.6406	0.9964
4999	283	321886	6909	2226	4.5336	-48.8127	492	13	1	1.9541	-2.4770	160702	1176	0.9823	0.8085	0	nan	102	17.9629	321005	-42.5866	0.9255
4999	293	319660	6672	2151	3.1809	-30.9795	491	11	3	0.3311	-0.3515	159526	1138	0.8596	0.1301	0	nan	100	16.6552	318711	-24.5017	0.7979
4999	307	317509	6366	2052	1.2964	-16.4625	488	11	1	0.8176	-2.1792	158388	1090	0.5686	0.8268	0	nan	106	17.3814	316472	-9.7068	0.3301
4999	311	315457	6274	2015	-8.8424	-13.6624	487	8	3	-2.0514	-0.1318	157298	1085	0.4839	0.0968	0	nan	83	16.4167	314398	-6.8521	0.2419
4999	313	313442	6246	1966	3.3035	-36.8243	484	10	3	0.0128	-0.0927	156213	1045	0.9103	0.1186	0	nan	84	16.1783	312365	-29.9425	0.8429
4999	317	311476	6165	1947	1.0757	-18.1483	481	10	2	0.1388	-1.0347	155168	1042	0.6392	0.5823	0	nan	90	16.7260	310375	-11.2019	0.4146
4999	331	309529	5901	1899	-2.2145	28.7341	479	12	3	2.5559	0.1057	154126	993	0.7667	0.1424	0	nan	99	16.9971	308340	35.9184	0.8727
4999	337	307630	5804	1863	5.8872	37.3027	476	6	4	-3.2760	1.1751	153133	969	0.8869	0.6250	0	nan	93	16.1474	306400	44.6024	0.9613
