Q	g	N_cur	raw	fresh	D_raw	D_fresh	N_cur_sec	raw_sec	fresh_sec	D_raw_sec	D_fresh_sec	N_cur_left	fresh_left	pct	pct_sec	fits	delta_lower	hist_range	hist_std	N_live	D_live	pct_live
173	19	1391	150	150	3.5789	3.5789	92	12	12	2.3158	2.3158	696	73	0.9444	0.7778	0	1.2632	8	1.9352	1382	4.5263	0.9444
173	23	1241	118	105	-2.9565	-2.9130	80	8	7	0.0000	0.0435	623	55	0.6818	0.2727	0	1.7391	12	2.7580	1228	-1.7826	0.5909
173	29	1136	92	77	-3.9310	-1.3448	73	6	4	-0.3448	-1.0345	568	39	0.2500	0.6071	0	nan	11	2.6790	1115	0.1034	0.0357
173	31	1059	88	70	-1.7419	1.6774	69	6	4	0.0645	-0.4516	529	38	0.5000	0.2667	0	nan	10	2.6772	1036	3.1613	0.7667
173	37	989	72	51	-3.1892	-2.4595	65	7	4	2.0270	0.4865	491	29	0.5278	0.1111	0	nan	8	1.8694	955	-0.6216	0.1944
173	41	938	66	45	-1.8537	-0.7561	61	5	4	0.5122	1.0244	462	24	0.1500	0.7000	0	nan	9	2.3079	897	1.2439	0.4250
173	43	893	66	49	1.3023	7.4651	57	5	3	0.7209	0.3488	438	26	0.9286	0.2143	0	nan	11	2.7180	849	9.5116	0.9762
173	47	844	60	41	0.8085	5.0851	54	6	5	2.0851	2.7021	412	18	0.9130	0.9565	0	nan	12	2.2874	789	7.4255	0.9348
173	53	803	51	36	-1.4906	5.6981	49	1	0	-2.4717	-1.8491	394	19	0.9615	0.8269	0	nan	11	2.2770	735	8.2642	0.9808
173	59	767	47	32	-0.1525	6.0000	49	3	3	-0.1186	1.3390	375	16	0.9310	0.7414	0	nan	10	2.1392	686	8.7458	0.9828
173	61	735	45	30	-0.6066	5.9016	46	3	1	-0.0164	-0.5082	359	16	0.9667	0.4500	0	nan	11	2.2355	649	8.7213	0.9833
173	67	705	43	29	1.4776	7.9552	45	1	1	-1.7463	-0.3433	343	14	0.9848	0.2424	0	nan	12	2.3395	600	11.0896	0.9848
173	71	676	39	25	-0.1831	5.9577	44	2	1	-0.5915	-0.2394	329	11	0.9571	0.2429	0	nan	11	2.1020	560	9.2254	0.9857
173	73	651	37	21	-1.1096	3.1644	43	3	2	0.4795	0.8219	318	7	0.8611	0.4861	0	nan	9	1.9846	532	6.4247	0.9722
173	79	630	36	18	0.7848	2.0506	41	2	1	-0.3291	-0.0380	311	8	0.5256	0.2436	0	nan	9	2.0926	496	5.4430	0.9615
173	83	612	33	18	-0.5181	3.2530	40	2	1	-0.2169	0.0361	303	6	0.8659	0.2561	0	nan	9	1.8348	464	6.8193	0.9878
173	89	594	33	16	1.7416	2.6517	39	3	2	0.9326	1.1236	297	6	0.6705	0.8977	0	nan	10	2.0155	432	6.2921	0.9659
173	97	578	28	10	-0.6804	-1.9175	37	1	1	-0.8969	0.2371	291	4	0.5521	0.2188	0	nan	8	1.6492	395	1.8557	0.6250
173	101	568	27	15	-0.5446	3.7525	36	0	0	-1.8218	-0.7129	287	4	0.8000	0.5700	0	nan	9	1.9794	370	7.6733	0.9900
173	103	553	27	11	-0.0097	0.2621	36	1	1	-0.7864	0.3010	283	3	0.0882	0.1863	0	nan	8	1.7570	348	4.2427	0.9314
173	107	542	25	6	-1.0000	-4.1308	35	1	0	-0.7196	-0.6542	280	3	0.9434	0.5943	0	nan	10	1.7523	327	-0.1121	0.1132
173	109	536	25	11	-0.5229	1.1651	35	2	1	0.3119	0.3578	277	3	0.4444	0.2315	0	nan	7	1.4847	315	5.2202	0.9907
173	113	525	24	5	-0.6195	-4.2920	34	3	2	1.3717	1.3982	274	0	0.9464	0.9375	0	nan	8	1.6071	293	-0.1858	0.1339
173	127	520	23	7	1.0945	-1.1890	32	1	0	-0.4488	-0.5039	274	0	0.4444	0.6032	0	nan	9	1.5845	246	3.1260	0.9683
173	131	513	24	5	2.7634	-2.8321	32	4	2	2.5954	1.5115	274	0	0.8769	0.9538	0	nan	9	1.5680	227	1.5344	0.7615
173	137	508	20	6	-0.3066	-1.4161	30	2	1	0.6569	0.5620	274	0	0.4559	0.7794	0	nan	7	1.4457	195	3.1533	0.9559
173	139	502	20	5	-0.0144	-2.2230	29	0	0	-1.3237	-0.4173	274	0	0.6739	0.3261	0	nan	8	1.6382	183	2.3669	0.8623
173	149	497	20	3	1.3289	-3.6711	29	1	0	-0.2349	-0.3893	274	0	0.9459	0.3108	0	nan	6	1.4774	133	1.2148	0.7230
173	151	494	21	7	2.5762	0.4570	29	2	2	0.7815	1.6159	274	0	0.1067	0.9800	0	nan	8	1.4870	120	5.4106	0.9933
173	157	487	19	3	1.2803	-3.2038	27	3	2	1.8280	1.6561	274	0	0.8974	0.9679	0	nan	7	1.5401	93	1.8153	0.9295
173	163	484	21	3	3.9325	-2.9387	25	1	0	-0.1288	-0.3067	274	0	0.8827	0.3827	0	nan	6	1.2553	73	2.1043	0.9630
173	167	481	17	0	0.3413	-5.7605	25	1	0	-0.1018	-0.2994	274	0	0.9940	0.3614	0	nan	8	1.4877	49	-0.5868	0.6627
173	173	481	14	1	-2.0809	-4.5607	25	0	0	-1.0636	-0.2890	274	0	0.9942	0.3721	0	nan	6	1.4053	26	0.6994	0.8488
