Q	g	N_cur	raw	fresh	D_raw	D_fresh	N_cur_sec	raw_sec	fresh_sec	D_raw_sec	D_fresh_sec	N_cur_left	fresh_left	pct	pct_sec	fits	delta_lower	hist_range	hist_std	N_live	D_live	pct_live
997	197	14582	510	179	-0.5990	30.9594	378	9	6	-3.0305	2.1624	7062	91	0.9949	0.8316	0	nan	38	5.8967	14036	36.5025	0.9949
997	199	14403	503	180	-2.4673	35.2462	372	11	4	-0.9095	0.2613	6971	89	0.9949	0.1212	0	nan	38	5.9785	13849	40.8141	0.9949
997	211	14223	476	172	-0.7204	37.1848	368	11	5	-0.2322	1.5118	6882	84	0.9952	0.7190	0	nan	36	5.8045	13617	42.9289	0.9952
997	223	14051	449	153	-2.0673	26.9821	363	7	1	-3.6278	-2.2556	6798	81	0.9955	0.8874	0	nan	35	5.7776	13386	32.9462	0.9955
997	227	13898	443	165	-0.1189	42.5507	362	12	4	1.5595	0.8106	6717	79	0.9956	0.4248	0	nan	39	5.9541	13210	48.6123	0.9956
997	229	13733	440	148	0.7511	28.0611	358	12	4	1.6507	0.8734	6638	72	0.9956	0.3860	0	nan	31	5.1961	13036	34.1485	0.9956
997	233	13585	433	138	1.2918	21.3906	354	10	4	-0.1717	0.9614	6566	70	0.9957	0.3578	0	nan	27	4.9493	12872	27.5107	0.9957
997	239	13447	423	140	2.1297	27.4728	350	10	1	0.0837	-1.9289	6496	64	0.9958	0.6765	0	nan	32	5.0530	12702	33.7071	0.9958
997	241	13307	420	136	2.6224	25.5685	349	13	6	3.1660	3.1037	6432	64	0.9958	0.9792	0	nan	32	5.4181	12553	31.8257	0.9958
997	251	13171	400	132	-0.7490	27.0518	343	11	3	1.5578	0.2669	6368	72	0.9960	0.1200	0	nan	28	4.9405	12371	33.4263	0.9960
997	257	13039	393	136	1.6070	34.5292	340	9	1	-0.2218	-1.6459	6296	63	0.9961	0.8008	0	nan	32	5.0799	12206	41.0117	0.9961
997	263	12903	384	121	1.5361	22.8783	339	10	5	0.9886	2.4221	6233	56	0.9962	0.9351	0	nan	24	4.8799	12043	29.4183	0.9962
997	269	12782	373	121	-0.9331	25.9665	334	10	3	1.1896	0.5167	6177	58	0.9963	0.4030	0	nan	32	5.1661	11879	32.6803	0.9963
997	271	12661	370	112	-1.1734	18.5609	331	9	4	0.2546	1.5572	6119	54	0.9963	0.8296	0	nan	27	4.9673	11751	25.2768	0.9963
997	277	12549	364	129	0.8664	38.3935	327	10	1	1.4440	-1.3610	6065	65	0.9964	0.6522	0	nan	36	4.9109	11609	45.1805	0.9964
997	281	12420	360	116	2.0356	27.6014	326	7	4	-1.4342	1.6797	6000	54	0.9964	0.8321	0	nan	32	4.8935	11460	34.4342	0.9964
997	283	12304	352	110	-3.4346	23.0459	322	8	2	-0.3746	-0.2756	5946	46	0.9965	0.1879	0	nan	28	4.7683	11332	29.9152	0.9965
997	293	12194	345	115	1.6962	31.7645	320	11	3	2.9113	0.8157	5900	54	0.9966	0.4075	0	nan	31	4.9202	11154	38.8635	0.9966
997	307	12079	327	95	-0.6482	16.3094	317	8	1	0.2801	-1.0651	5846	50	0.9967	0.6667	0	nan	23	4.5356	10951	23.6580	0.9967
997	311	11984	319	100	-4.4341	22.9325	316	7	2	-0.6206	-0.0322	5796	44	0.9968	0.1613	0	nan	29	4.7298	10834	30.3280	0.9968
997	313	11884	322	89	0.6326	13.0639	314	7	1	-0.5719	-1.0064	5752	48	0.9744	0.6667	0	nan	25	4.2808	10716	20.5272	0.9968
997	317	11795	320	89	2.6877	14.5836	313	8	2	0.5237	0.0252	5704	43	0.9873	0.1519	0	nan	21	4.3369	10603	22.1041	0.9968
997	331	11706	306	87	2.1088	16.2689	311	7	2	-0.1601	0.1208	5661	42	0.9848	0.1424	0	nan	24	4.5547	10426	24.0030	0.9970
997	337	11619	296	77	-2.4807	8.0445	309	7	2	-0.0326	0.1662	5619	36	0.7798	0.1488	0	nan	28	4.6197	10298	15.8843	0.9970
997	347	11542	290	89	0.1210	22.4755	307	5	2	-1.8300	0.2305	5583	42	0.9971	0.1734	0	nan	26	4.5580	10151	30.4928	0.9971
997	349	11453	287	84	-1.2178	18.3668	305	7	2	0.2092	0.2521	5541	35	0.9971	0.1724	0	nan	24	4.4129	10048	26.4183	0.9971
997	353	11369	283	75	-1.9518	10.5864	303	4	1	-2.7139	-0.7167	5506	34	0.9375	0.4886	0	nan	29	4.3903	9935	18.7110	0.9972
997	359	11294	281	87	0.8106	24.0808	302	7	1	0.3983	-0.6825	5472	36	0.9972	0.4609	0	nan	26	4.2180	9825	32.2646	0.9972
997	367	11207	274	84	-0.0817	22.9264	301	6	2	-0.4578	0.3597	5436	34	0.9973	0.1339	0	nan	28	4.4621	9682	31.2371	0.9973
997	373	11123	272	73	2.3271	13.3592	299	8	2	1.6461	0.3968	5402	33	0.9866	0.1532	0	nan	25	4.1276	9557	21.7560	0.9973
997	379	11050	265	72	-0.4037	13.6887	297	5	2	-1.2533	0.4327	5369	33	0.9894	0.1534	0	nan	23	4.0413	9445	22.1583	0.9974
997	383	10978	262	71	-0.6319	13.6736	295	6	3	-0.1880	1.4595	5336	33	0.9921	0.6806	0	nan	23	4.0646	9347	22.1906	0.9974
997	389	10907	257	81	-1.5810	24.9229	292	5	0	-1.0925	-1.5013	5303	38	0.9974	0.8505	0	nan	28	4.2434	9227	33.5604	0.9974
997	397	10826	251	75	-2.3703	20.4610	292	3	2	-2.9698	0.5290	5265	28	0.9975	0.4899	0	nan	28	4.1539	9080	29.2569	0.9975
997	401	10751	251	69	0.1571	15.3791	290	4	0	-1.9102	-1.4464	5237	31	0.9925	0.7400	0	nan	26	4.0024	8976	24.2319	0.9975
