Q	Qn	a	k_lo	k_hi	W	S	N_A	N_A_sec	twins	twins_sec	surv	surv_sec	ok	sum_fresh	R	R_sec	prod	maxDf	gDf	NcurDf	freshDf	maxDr	gDr	maxDfs	gDfs	NcurDfs	freshDfs	E_win	E_sec	top_max	room	pct_mean	pct_sec_mean	maxDl	gDl	NliveDl	pct_live_mean	E_live
4513	4517	23	753	3400547	3399795	6019	727115	1284	109199	180	109199	180	1	617916	0.9138	0.8530	0.1643	162.8730	701	191768	710	17.9593	541	7.1446	83	741	25	0.1450	0.6186	48.1194	11.6911	0.9176	0.5255	175.3866	701	187382	0.9680	0.3385
4517	4519	23	754	3403559	3402806	3011	727757	642	109269	71	109269	71	1	618488	0.9140	0.6732	0.1643	163.3852	701	191939	711	18.5860	541	-6.2759	29	642	38	0.1451	0.9803	48.3812	11.6915	0.9165	0.5308	175.8959	701	187554	0.9656	0.3363
4519	4523	23	754	3409587	3408834	6027	729047	1290	109455	186	109455	186	1	619592	0.9143	0.8781	0.1642	163.3409	701	192305	712	17.8170	541	-6.4177	79	767	13	0.1450	0.5871	48.4640	11.6928	0.9176	0.5124	175.8516	701	187920	0.9688	0.3405
4523	4547	23	755	3445867	3445113	36279	736809	7761	110448	993	110448	993	1	626361	0.9133	0.7796	0.1641	166.3609	701	194401	721	-16.2985	67	14.2278	79	4573	130	0.1454	0.3795	48.9041	11.7030	0.9188	0.5589	178.8716	701	190016	0.9684	0.3333
4547	4549	23	759	3448899	3448141	3031	737457	649	110524	77	110524	77	1	626933	0.9135	0.7232	0.1641	166.9187	701	194556	722	-14.6418	67	4.6792	53	459	22	0.1455	0.8912	48.9378	11.7034	0.9196	0.5191	179.4265	701	190172	0.9677	0.3329
4549	4561	23	759	3467119	3466361	18219	741359	3902	111057	533	111057	533	1	630302	0.9135	0.8330	0.1640	166.8545	701	195630	725	-16.1194	67	-11.2128	47	2919	113	0.1455	0.4335	48.8485	11.7082	0.9189	0.5374	179.3623	701	191246	0.9648	0.3306
4561	4567	23	761	3476247	3475487	9127	743315	1957	111305	248	111305	248	1	632010	0.9136	0.7731	0.1639	166.3823	701	196146	726	-16.1013	79	7.1935	31	1826	125	0.1455	0.6297	48.9576	11.7104	0.9168	0.5520	178.8902	701	191762	0.9616	0.3300
4567	4583	23	762	3500647	3499886	24399	748524	5209	112001	696	112001	696	1	636523	0.9133	0.8155	0.1638	166.3110	701	197573	730	-14.0000	67	-10.0935	139	2439	25	0.1456	0.4042	49.2420	11.7170	0.9171	0.5532	178.8188	701	193189	0.9618	0.3288
4583	4591	23	765	3512879	3512115	12231	751137	2612	112363	362	112363	362	1	638774	0.9134	0.8463	0.1638	166.2568	701	198293	732	-15.0000	67	10.9718	71	1634	57	0.1455	0.4974	49.2721	11.7200	0.9183	0.5424	178.7646	701	193909	0.9658	0.3311
4591	4597	23	766	3522067	3521302	9187	753099	1961	112613	250	112613	250	1	640486	0.9135	0.7788	0.1637	167.7903	701	198807	735	-15.8268	127	8.9434	53	1406	62	0.1456	0.6024	49.3822	11.7222	0.9174	0.5346	180.2981	701	194423	0.9625	0.3305
4597	4603	23	767	3531267	3530501	9199	755063	1963	112870	257	112870	257	1	642193	0.9136	0.8001	0.1636	169.2439	701	199349	738	-19.7559	127	-10.6129	31	1823	107	0.1457	0.5945	49.4948	11.7244	0.9177	0.5463	181.7518	701	194965	0.9607	0.3291
4603	4621	23	768	3558939	3558172	27671	760989	5927	113626	756	113626	756	1	647363	0.9129	0.7799	0.1636	168.6733	701	200951	742	18.9859	283	-9.3239	71	3668	94	0.1459	0.4294	49.4348	11.7318	0.9178	0.5750	181.1812	701	196567	0.9657	0.3289
4621	4637	23	771	3583627	3582857	24687	766266	5277	114317	691	114317	691	1	651949	0.9126	0.8010	0.1635	169.5021	701	202413	747	17.6926	283	-11.3220	59	3638	112	0.1460	0.4246	49.1329	11.7382	0.9166	0.5722	182.0100	701	198029	0.9616	0.3283
4637	4639	23	774	3586719	3585946	3091	766929	664	114394	78	114394	78	1	652535	0.9128	0.7189	0.1634	170.0228	701	202581	748	17.0071	283	-5.2973	37	579	26	0.1460	0.9475	49.3397	11.7387	0.9168	0.5294	182.5278	701	198198	0.9616	0.3286
4639	4643	23	774	3592907	3592134	6187	768260	1330	114580	186	114580	186	1	653680	0.9131	0.8562	0.1633	169.9729	701	202949	749	16.6007	283	-5.0847	59	917	26	0.1460	0.6044	49.4199	11.7400	0.9170	0.5240	182.4779	701	198566	0.9632	0.3277
4643	4649	23	775	3602199	3601425	9291	770247	1986	114843	263	114843	263	1	655404	0.9132	0.8111	0.1633	169.3524	701	203517	750	-16.4204	1979	-6.0693	101	1064	15	0.1460	0.5925	49.5342	11.7421	0.9175	0.5472	181.8573	701	199134	0.9624	0.3323
