generation,individual,population_size,generations,max_depth,keep_pct,crossover_pct,random_pct,match_weight_factor,mutation_rate,prune_rate,fitness,matches,elapsed_time_seconds,expression
1,6,50,500,4,0.49609198872552374,0.3560647006259509,0.14784331064852535,2.0,0.8510289994810958,0.14161834953702884,-294.0,4,0.5865991115570068,"(n + nroot(n, atan(phi)))"
1,1,200,3000,5,0.6070204155708372,0.29717270649271593,0.09580687793644688,2.0,0.7967104192369375,0.2260407269855158,-545.0,5,13.456471681594849,ceil(sinh((n ** ln2)))
1,4,300,4000,4,0.11376053277233267,0.048391947976731214,0.8378475192509361,2.0,0.6494809381028109,0.005013627288521338,-295.0,4,18.653721570968628,(n + sinh(sqrt(n)))
1,5,500,2000,6,0.5543090518000972,0.08299165789091843,0.3626992903089844,2.0,0.7467585483565026,0.27668164508413345,-294.0,4,20.765214681625366,((e - sin(n)) + n)
1,2,300,1500,8,0.22554206409060665,0.1431159232905294,0.631342012618864,2.0,0.4161039981792276,0.3196864095506368,-898.0,6,20.94393539428711,((cos(((n % (n - pi)) + n)) + n) + n)
1,3,300,2000,6,0.1721192603121538,0.4141015777049112,0.4137791619829351,2.0,0.557815334384937,0.21134166557754852,-901.0,6,23.472922325134277,"((nroot(n, catalan) + cos(sinh(n))) + n)"
1,11,200,1000,8,0.20281792979137062,0.25340997057328774,0.5437720996353417,2.0,0.5074544900172356,0.338215242810977,-295.0,4,7.874223947525024,(n + (n ** catalan))
1,15,300,1000,10,0.9845536821560062,0.008180497222790925,0.007265820621202826,2.0,0.7140903142818854,0.1959277907580575,-47.0,2,6.6223883628845215,(n + phi)
1,10,1000,1500,3,0.5547062820975457,0.13456246101957814,0.3107312568828762,2.0,0.4349221531261585,0.15434815822215076,-295.0,4,21.34195566177368,(n + sinh(sqrt(n)))
1,12,1000,1500,8,0.9409820644666351,0.00237053005147402,0.05664740548189085,2.0,0.9213607557352876,0.24637074794040198,-292.0,4,22.916481494903564,(ceil((6 max (n * 4))) / sqrt5)
