fitness,matches,expression
-12370.0,15,((((n - 9) max (n // 6)) | (n + ((((n % (7 << 1)) + n) // 9) * (n // 5)))) + (log10(phi) + cosh(log2(n))))
-10124.0,14,((((n - 9) max (n // 6)) | (n + (((n + n) // 9) * (n // 5)))) + (log10(phi) + cosh(log2(n))))
-10120.0,14,((((n // 9) | (((n * n) // 7) // 6)) | (n + (((n + n) // 9) * (n // 5)))) + (log10(phi) + cosh(log2(n))))
-8167.0,13,"(((n // 9) << (1 >> (n % 10))) + (n + (n ** nroot(((n // ln10) * catalan), (n min 6)))))"
-6479.0,12,(((n % ((6 & n) + atan(5))) min 5) + (sqrt((n min 8)) ** (sqrt(n) ** tanh(pi))))
-6477.0,12,((n + ((sqrt5 * ((n // 5) ** sin(sqrt5))) * (n // (5 - log((n ** catalan)))))) + (n ** catalan))
-6475.0,12,((n ** neg(log10((euler_gamma ** (n min 6))))) + ((((n min 8) | (2 >> ((n % 10) & n))) & 7) % 6))
-6470.0,12,((n + (n // 5)) + ((n min ((((7 & n) min log_{e}(7)) + ((7 & n) >> (7 & 10))) + 7)) ** log10((n + n))))
-5042.0,11,(ceil(cosh(log2(n))) + cosh(log2(((n min ((n + 7) ^ n)) | (n // 7)))))
-5042.0,11,((1 max ((n // sqrt5) + (n // (sqrt5 - (n // 10))))) + (n ** atan(3)))
-5041.0,11,(((n // 5) & (7 * n)) + (cosh(log2(n)) + ((n // 5) + cosh(sqrt(n)))))
-5041.0,11,((((n // 4) & n) + cosh((log2(n) / tan(log2(euler_gamma))))) + cosh(log2((n min 10))))
-5041.0,11,((cosh(((n min 10) ** tanh(euler_gamma))) + (n // (5 | (n % 10)))) + cosh(log2(n)))
-5040.0,11,(cosh(log2(n)) + (cosh(log2(((n min 10) ** sin(8)))) + (n // (5 | (n % 10)))))
-5039.0,11,((((n min 10) ** (phi * log10((5 min n)))) + n) + (((n // 7) / sin(n)) % 8))
-5039.0,11,((n * sqrt5) + (((((n // 7) + (n // 10)) * (n min 10)) + cos(n)) // cosh(phi)))
-5039.0,11,(e + ((n min 10) // (e / (((n min 5) max (6 % n)) max ((n + n) / e)))))
-5037.0,11,(((phi ** n) min ((n + n) + (((n // 3) * (n // 5)) / ((n min 7) % pi)))) + 1)
-5037.0,11,(((n // 7) + cosh(log2(n))) + ((((n // 5) * (n // 5)) + (n min 10)) ^ (n // 8)))
-5036.0,11,"(n + nroot(sqrt((((n % 7) | n) max ((cos((n * phi)) + n) / tan(n)))), (sqrt5 / (n min 5))))"
-5036.0,11,"((((nroot(factorial(n), ln10) min (n * pi)) ** catalan) + ((n & 7) % 6)) + (((n & 7) ** n) % n))"
-5036.0,11,((((((n * n) // 7) // 7) & neg(n)) + (((n // 5) * (n / 5)) + n)) + cosh(log2(n)))
-5035.0,11,((((cosh(log2(n)) + (n // 9)) + (((n // 5) & n) * (n // 5))) + (n // 6)) + (n min 10))
-5033.0,11,"(((n // tanh((nroot(n, n) min ((10 - n) max ln2)))) min (10 // tanh(ln2))) + (sqrt(sqrt((n ** (n min 5)))) ** catalan))"
-5030.0,11,"((n + ((((n // 5) << (n // 5)) - ((n / sqrt5) // phi)) + ((n // (n | 7)) + cosh(log2(n))))) max nroot(n, log2(phi)))"
-3835.0,10,((n min 5) + (n ** (neg(3) % atan((n - (n // 8))))))
-3834.0,10,sinh(sqrt((sinh(sqrt(n)) + ((sinh(ln10) min n) max ((n % 8) - sqrt2)))))
-3834.0,10,"(cosh((n / nroot(((n min (7 + sqrt5)) max 5), ln10))) + (n min 7))"
-3834.0,10,((cosh(((n + (5 min n)) / 4)) + (n min 7)) + (n // 10))
-3834.0,10,"(nroot(sinh((n + ((cos(n) // n) / atan(pi)))), pi) + (n * sqrt2))"
-3834.0,10,sinh(sqrt((sinh(sqrt(n)) + ((n min sinh(ln10)) max ((n % 8) - sqrt2)))))
-3833.0,10,(n + ((cosh(log2(sinh(sqrt(n)))) + (n // (n | 5))) + (n // 5)))
-3833.0,10,"(n + nroot(((n min 5) ** (sqrt3 + ((n min 7) max (n - ln2)))), 6))"
-3833.0,10,sinh(sqrt(((((7 / sqrt2) min n) max ((n & 7) - sqrt2)) + sinh(sqrt(n)))))
-3833.0,10,sinh(sqrt((((n min 5) max ((n & 7) - sqrt2)) + sinh((n ** log10(pi))))))
-3833.0,10,sinh(sqrt((tanh(((7 & n) // 7)) + ((n min sinh(ln10)) + sinh(sqrt(n))))))
-3832.0,10,sinh(sqrt((((n min 5) max ((n % 8) - sqrt2)) + (sinh(sqrt(n)) * sin(8)))))
-3832.0,10,sinh(sqrt(((((n min sinh(ln10)) min 5) max ((n & 7) - sqrt2)) + sinh(sqrt(n)))))
-3832.0,10,((n ** (neg(3) % atan((n min (n - sin((8 & n))))))) + (n min 5))
-3832.0,10,"(cosh(log_{nroot(((n // 4) + (5 max n)), n)}(sqrt(6))) + (n // log10(8)))"
-3831.0,10,"(cosh(log2(cosh(log2(n)))) + (nroot((n min 5), catalan) max (((n ^ 9) ^ 4) min n)))"
-3831.0,10,sinh(sqrt(((((n min 5) * tanh(e)) + sinh(sqrt(n))) max ((n min 7) / sin(euler_gamma)))))
-3830.0,10,(((n ** log10((sqrt3 ** n))) min (n + (sqrt3 ** (((n * n) / 3) // 8)))) + n)
-3830.0,10,"(nroot(((n min (5 max (n - (log2(c) / n)))) ** ((sqrt3 + n) min 9)), 6) + n)"
-3830.0,10,(n + ((n ** log2(cosh(euler_gamma))) ** (n min (6 - ((cos(n) % 1) max (n % ln2))))))
-3830.0,10,(cosh(log2((n + (euler_gamma max ((n - sin(n)) - 7))))) + (cosh(log2((n min 7))) // 1))
-3830.0,10,(n + sqrt(((((cosh(n) min cosh((4 ** atan(n)))) // 2) // (sin(n) + 2)) + 2)))
-3830.0,10,(((sqrt((n - ((n * n) >> 5))) max ((n * n) >> 5)) - G) * (n max sqrt5))
-3830.0,10,((((n ** sinh(log_{5}(n))) min 7) max (n ** log_{(5 + (n // 8))}(n))) + n)
-3829.0,10,sqrt(((5 - (sqrt2 - (5 min n))) ** sqrt((((5 & (n * n)) + (5 + e)) min n))))
-3829.0,10,"((n ** nroot((n min 5), (nroot(((n % 10) | 3), 5) + 3))) + nroot((5 / n), 5))"
-3829.0,10,((((n ** (((n min 7) max (n - phi)) / 6)) + n) ** ((n min 5) / 6)) + n)
-3829.0,10,((((n ** ((n min 5) / (4 * tanh(3)))) ** (catalan max log10(n))) + n) + (n // 7))
-3829.0,10,"(((nroot(n, (4 / (n min 5))) ** (catalan max log10(n))) + ((log10(n) * n) // 5)) + n)"
-3829.0,10,sinh(sqrt((((n min 7) - 5) + (((n min 5) / ((n min 9) / 5)) + sinh(sqrt(n))))))
-3829.0,10,(((n + (n ** (((n min 7) max (n - phi)) / 6))) ** ((n min 5) / 6)) + n)
-3828.0,10,(((cos(n) + ((n // 7) * (log(n) // (sin(n) max log10(sqrt3))))) + (n * tan(4))) + n)
-3828.0,10,"((nroot((n ** log((n min 5))), sqrt2) + n) + ((n // 7) max ((n - 7) * (n & 7))))"
-3828.0,10,(sqrt((n min ((6 max (7 * (n - 8))) min ((n - 1) max 5)))) * ((n - G) max sqrt5))
-3828.0,10,((((n ** ((5 min n) / 4)) ** catalan) + (n // tan(7))) + (n % ((n / 8) ** 8)))
-3828.0,10,"(((n * n) // (n ** catalan)) + nroot((((n ** log10(n)) max (n ** catalan)) ** (n min 5)), 4))"
-3827.0,10,"(n + (((7 min n) max (nroot(n, 10) ** 9)) ** (((n ** catalan) + ((6 min n) | 6)) / 10)))"
-3827.0,10,(sqrt3 + (((((n min 5) / (6 min n)) * (n min (7 max (n - atan(n))))) / log2(6)) * n))
-3827.0,10,((((n ** ((n min 5) / 4)) ** catalan) + n) + ((n // 7) max ((n - 7) * (n & 7))))
-3827.0,10,"((n min 8) + nroot(((n min (e + (n // 2))) ** n), ((sqrt5 + (n // 2)) min (ln2 + 6))))"
-3827.0,10,(n + ((n min 7) ** ((n / ((5 max n) min (5 * sqrt(e)))) + ((n - phi) / cosh(4)))))
-3827.0,10,(((n ** ((n min 5) * (6 % euler_gamma))) + n) + ((n // 7) max ((n - 7) * (n & 7))))
-3826.0,10,"(nroot((1 + (sinh(sqrt(n)) // 1)), (5 / ((euler_gamma max (floor(log10(n)) min atan(n))) + (n min 5)))) + n)"
-3825.0,10,(((n + (((n // 7) max (n - 7)) ** (n / 7))) / catalan) + (n ** (((n + n) min 10) / 9)))
-2839.0,9,"(log_{boltzmann}(n) + ((nroot(n, catalan) // catalan) * 2))"
-2839.0,9,((n ** sqrt2) + (floor(cos((sqrt2 ** n))) + sqrt3))
-2838.0,9,"((n min 7) + cosh((n / (nroot(n, ln10) max 2))))"
-2836.0,9,(cosh(log2((n min (7 << (n & 1))))) + ceil(cosh(log2(n))))
-2836.0,9,((7 ** ((e - (4 max n)) % ln2)) + (n ** atan(5)))
-2836.0,9,(ceil(cosh(log2(n))) + cosh(log2((((8 % n) | 7) min n))))
-2836.0,9,(ceil(cosh(log2(((n ^ (7 + n)) min n)))) + cosh(log2(n)))
-2836.0,9,"(nroot((n min 7), sqrt2) + sqrt(cosh((log((n ** 3)) min n))))"
-2836.0,9,(n + (((n & 7) // 5) + cosh(log_{euler_gamma}((sqrt2 / n)))))
-2836.0,9,(((n // 7) & n) + ((n // log(sqrt5)) + cosh(log2(n))))
-2836.0,9,(cosh((log2(n) * sin(8))) + ((n // tan(7)) // tan(ln2)))
-2836.0,9,(cosh(log2(n)) + ceil(cosh(log2((n min (7 << (n & 5)))))))
-2836.0,9,(cosh(log2((n min (7 << (n & 7))))) + ceil(cosh(log2(n))))
-2836.0,9,(((n // log_{8}(6)) // log_{6}(sqrt5)) + cos((n % 9)))
-2836.0,9,"(n + (((n + 1) | (n % 5)) min nroot(factorial(n), ln10)))"
-2836.0,9,(cosh(log2(n)) + ceil(cosh(log2((n min (7 << (3 & n)))))))
-2836.0,9,(((n / tanh(2)) // ln2) + cosh(((n / ln10) min sqrt(n))))
-2836.0,9,"(cosh(((n / 2) min (n / nroot(n, ln10)))) + (n min 7))"
-2835.0,9,((phi ** (n & 1)) + (n ** ((sqrt3 / phi) ** (n min 5))))
-2835.0,9,(((n min (6 - cos((n min 7)))) ** cosh(log_{6}(n))) + phi)
-2835.0,9,(((n + n) // phi) + (((n // 7) & n) + cosh(log2(n))))
-2835.0,9,(floor((sqrt5 * n)) + ((sqrt5 * (n // 7)) + cos((n % 9))))
-2835.0,9,"((cosh((n / nroot(n, ln10))) min cosh((n / 2))) + (n min 7))"
-2835.0,9,((sqrt5 * (n // 7)) + (floor((sqrt5 * n)) + cos((n % 9))))
-2834.0,9,((cosh(sqrt(n)) // tan(7)) + (n ** (catalan / acos(log10((5 min n))))))
-2834.0,9,(ceil(cosh(log2(((7 | ((n ** n) & n)) min n)))) + cosh(log2(n)))
-2834.0,9,((((n * n) % (8 max n)) % sqrt3) + ((sqrt3 ** 6) ** log10(n)))
-2834.0,9,((((n // 5) + n) | (n % 5)) + (n + cos((n min 5))))
-2834.0,9,(((n ** (n * log10(sqrt3))) min ((1 + (n | 2)) | 2)) + n)
-2834.0,9,((n + (((n - 4) + n) max n)) + cos((sqrt2 ** (n / catalan))))
-2834.0,9,((((n // 5) + n) | (n % 5)) + (n + cos((6 min n))))
-2834.0,9,((n // phi) + (n + ((n - 2) ** ((log(n) min phi) / sqrt2))))
-2834.0,9,(cos((n min 5)) + (n + ((n % 5) | (n + (n // 5)))))
-2834.0,9,((atan(n) * ((n max sqrt2) + floor(cos((n * (n % 9)))))) + n)
-2834.0,9,"(cos(((n % 7) & n)) + (n + ((nroot(n, catalan) // catalan) // catalan)))"
-2834.0,9,((cosh(log2(floor((7 ** log_{7}(n))))) + (log2(factorial(n)) // 5)) + n)
-2833.0,9,"((cosh((log2(n) * tanh(e))) + n) + (cosh(nroot(log2(n), tanh(e))) // 4))"
-2833.0,9,(sqrt((((factorial((n min 8)) // 3) + n) % ((4 << 3) * n))) + n)
-2833.0,9,"(nroot(sinh(n), (((n + 8) // n) max sqrt((n | 1)))) + (n min 8))"
-2833.0,9,(((n // 7) min catalan) + (((n // (7 / phi)) + n) + cosh(log2(n))))
-2833.0,9,(n + (((n // 7) // sin(n)) + (((n min 5) ** log10(n)) ** phi)))
-2833.0,9,"(nroot(cosh(n), sqrt((5 max (((n // 4) + n) ** catalan)))) + (n ** catalan))"
-2833.0,9,(n + ((((e + log2(n)) min n) ** (log(n) min (10 ^ n))) ** ln2))
-2833.0,9,"((n // 9) + (n + sqrt(nroot((n // tan(7)), (sqrt5 / (5 min n))))))"
-2833.0,9,"(n + ((n // 9) + nroot(sqrt((n // tan(7))), (sqrt5 / (n min 5)))))"
-2833.0,9,((n + (n // (5 - euler_gamma))) + (cosh(log2(n)) + ((n // 7) & n)))
-2833.0,9,(((n ** ((5 min n) / 4)) ** catalan) + (((8 max n) * n) // 7))
-2833.0,9,((((n ** phi) ** log10((n min 5))) + ((n // 7) // sin(n))) + n)
-2833.0,9,(n + (n ** log_{((2 ** ((n - 9) % ln2)) + e)}((n min 5))))
-2832.0,9,"(n + nroot(((nroot(((8 ^ n) + (6 ^ n)), phi) min n) ** log(n)), sqrt2))"
-2832.0,9,((((n ** ((n min 5) / 4)) ** catalan) + (n // 9)) + (n // tan(7)))
-2832.0,9,"((((nroot(n, sqrt2) ** log((n min 5))) + n) + (n // 7)) + (n // 9))"
-2832.0,9,(((n ** (catalan / (4 / (n min 5)))) + (n // 9)) + (n // tan(7)))
-2832.0,9,(((((n min 5) ** (log(n) / sqrt2)) + (n // 7)) + (n // 9)) + n)
-2832.0,9,(n + ((((factorial(n) / n) + n) % (n * ((n | 2) + sqrt3))) ** euler_gamma))
-2832.0,9,((cosh(log_{(ln2 + (n | 1))}((n + (n >> 3)))) ** (n min 6)) + n)
-2832.0,9,"(((nroot(((n min 5) ** log(n)), sqrt2) + n) + (n // 7)) + (n // 9))"
-2832.0,9,"(((nroot(n, (4 / (n min 5))) ** catalan) + n) + ((n // 7) / sin(n)))"
-2832.0,9,"((((nroot(n, sqrt2) ** log((n min 5))) + (n // 7)) + (n // 9)) + n)"
-2832.0,9,(((n // 7) // sin(n)) + (((n ** ((n min 5) / 4)) ** catalan) + n))
-2832.0,9,(n + (sqrt((factorial(n) % (((9 << (n & 1)) << 6) + 1))) ** atan(1)))
-2831.0,9,(((((n ** (catalan / 4)) ** (n min 5)) + n) + (n // 7)) + (n // 9))
-2831.0,9,((((n + cosh(log2(n))) + (n // 5)) + (n & (n // 7))) + sinh(cos(sqrt2)))
-2831.0,9,(((n ** log10((sqrt3 ** n))) min ((sqrt3 max (ln10 // (sin(n) min euler_gamma))) + n)) + n)
-2831.0,9,(((((n ** catalan) ** ((n min 5) / 4)) + (n // 7)) + (n // 9)) + n)
-2831.0,9,(((n + (((n // 7) / sinh(sin(n))) + cos((n min 6)))) / tan(7)) + n)
-2831.0,9,((n + (((n | (n << (n // 7))) // 5) // sqrt(ln2))) + (n + cos(n)))
-2831.0,9,((n // 9) + ((n // 7) + (n + ((n ** catalan) ** ((n min 5) / 4)))))
-2831.0,9,"((nroot(n, (log2((9 / n)) max tan(7))) + ((n // 7) max (n - 7))) + n)"
-2831.0,9,"((n // 7) + ((n // 9) + (n + nroot((n ** catalan), (4 / (n min 5))))))"
-2831.0,9,((((n // 9) + n) ** (catalan / (4 / (n min 5)))) + ((n // 7) + n))
-2831.0,9,(((((n ** catalan) ** ((n min 5) / 4)) + n) + (n // 9)) + (n // 7))
-2831.0,9,(n + (((n // 7) + (n // 9)) + (n ** (catalan / (4 / (n min 5))))))
-2831.0,9,((((cos(cosh(n)) + (n // log(sqrt5))) + asin((n // 7))) + n) + (n // 7))
-2831.0,9,(n + (((n // 7) + (n // 9)) + ((n ** catalan) ** ((n min 5) / 4))))
-2831.0,9,((6 / ((6 - n) max (sin(cos((5 << n))) max sin(cos((n / 8)))))) + n)
-2831.0,9,"(nroot((n ** ((n min 5) + ((n // 7) % cos(factorial(n))))), cosh(cosh(sqrt2))) + n)"
-2831.0,9,(((cos((n % 9)) + n) + (((n + (factorial(n) >> 9)) // 5) min 4)) + n)
-2831.0,9,"(((nroot((n ** (5 min n)), (sqrt2 + 3)) + (n // 7)) + (n // 9)) + n)"
-2831.0,9,((sqrt((sqrt((n ** catalan)) ** (n min 5))) + n) + ((n // 7) max (n - 7)))
-2830.0,9,(n + (((log2(pi) * log2((pi + (n - (n >> 3))))) min n) ** log((n ** ln2))))
-2830.0,9,"(((nroot(2, (n % sqrt5)) min pi) + (n + (n | 2))) min (euler_gamma + cosh(nroot(n, sqrt2))))"
-2830.0,9,"(nroot(((n // tanh(atan(n))) + sqrt2), (((5 max n) min tan(sqrt2)) / (n min 7))) + n)"
-2830.0,9,"((nroot(sqrt(((n min 5) ** n)), sqrt5) min (n * sqrt5)) + ((5 min n) min (n ^ 10)))"
-2830.0,9,"((n // 8) + (nroot(n, phi) + (((n - (n >> 1)) * sinh(2)) min sqrt(cosh(n)))))"
-2830.0,9,"((n + ((n // cos((n // 9))) // 7)) + (nroot(n, (4 / (5 min n))) ** catalan))"
-2830.0,9,((n ** (sinh((n / 5)) min (3 ** ((n / 5) / 9)))) + (n - (n // 8)))
-2830.0,9,((n / tanh(euler_gamma)) max ((((n // euler_gamma) - 3) / tanh(euler_gamma)) max (n / sin((n + sqrt3)))))
-2829.0,9,"(((log(pi) * n) + (((nroot(n, catalan) // catalan) // catalan) + (cos(n) // n))) + (n // 8))"
-2829.0,9,"(nroot(((sinh(sqrt(n)) - (log10((n % ln10)) min log10(catalan))) ** (n min 5)), (5 ** catalan)) + n)"
-2829.0,9,((n min 7) + (n ** ((((n + n) // sqrt3) + euler_gamma) / ((5 max n) min (boltzmann * avogadro)))))
-2829.0,9,((sqrt(cosh((n - euler_gamma))) min (7 + ((n * ((n % 6) // (ln2 % 6))) ** euler_gamma))) + n)
-2829.0,9,"(n * ((2 ** euler_gamma) ** nroot(((n min 7) + ((5 // n) - (2 - (n // 9)))), 2)))"
-2829.0,9,((n min 5) + ((n ** catalan) ** ((n / 4) min sqrt(log((n min ((7 & n) + 7)))))))
-2829.0,9,"(sqrt(sinh(n)) + nroot((n min (((n ** 9) + (n * 10)) | ((5 - n) ** 5))), sqrt3))"
-2828.0,9,(n + (((n ** phi) min (((sqrt3 ** 5) min ((n | 2) ** sqrt2)) + (n // 9))) ** log10(n)))
-2828.0,9,"((nroot(((n min 7) ** ((n min 5) max log_{sqrt2}(n))), 4) ** (catalan max log10(n))) + (n min 5))"
-2828.0,9,(((n ** tanh(6)) + ((n ^ ((6 << n) % (n min 5))) % (n min (5 + catalan)))) + n)
-2828.0,9,"((((sqrt3 * n) ** log2(nroot((n min 6), ln10))) + (((n % 6) & n) min ln10)) + (n // 9))"
-2826.0,9,"(((n % 6) + nroot(factorial(n), (phi + catalan))) min ((n + 10) + (((n % 6) / sqrt2) ** (pi / phi))))"
-2826.0,9,"(((((nroot(n, 4) ** n) min ((n + 7) ^ (n % 7))) ** catalan) min (7 max sinh((4 ^ n)))) + n)"
-2825.0,9,(n + (((n ** catalan) ** (n / 4)) min (n + ((((n min 8) ** catalan) ** (n / 4)) / (n | 4)))))
-2030.0,8,(cosh(log2(n)) + ceil((cosh(log2(n)) min 9)))
-2030.0,8,(ceil(cosh(log2(n))) + (cosh(log2(n)) min 8))
-2030.0,8,(ceil(cosh(log2(n))) + cosh(log2((n min 7))))
-2030.0,8,(cosh(log2((n min 7))) + ceil(cosh(log2(n))))
-2030.0,8,(ceil(cosh(log2(n))) + cosh(log2((n min 7))))
-2030.0,8,(ceil(cosh(log2(n))) + cosh(log2((n min 7))))
-2027.0,8,(n + (cosh((n / 2)) min (n + (log(boltzmann) % n))))
-2027.0,8,((cosh(log2(n)) // 4) + ((7 min n) + cosh(log2(n))))
-2027.0,8,((n ** ((n // ln2) / (catalan + n))) + (n ** catalan))
-2027.0,8,ceil((n / tanh((e / (n min (5 max (6 % n)))))))
-2027.0,8,(ln10 + ((n min (5 + (n // 7))) // (e / n)))
-2027.0,8,"(n + nroot(((n min 5) ** ((n + sqrt3) min 9)), 6))"
-2027.0,8,(((cosh((n // pi)) + n) min cosh((n / 2))) + n)
