fitness,matches,expression
-899.0,6,"(n + (nroot(n, catalan) + tanh(cos(n))))"
-899.0,6,"(nroot(n, catalan) + (tanh(cos(n)) + n))"
-899.0,6,"((nroot(n, catalan) + atan(cos(n))) + n)"
-899.0,6,"(nroot(n, catalan) + (sin(cos(n)) + n))"
-899.0,6,"((tanh(cos(n)) + n) + nroot(n, catalan))"
-899.0,6,"(n + (nroot(n, catalan) + sin(cos(n))))"
-899.0,6,"((nroot(n, catalan) + n) + sin(cos(n)))"
-899.0,6,"((nroot(n, catalan) + sin(cos(n))) + n)"
-899.0,6,"((n + nroot(n, catalan)) + tanh(cos(n)))"
-899.0,6,"(nroot(n, catalan) + (n + atan(cos(n))))"
-899.0,6,"(atan(cos(n)) + (n + nroot(n, catalan)))"
-899.0,6,(cos(n) + (n // sinh(log10(e))))
-899.0,6,"((nroot(n, catalan) + n) + tanh(cos(n)))"
-899.0,6,"((sin(cos(n)) + nroot(n, catalan)) + n)"
-899.0,6,"((atan(cos(n)) + nroot(n, catalan)) + n)"
-899.0,6,"(tanh(cos(n)) + (nroot(n, catalan) + n))"
-899.0,6,"(nroot(n, catalan) + (n + sin(cos(n))))"
-899.0,6,"((n + sin(cos(n))) + nroot(n, catalan))"
-899.0,6,"(n + (sin(cos(n)) + nroot(n, catalan)))"
-899.0,6,"((atan(cos(n)) + n) + nroot(n, catalan))"
-899.0,6,"((n + tanh(cos(n))) + nroot(n, catalan))"
-899.0,6,((n // sin(sqrt(catalan))) + cosh(log2(n)))
-899.0,6,"(nroot(n, catalan) + (atan(cos(n)) + n))"
-899.0,6,(cosh(log2(n)) + (n // tan(log2(phi))))
-899.0,6,"(atan(cos(n)) + (nroot(n, catalan) + n))"
-899.0,6,((n // sinh(log10(e))) + cos(n))
-899.0,6,"(n + (atan(cos(n)) + nroot(n, catalan)))"
-898.0,6,((n * asin(catalan)) + (n + cos(n)))
-898.0,6,"(nroot(n, catalan) + (n + cos(sinh(n))))"
-898.0,6,((n / (phi % euler_gamma)) + cos(n))
-898.0,6,"(nroot(n, catalan) + (cos(cosh(n)) + n))"
-898.0,6,"((cos(cosh(n)) + nroot(n, catalan)) + n)"
-898.0,6,((n + (asin(catalan) * n)) + cos(n))
-898.0,6,(((asin(log10(n)) + n) + cos(n)) + n)
-898.0,6,"((cos(cosh(n)) + n) + nroot(n, catalan))"
-898.0,6,"(n + (nroot(n, catalan) + cos(sinh(n))))"
-898.0,6,(((log(pi) * n) + n) + cos(n))
-898.0,6,(n + (cos(n) + (n * log(pi))))
-898.0,6,((n * log(pi)) + (n + cos(n)))
-898.0,6,(sinh(log10(n)) + ((cos(n) + n) + n))
-898.0,6,(((n * log(pi)) + cos(n)) + n)
-898.0,6,(n + (n + (asin(log10(n)) + cos(n))))
-898.0,6,((cos(n) + n) + (asin(catalan) * n))
-898.0,6,(cos(n) + ((log(pi) * n) + n))
-898.0,6,(floor((n ** asin(catalan))) + (cos(n) + n))
-898.0,6,((log(pi) * n) + (cos(n) + n))
-898.0,6,(cos(n) + (n + (sinh(log10(n)) + n)))
-898.0,6,(((asin(log10(n)) + cos(n)) + n) + n)
-898.0,6,(((n + n) + asin(log10(n))) + cos(n))
-898.0,6,((n + (n + sinh(log10(n)))) + cos(n))
-898.0,6,(n + (cos(n) + (asin(catalan) * n)))
-898.0,6,((n + cos(n)) + (asin(catalan) * n))
-898.0,6,"((nroot(n, catalan) + n) + cos(cosh(n)))"
-898.0,6,((n + n) + (cos(n) + sinh(log10(n))))
-898.0,6,(((sinh(log10(n)) + n) + cos(n)) + n)
-898.0,6,((cos(n) + n) + (n * log(pi)))
-898.0,6,((n + cos(n)) + (sinh(log10(n)) + n))
-898.0,6,(sinh(log10(n)) + ((n + cos(n)) + n))
-898.0,6,(n + (asin(log10(n)) + (cos(n) + n)))
-898.0,6,(cos(n) + ((n * log(pi)) + n))
-898.0,6,"((cos(sinh(n)) + nroot(n, catalan)) + n)"
-898.0,6,"((n + nroot(n, catalan)) + cos(cosh(n)))"
-898.0,6,(n + ((n + sinh(log10(n))) + cos(n)))
-898.0,6,(cos(n) + ((n + asin(log10(n))) + n))
-898.0,6,((sinh(log10(n)) + n) + (cos(n) + n))
-898.0,6,(cos(n) + ((n * asin(catalan)) + n))
-898.0,6,(sinh(log10(n)) + ((n + n) + cos(n)))
-898.0,6,((n + tanh((cosh(n) / cos(n)))) + n)
-898.0,6,((cos(n) + asin(log10(n))) + (n + n))
-898.0,6,"(cos(cosh(n)) + (nroot(n, catalan) + n))"
-898.0,6,"((n + nroot(n, catalan)) + cos(sinh(n)))"
-898.0,6,"((n + cos(sinh(n))) + nroot(n, catalan))"
-898.0,6,(((n + asin(log10(n))) + n) + cos(n))
-898.0,6,(n + ((n * log(pi)) + cos(n)))
-898.0,6,"(n + (cos(cosh(n)) + nroot(n, catalan)))"
-898.0,6,(n + ((n * asin(catalan)) + cos(n)))
-898.0,6,(cos(n) + (n + (n + sinh(log10(n)))))
-898.0,6,(n + ((asin(catalan) * n) + cos(n)))
-898.0,6,(cos(n) + ((n + sinh(log10(n))) + n))
-898.0,6,(n + ((log(pi) * n) + cos(n)))
-898.0,6,"(n + (cos(sinh(n)) + nroot(n, catalan)))"
-898.0,6,((n + (cos(n) + n)) + sinh(log10(n)))
-898.0,6,((n + n) + tanh((cosh(n) / cos(n))))
-898.0,6,(sinh(log10(n)) + (n + (n + cos(n))))
-898.0,6,(n + ((sinh(log10(n)) + n) + cos(n)))
-898.0,6,((cos(n) + n) + (log(pi) * n))
-898.0,6,(((cos(n) + n) + n) + sinh(log10(n)))
-898.0,6,"((cos(sinh(n)) + n) + nroot(n, catalan))"
-898.0,6,"((nroot(n, catalan) + n) + cos(sinh(n)))"
-898.0,6,(n + (tanh((sinh(n) / cos(n))) + n))
-898.0,6,((n + cos(n)) + (n + sinh(log10(n))))
-898.0,6,"(cos(n) + (nroot(n, sin(cosh(euler_gamma))) + n))"
-898.0,6,((n + (n + asin(log10(n)))) + cos(n))
-898.0,6,((cos(n) + (asin(log10(n)) + n)) + n)
-898.0,6,"(n + (nroot(n, catalan) + cos(cosh(n))))"
-898.0,6,((n + sinh(log10(n))) + (n + cos(n)))
-898.0,6,"(nroot(n, catalan) + (n + cos(cosh(n))))"
-898.0,6,(n + (log((pi ** n)) + cos(n)))
-898.0,6,((cos(n) + n) + (n * asin(catalan)))
-898.0,6,((cos(n) + (sinh(log10(n)) + n)) + n)
-898.0,6,((n + cos(n)) + (n * asin(catalan)))
-898.0,6,((n + cos(n)) + (n + asin(log10(n))))
-897.0,6,"(nroot(n, (catalan max cos(n))) + (cos(n) + n))"
-897.0,6,((n + ((n + n) // phi)) + cos(n))
-897.0,6,(cos(n) + ((n // sin(acos(euler_gamma))) + n))
-897.0,6,((cos(n) + n) + (n // (n % sinh(catalan))))
-897.0,6,(n + ((n + (cos(n) // n)) // sqrt(euler_gamma)))
-897.0,6,"(nroot(((cos(n) min euler_gamma) + n), catalan) + n)"
-897.0,6,((n + cos(n)) + ((n + n) * euler_gamma))
-897.0,6,((cos(n) + n) + (euler_gamma * (n + n)))
-897.0,6,((n * atan(sqrt(n))) + (n + cos(sinh(n))))
-897.0,6,"(n + nroot((n + (cos(n) min euler_gamma)), catalan))"
-897.0,6,(((n // sin(sqrt(catalan))) + n) + cos(n))
-897.0,6,(cos(n) + (((n + n) // phi) + n))
-897.0,6,"(n + nroot(((cos(n) / atan(n)) + n), catalan))"
-897.0,6,((n + cos(n)) + ((n + n) // phi))
-897.0,6,(((cos(n) + n) + sin(log(sqrt(n)))) + n)
-897.0,6,((((n + n) * euler_gamma) + n) + cos(n))
-897.0,6,(n + ((factorial(n) ** sin(e)) min (n + phi)))
-897.0,6,((atan((cos(n) * n)) + (n / catalan)) + n)
-897.0,6,((cos(n) + (n + n)) / tanh(log2(pi)))
-897.0,6,"(nroot(((cos(n) / atan(n)) + n), catalan) + n)"
-897.0,6,ceil(((phi ** n) min (n / cos(avogadro))))
-897.0,6,((cos(n) + n) + ((n + n) * euler_gamma))
-897.0,6,(n + ((floor(log2(sinh(ceil(n)))) max n) + cos(n)))
-897.0,6,((cos(n) + ((n + n) // phi)) + n)
-897.0,6,(n + ((cos(n) + n) / cos(log10(pi))))
-897.0,6,"(n + nroot((cos(n) + n), (catalan max cos(n))))"
-897.0,6,(n + ((n + cos(n)) / cos(log10(pi))))
-897.0,6,(n + (((n + n) * euler_gamma) + cos(n)))
-897.0,6,(n + ((n + (n - tan(n))) ** log10(n)))
-897.0,6,((n ** catalan) + cosh(log2((n + ceil(cos(n))))))
-897.0,6,(n + (cos(n) + (n // sin(sqrt(catalan)))))
-896.0,6,"((n + nroot(n, (catalan ** catalan))) + cos(n))"
-896.0,6,((cos(n) + n) + ((avogadro % sqrt(n)) + n))
-896.0,6,(cosh((cosh((n / pi)) min e)) + n)
-896.0,6,((n + (n + cos(n))) + (log10(n) ** catalan))
-896.0,6,(((log_{log10(c)}(n) + n) + n) + cos(n))
-896.0,6,(((pi * n) / e) + (n + cos(n)))
-896.0,6,((cos(n) + floor((n ** (euler_gamma + euler_gamma)))) + n)
-896.0,6,(((n * log_{e}(pi)) + cos(n)) + n)
-896.0,6,(ceil((phi ** n)) min ((phi + n) + n))
-896.0,6,((cos(n) + n) + ((log10(n) ** catalan) + n))
-896.0,6,(n + (n + ((log2(n) / pi) + cos(n))))
-896.0,6,(n + (((atan(n) ** n) min n) / atan(tanh(n))))
-896.0,6,((n + (log2(n) / pi)) + (n + cos(n)))
-896.0,6,(cosh(log2((n - sin((pi ** n))))) + cosh(log2(n)))
-896.0,6,(n + (n + (cos(n) - cos((n ** euler_gamma)))))
-896.0,6,"(n + (cos(sinh((n | n))) + nroot(n, catalan)))"
-896.0,6,((n + (n + sin((phi + n)))) + log10(n))
-896.0,6,"((nroot(n, (catalan ** catalan)) + cos(n)) + n)"
-896.0,6,((n + (n + sin((n + phi)))) + log10(n))
-896.0,6,((n / (e / pi)) + (cos(n) + n))
-896.0,6,((tanh((avogadro % n)) + n) + (cos(n) + n))
-896.0,6,((n + n) + (cos(n) + log10((cos(n) + n))))
-896.0,6,(cosh(((n / ceil(phi)) min e)) + n)
-896.0,6,"(((n + nroot(cos(n), pi)) + n) + log10(n))"
-896.0,6,"(n + (n + (log10(n) + nroot(cos(n), atan(n)))))"
-896.0,6,((n + cos(n)) + (n + log10((n + cos(n)))))
-896.0,6,((n + (n + cos(n))) + log10((n + cos(n))))
-896.0,6,(n + (log10(n) + (n + sin((phi + n)))))
-895.0,6,(sqrt(n) + (sqrt((n + cosh(n))) min sqrt((n ** e))))
-895.0,6,((sqrt((cosh(n) + n)) min sinh(pi)) + sqrt(n))
-895.0,6,(n + ((n + cos((n / tanh(pi)))) + log10(n)))
-895.0,6,((cosh(log2(n)) + sinh((n min sinh(tanh(ceil(cos(n))))))) + n)
-895.0,6,((sqrt(cosh((euler_gamma - n))) min sinh(e)) + n)
-895.0,6,(sqrt(((sqrt(factorial(n)) min (n + n)) ** phi)) + n)
-895.0,6,(cosh(cosh((log2(pi) min (n / pi)))) + n)
-895.0,6,(n + ((n ** atan(log10(factorial(n)))) min (n + atan(n))))
-895.0,6,((cos(tan(abs(sin(factorial(n))))) + n) + (cos(n) + n))
-895.0,6,(((atan((n ** n)) ** n) min (n + n)) + phi)
-895.0,6,(((n + log(n)) min cosh(cosh((n / pi)))) + n)
-894.0,6,(((phi ** n) + catalan) min ((n + phi) + n))
-894.0,6,((log10(n) + (n + n)) + (cos((n * n)) max cos(n)))
-894.0,6,(n + (n + (((cos(n) * n) max cos(n)) min phi)))
-894.0,6,(((n ** log10((n ** phi))) min (n + phi)) + n)
-894.0,6,(cos(cosh(n)) + (sqrt((n ** (phi ** phi))) + n))
-894.0,6,((cos((n * n)) max cos(n)) + ((log10(n) + n) + n))
-894.0,6,(n + cosh((((n ** catalan) * euler_gamma) min e)))
-894.0,6,(((cos(n) + n) + sinh(tan(tanh(log10(n))))) + (n & n))
-894.0,6,(n + sinh(((n / (floor(e) min n)) min e)))
-894.0,6,"((n + (nroot(log_{c}(cosh(n)), n) + cos(n))) + n)"
-894.0,6,((((cos((n * n)) max cos(n)) + n) + n) + log10(n))
-894.0,6,((tanh(n) + (phi ** n)) min (n + (phi + n)))
-894.0,6,((n + cos(n)) + (n + (n * log_{euler_gamma}(catalan))))
-894.0,6,"(n + sinh(nroot(n, ((log10(c) / n) max log(n)))))"
-893.0,6,((sqrt((n + cosh(n))) + sqrt(n)) min ((n + n) + log(n)))
