fitness,matches,expression
-5033.0,11,(((sqrt(n) ** tanh(cosh(((cos(tanh(n)) max (tanh(n) // cos(n))) % (n max (tanh(n) // cos(n))))))) ** sqrt(n)) + n)
-3850.0,10,(((n ** log(n)) // (((n & n) & n) + (((n max n) // n) | n))) + ((n + cos(((n min n) + log10(n)))) + n))
-3850.0,10,((cos(n) + n) + ceil(((n + ((cos(n) // (n * n)) + n)) ** (log10(n) / tanh(n)))))
-3850.0,10,(((sqrt(n) ** tanh(cosh((cos((n // n)) max (tanh(n) // cos(n)))))) ** sqrt(n)) + n)
-2850.0,9,(n + (sqrt(((factorial(n) // n) + (factorial(n) // (n | n)))) min ((n // (cosh((n min n)) % (n min n))) + n)))
-2849.0,9,"(((sqrt((n << (n | n))) / nroot(n, (n + (n & n)))) + nroot(n, ((n min (log10(n) / (n / n))) max (n + n)))) min ((n + n) + nroot(n, (catalan + (sin((sin(n) % n)) % n)))))"
-2040.0,8,(((n % atan(n)) + cosh(log2(n))) + cosh(log2(((((n / n) + n) + (n - cosh(log2((n max n))))) min n))))
-2040.0,8,"(n + nroot(n, (sinh(sin(sqrt(n))) max sin((factorial((n >> n)) max sqrt(((n * n) & n)))))))"
-2039.0,8,((n + (pi + n)) min ((n ** atan(n)) + ((cos((n * n)) max cos((n // n))) + (n / n))))
-2039.0,8,(n + ((n ** log10((sqrt(factorial(n)) + n))) min (((n // pi) ** log10((n * n))) + n)))
-2039.0,8,(n + ((sqrt(sinh(n)) // atan((n & n))) min ((sinh((n // pi)) - (tanh((n ** n)) // n)) + n)))
-2037.0,8,"(n + (nroot(n, (catalan ** ((n / (n min e)) * abs(sin(((n ** e) * n)))))) + cos(n)))"
-1400.0,7,((((n << n) / (atan(n) + ((n * n) max (n * n)))) min (atan(n) + ((n // cos(neg((n min n)))) max n))) + n)
-1400.0,7,"((sqrt(n) ** ((n min sqrt(n)) ** tanh(n))) + ((n min n) min (n min tan(nroot(n, n)))))"
-1400.0,7,(ceil(cosh(log2(n))) + cosh(log2(n)))
-1400.0,7,"(nroot(((sqrt(sqrt(((n >> n) + (n ** n)))) max ((n // n) & n)) min ((atan(n) ** n) max (n + sqrt(n)))), nroot(atan(n), n)) + n)"
-1400.0,7,(sqrt((sqrt((n max (n + n))) + n)) + (sqrt(cosh((n | n))) min (((n & (n + (n + n))) + sqrt((n max n))) + ((n * n) min n))))
-1400.0,7,(((floor((n + (n & n))) + sqrt(sqrt(((n ** n) & n)))) + sqrt(sqrt(n))) min (floor((sin(n) + n)) + sqrt(sqrt((n ** n)))))
-1400.0,7,(n + (((((n & (n ** n)) max (((n // n) % n) ** n)) | (n + n)) + ((n & (n ** n)) / (n + n))) ** log10(n)))
-1400.0,7,((sqrt(n) min cosh((((n ** n) * n) & (n * n)))) + (n ** atan(n)))
-1400.0,7,(cosh(log2((n min n))) + ceil(cosh(((n / n) * log2(n)))))
-1400.0,7,((n // n) + (((n | n) + ((n | (n + n)) // (n // n))) ** log10((n + (n // n)))))
-1399.0,7,"(cos(n) + (nroot((((n << n) min n) // tanh(nroot((n min n), n))), (cos(n) max (catalan % n))) + n))"
-1399.0,7,(((n + n) // phi) + ((n ** log10((n + n))) min (n + n)))
-1399.0,7,"(n + (cos(sinh(n)) + (nroot(n, catalan) max (cos(cos(sinh(n))) - tan(sinh(n))))))"
-1399.0,7,((n / ceil((atan(n) * asin((G max (cos((n | n)) max cos((n | n)))))))) + ((n + n) min cosh((n / ceil(atan((n + n)))))))
-1399.0,7,(n + (((n max sqrt(sinh(n))) // atan(n)) min ((n max ((sqrt(sinh(n)) / e) % (sinh(n) / sqrt(n)))) // atan((n / n)))))
-1399.0,7,"cosh((cosh(nroot(n, (e max log10(factorial(n))))) max cosh(log(n))))"
-1399.0,7,"((nroot(n, catalan) + ((n - ((n + tan(cosh(n))) min n)) max (n min n))) + cos(cosh(n)))"
