fitness,matches,expression
-901.0,6,"(n + (atan(cos(n)) + nroot(n, catalan)))"
-901.0,6,"((nroot(n, catalan) + cos(cosh(n))) + n)"
-901.0,6,"((nroot(n, catalan) + cos(cosh(n))) + n)"
-901.0,6,"((atan(cos(n)) + nroot(n, catalan)) + n)"
-901.0,6,"sinh(cosh(nroot((n min (e + e)), e)))"
-901.0,6,"((nroot(n, catalan) + n) + cos(cosh(n)))"
-901.0,6,"((nroot(n, catalan) + sin(cos(n))) + n)"
-901.0,6,"((cos(sinh(n)) + n) + nroot(n, catalan))"
-901.0,6,"((nroot(n, catalan) + n) + cos(sinh(n)))"
-901.0,6,"((cos(cosh(n)) + n) + nroot(n, catalan))"
-901.0,6,"((n + cos(sinh(n))) + nroot(n, catalan))"
-901.0,6,"(nroot(n, catalan) + (cos(sinh(n)) + n))"
-901.0,6,"((n + cos(cosh(n))) + nroot(n, catalan))"
-901.0,6,"((cos(cosh(n)) + n) + nroot(n, catalan))"
-901.0,6,"(cos(sinh(n)) + (n + nroot(n, catalan)))"
-901.0,6,"((nroot(n, catalan) + n) + cos(cosh(n)))"
-901.0,6,"(nroot(n, catalan) + (n + cos(cosh(n))))"
-900.0,6,(((phi ** n) min (n + n)) + ceil(catalan))
-900.0,6,"sinh((cosh(nroot(n, e)) min cosh(nroot(e, phi))))"
-900.0,6,(tanh(c) + ((n + n) min (phi ** n)))
-900.0,6,(n + (tanh((cosh(n) / cos(n))) + n))
-900.0,6,((tanh(sinh((n / cos(n)))) + n) + n)
-900.0,6,(ceil((phi ** n)) min (n + (phi + n)))
-900.0,6,"(nroot(((cos(n) min euler_gamma) + n), catalan) + n)"
-900.0,6,(n + ((cos(n) + n) * sqrt(tan(catalan))))
-900.0,6,(cosh((((n ** catalan) * euler_gamma) min e)) + n)
-900.0,6,((n // sin(atan(cosh(catalan)))) + cosh(log2(n)))
-900.0,6,((n + ((n + n) // phi)) + cos(n))
-900.0,6,(cosh(G) + ((phi ** n) min (n + n)))
-900.0,6,(((cos(n) + n) / log10(sinh(e))) + n)
-900.0,6,ceil(((phi ** n) min (phi * (n + phi))))
-900.0,6,(cos(boltzmann) + ((phi ** n) min (n + n)))
-900.0,6,(n + (((n + n) // phi) + cos(n)))
-900.0,6,(n + cosh(cosh(((n / pi) min log2(pi)))))
-900.0,6,(n + cosh((((n ** catalan) * euler_gamma) min e)))
-900.0,6,"(n + nroot((n + (euler_gamma min cos(n))), catalan))"
-900.0,6,(ceil(catalan) + ((phi ** n) min (n + n)))
-900.0,6,(((phi ** n) min (n + n)) + cos(boltzmann))
-900.0,6,(n + ((n + cos(n)) + sinh(log10(n))))
-900.0,6,(e + (((n * n) & neg(n)) // e))
-900.0,6,"(nroot((n + (euler_gamma min cos(n))), catalan) + n)"
-900.0,6,"((n + nroot(n, (catalan ** catalan))) + cos(n))"
-900.0,6,((cosh(log10((pi ** n))) min sinh(e)) + n)
-900.0,6,((n + (n / (catalan ** phi))) + cos(n))
-900.0,6,"(cos(n) + (n + nroot(n, (catalan ** catalan))))"
-900.0,6,(((phi ** n) min (n + n)) + sinh(catalan))
-900.0,6,"(nroot(cos(n), e) + ((n / catalan) + n))"
-899.0,6,(((n + n) min (phi ** n)) + (n / n))
-899.0,6,(sqrt(cosh(((e + e) min n))) + (e min n))
-899.0,6,(((phi ** n) + catalan) min (n * cosh(log2(e))))
-899.0,6,(((n ** (phi * log10(n))) min sinh(e)) + n)
-899.0,6,((catalan + (phi ** n)) min (n + (phi + n)))
-899.0,6,"(n + nroot(((cos(catalan) min cos(n)) + n), catalan))"
-899.0,6,(((log10((n / catalan)) + cos(n)) + n) + n)
-899.0,6,((n + cos(n)) + (log10((n / catalan)) + n))
-899.0,6,"((cos(n) + n) + nroot((cos(phi) + n), catalan))"
-899.0,6,(e + (n // (e / (n min (pi * phi)))))
-899.0,6,"(n + nroot((cos(n) + n), (cos(n) max catalan)))"
-899.0,6,(((log10((n / catalan)) + n) + cos(n)) + n)
-899.0,6,(sqrt(sinh((n min (e + e)))) + (n min e))
-899.0,6,(sqrt(cosh(((e + e) min n))) + (e min n))
-899.0,6,(cosh(log2((ceil(cos(n)) + (catalan * n)))) + n)
-899.0,6,(sqrt(sinh((n min (e + e)))) + (n min e))
-899.0,6,(((phi ** n) + cos(euler_gamma)) min (sinh(e) // euler_gamma))
-899.0,6,((catalan + (phi ** n)) min (n + (phi + n)))
-899.0,6,(n + ((n ** log10((n ** phi))) min cosh(e)))
-899.0,6,sinh(sqrt((n + sinh(sqrt((n min (pi / euler_gamma)))))))
-899.0,6,(sinh(sqrt(n)) + sqrt((factorial(n) ** sin(sqrt(n)))))
-899.0,6,(n + ((n + sin((phi + n))) + log10(n)))
-899.0,6,"((nroot((factorial(n) * phi), e) min cosh(e)) + n)"
-899.0,6,(((phi ** n) + catalan) min (phi + (n + n)))
-899.0,6,sinh(sqrt((sinh(sqrt((n min (e + e)))) + n)))
-899.0,6,(((phi ** n) + catalan) min ((n + n) + phi))
-899.0,6,(n + ((n ** (log10(n) * phi)) min cosh(e)))
-899.0,6,((catalan + (phi ** n)) min ((n + n) + phi))
-899.0,6,"((nroot(sqrt(factorial(n)), sqrt(phi)) min sinh(e)) + n)"
-899.0,6,((n min e) + sqrt(cosh((n min (e + e)))))
-899.0,6,((sin(catalan) + (phi ** n)) min (cosh(e) + n))
-899.0,6,(n + sqrt(((sqrt(factorial(n)) ** phi) min log(avogadro))))
-899.0,6,"(cosh((nroot((n ** log(n)), e) min e)) + n)"
-899.0,6,sinh(sqrt((n + sinh(sqrt((n min (e + e)))))))
-899.0,6,sinh(sqrt(((n min sqrt(log2(c))) + sinh(sqrt(n)))))
-899.0,6,(n + ((e ** log10(factorial(n))) min (n + phi)))
-899.0,6,(n + (((n ** log10(n)) ** phi) min cosh(e)))
-898.0,6,(n + (cos(n) + (n + floor((e % atan(n))))))
-898.0,6,(((phi ** n) + cos(euler_gamma)) min ((phi + n) // euler_gamma))
-898.0,6,((cos(n) + (sinh(log10(n)) + (n | n))) + n)
-898.0,6,(catalan + ((n ** atan(n)) + (n & (n // n))))
-898.0,6,(n + ((n + cos(n)) + log10((n + cos(n)))))
-898.0,6,((n + cos((n * n))) + ((n / catalan) / catalan))
-898.0,6,(((phi ** n) + atan(phi)) min ((phi + n) + n))
-898.0,6,(cosh(log2((((cos(n) // n) + euler_gamma) + n))) + n)
-898.0,6,(((n + n) min (acos(boltzmann) ** n)) + cosh(tanh(n)))
-898.0,6,(((phi min ((n + pi) / n)) ** n) + cos(euler_gamma))
-898.0,6,((cosh(cosh((sqrt(n) * log10(n)))) min cosh(e)) + n)
-898.0,6,"(euler_gamma + (n + (nroot(factorial(n), e) min (e * e))))"
-898.0,6,"(((cos(n) + n) ** log2(cosh(nroot(n, n)))) + n)"
-898.0,6,(((cos(n) + n) + n) + log10((cos(n) + n)))
-898.0,6,(n + ((n ** (n / (phi + e))) min sinh(e)))
-898.0,6,(((log2(floor(pi)) ** n) min (n + n)) + atan(pi))
-898.0,6,(((n ** (log10(n) * phi)) min (phi + n)) + n)
-898.0,6,"(n + (nroot(n, (phi / (n / e))) min cosh(e)))"
-898.0,6,sinh(sqrt((n + sinh((sqrt(n) min sqrt((phi * pi)))))))
-898.0,6,(((n ** (phi * log10(n))) min (n + phi)) + n)
-898.0,6,((n + cosh(cosh((n / pi)))) min (phi + cosh(pi)))
-898.0,6,(n + ((n ** log10((n ** phi))) min (n + phi)))
-898.0,6,"(((cosh(nroot(log10(n), n)) ** n) min cosh(e)) + n)"
-898.0,6,ceil(((pi * ceil(pi)) min ((phi * tanh(pi)) ** n)))
-898.0,6,(n + (((n ** phi) ** log10(n)) min (phi + n)))
-898.0,6,(sin(catalan) + (phi ** (n min (pi + (phi ** phi)))))
-897.0,6,(((phi ** n) min (n + n)) + ((catalan // catalan) ** phi))
-897.0,6,(n + ((n + (ceil((n min pi)) % n)) / atan(n)))
-897.0,6,(log10(n) + (cosh(log2(n)) + (n + cos((n * n)))))
-897.0,6,(((n + tanh((cos(neg(n)) * ceil(n)))) / catalan) + n)
-897.0,6,((n ** atan(cosh((log((phi ** n)) min sinh(phi))))) + phi)
-897.0,6,sinh(sqrt(((sinh(sqrt(n)) min (e + log_{G}(boltzmann))) + n)))
-897.0,6,sinh(sqrt(((e % cos(log2(n))) + (n + sinh(sqrt(n))))))
-897.0,6,ceil((phi ** ((tanh(e) * n) min (e + (phi + catalan)))))
-897.0,6,(n + sqrt((sqrt((factorial(n) ** phi)) % (phi - log2(boltzmann)))))
-897.0,6,"((nroot(n, acos((acos(log10(n)) min log10(n)))) ** catalan) + n)"
-896.0,6,ceil((n / (tanh((n / (n + n))) max tanh((e / n)))))
-896.0,6,((sqrt(cosh(log(cosh(n)))) min tan(atan(cosh((n min e))))) + n)
-896.0,6,((sqrt(cosh((euler_gamma - n))) min ((n % avogadro) + cosh(G))) + n)
-896.0,6,((((n + cos(n)) max phi) + (n + log_{pi}(n))) - euler_gamma)
-896.0,6,((((n + n) // phi) min sqrt((sqrt(factorial(n)) ** phi))) + n)
-896.0,6,(((((factorial(n) / n) + n) min (n * n)) ** euler_gamma) + n)
-896.0,6,((n + catalan) + (n + cos((n + (cos(n) max sin(n))))))
-896.0,6,(cosh(log2((n + atan((n // ((pi // catalan) * phi)))))) + n)
-896.0,6,ceil((phi ** (n - (n % sqrt(((n ** n) % tanh(n)))))))
-896.0,6,"((n + (cos(n) + n)) + (n // nroot(c, (n * e))))"
-896.0,6,(n + ((((n << n) / n) // (G + n)) min cosh(e)))
-896.0,6,ceil(((phi ** tanh((atan(avogadro) ** ((n << n) % e)))) ** n))
-896.0,6,((n ** catalan) + ((cosh((log2(n) - n)) max n) min log10(c)))
-895.0,6,((n + cosh(log2((n * log10((e * n)))))) min (n + cosh(e)))
-895.0,6,((n + sqrt(((factorial(n) + factorial(n)) // n))) min (n // log10(e)))
-895.0,6,((n + ((n / euler_gamma) ** tan(log10(n)))) min (pi + (n / euler_gamma)))
-895.0,6,(n + (n ** (((n ** euler_gamma) - atan(n)) ** (n % atan(n)))))
-894.0,6,(n + cosh(((n ** catalan) * (euler_gamma min ((euler_gamma + (phi ** n)) % n)))))
-894.0,6,(n + (n ** (((avogadro % (n * (n + n))) % cos(avogadro)) + catalan)))
-894.0,6,((sqrt(n) ** sqrt((cos((((G + pi) - n) % e)) + n))) + n)
-893.0,6,sinh((sqrt((sinh(sqrt(n)) + n)) min sqrt((sinh(log_{ceil(pi)}(log10(avogadro))) + n))))
-893.0,6,(((n ** catalan) ** (n / (((n ** catalan) max (e * phi)) // catalan))) + n)
-893.0,6,(n + ((n max ((n // sin(cosh(n))) max (n // sin(factorial(n))))) ** catalan))
-893.0,6,(n + (n ** (atan(log10(factorial(n))) min cosh(sin((n - (log10(n) / pi)))))))
-892.0,6,"(sinh(nroot(n, nroot(((phi ** (n | (n // (n max euler_gamma)))) + n), n))) + n)"
-892.0,6,((phi ** (n - (catalan max tan(((phi ** n) + (n - catalan)))))) + (n ** catalan))
-892.0,6,ceil((ceil((phi ** n)) / cosh(cos(((ceil((phi ** n)) / n) / cosh(cos(avogadro)))))))
-892.0,6,(n + (n ** atan(((cos(n) min cos(atan(((c min euler_gamma) - pi)))) + sqrt(pi)))))
-545.0,5,"cosh(cosh(nroot(n, e)))"
-545.0,5,"cosh(cosh(nroot(n, e)))"
-545.0,5,"cosh(cosh(nroot(n, e)))"
-545.0,5,"cosh(cosh(nroot(n, e)))"
-545.0,5,"sinh(cosh(nroot(n, e)))"
-545.0,5,"sinh(cosh(nroot(n, e)))"
-545.0,5,"sinh(cosh(nroot(n, e)))"
-545.0,5,"cosh(cosh(nroot(n, e)))"
-545.0,5,"sinh(cosh(nroot(n, e)))"
-545.0,5,"sinh(cosh(nroot(n, e)))"
-545.0,5,"cosh(cosh(nroot(n, e)))"
-545.0,5,"sinh(cosh(nroot(n, e)))"
-545.0,5,"cosh(cosh(nroot(n, e)))"
-545.0,5,"sinh(cosh(nroot(n, e)))"
-545.0,5,"sinh(cosh(nroot(n, e)))"
-545.0,5,"sinh(cosh(nroot(n, e)))"
-545.0,5,"cosh(cosh(nroot(n, e)))"
-545.0,5,"sinh(cosh(nroot(n, e)))"
-545.0,5,"cosh(cosh(nroot(n, e)))"
-545.0,5,"sinh(cosh(nroot(n, e)))"
-545.0,5,"sinh(cosh(nroot(n, e)))"
-545.0,5,"cosh(cosh(nroot(n, e)))"
-545.0,5,"sinh(cosh(nroot(n, e)))"
-545.0,5,"sinh(cosh(nroot(n, e)))"
-545.0,5,"sinh(cosh(nroot(n, e)))"
-544.0,5,(sin(catalan) + (phi ** n))
-544.0,5,(sin(avogadro) + (phi ** n))
-544.0,5,(sin(catalan) + (phi ** n))
-544.0,5,(cos(euler_gamma) + (phi ** n))
-544.0,5,((phi ** n) + cos(euler_gamma))
-544.0,5,((phi ** n) + sin(avogadro))
-544.0,5,((phi ** n) + cos(euler_gamma))
-544.0,5,(sin(catalan) + (phi ** n))
-544.0,5,((phi ** n) + cos(euler_gamma))
-544.0,5,(sin(catalan) + (phi ** n))
-544.0,5,(sin(avogadro) + (phi ** n))
-544.0,5,((phi ** n) + cos(euler_gamma))
-544.0,5,((phi ** n) + cos(euler_gamma))
-544.0,5,((phi ** n) + sin(catalan))
-544.0,5,(sin(avogadro) + (phi ** n))
-544.0,5,(sin(avogadro) + (phi ** n))
-544.0,5,((phi ** n) + cos(euler_gamma))
-544.0,5,(sin(catalan) + (phi ** n))
-544.0,5,(sin(catalan) + (phi ** n))
-544.0,5,((phi ** n) + cos(euler_gamma))
-544.0,5,(cos(euler_gamma) + (phi ** n))
-544.0,5,(sin(avogadro) + (phi ** n))
-544.0,5,((phi ** n) + cos(euler_gamma))
-544.0,5,(sin(catalan) + (phi ** n))
-544.0,5,((phi ** n) + sin(catalan))
-544.0,5,(sin(avogadro) + (phi ** n))
-544.0,5,(sin(catalan) + (phi ** n))
-544.0,5,(log2(e) ** (n + phi))
-544.0,5,((phi ** n) + cos(euler_gamma))
-544.0,5,((phi ** n) + sin(catalan))
-544.0,5,(cos(euler_gamma) + (phi ** n))
-544.0,5,((phi ** n) + cos(euler_gamma))
-544.0,5,(log2(e) ** (n + phi))
-544.0,5,(cos(euler_gamma) + (phi ** n))
-544.0,5,((phi ** n) + sin(catalan))
-544.0,5,(cos(euler_gamma) + (phi ** n))
-544.0,5,(sin(avogadro) + (phi ** n))
-544.0,5,((phi ** n) - cos(c))
-544.0,5,((phi ** n) + cos(euler_gamma))
-544.0,5,(cos(euler_gamma) + (phi ** n))
-544.0,5,((phi ** n) + sin(avogadro))
-544.0,5,(cos(euler_gamma) + (phi ** n))
-544.0,5,((phi ** n) + sin(catalan))
-544.0,5,((phi ** n) + sin(avogadro))
-544.0,5,ceil(sqrt((phi * cosh(n))))
-544.0,5,(sin(avogadro) + (phi ** n))
-544.0,5,((phi ** n) + sin(catalan))
-544.0,5,(sin(catalan) + (phi ** n))
-544.0,5,((phi ** n) + cos(euler_gamma))
-544.0,5,((phi ** n) + sin(avogadro))
-544.0,5,((phi ** n) + sin(catalan))
-544.0,5,(cos(euler_gamma) + (phi ** n))
-544.0,5,((phi ** n) + sin(avogadro))
-544.0,5,((phi ** n) + sin(catalan))
-544.0,5,(cos(euler_gamma) + (phi ** n))
-544.0,5,((phi ** n) + sin(catalan))
-544.0,5,(sin(catalan) + (phi ** n))
-544.0,5,(sin(avogadro) + (phi ** n))
-544.0,5,((phi ** n) + sin(catalan))
-544.0,5,((phi ** n) + sin(catalan))
-544.0,5,(sin(catalan) + (phi ** n))
-544.0,5,((phi ** n) + cos(euler_gamma))
-544.0,5,((phi ** n) + cos(euler_gamma))
-544.0,5,(cos(euler_gamma) + (phi ** n))
-544.0,5,(sin(catalan) + (phi ** n))
-544.0,5,(sin(catalan) + (phi ** n))
-544.0,5,(sin(catalan) + (phi ** n))
-544.0,5,((phi ** n) + cos(euler_gamma))
-544.0,5,(sin(avogadro) + (phi ** n))
-544.0,5,((phi ** n) + sin(avogadro))
-544.0,5,((phi ** n) + cos(euler_gamma))
-544.0,5,((phi ** n) + sin(avogadro))
-544.0,5,((phi ** n) + sin(catalan))
-544.0,5,(log2(e) ** (phi + n))
-544.0,5,((phi ** n) + cos(euler_gamma))
-544.0,5,((phi ** n) + sin(catalan))
-544.0,5,((phi ** n) + sin(catalan))
-544.0,5,ceil((acos(log10(catalan)) ** n))
-544.0,5,(sin(avogadro) + (phi ** n))
-544.0,5,(cos(euler_gamma) + (phi ** n))
-544.0,5,(cos(euler_gamma) + (phi ** n))
-544.0,5,(sin(avogadro) + (phi ** n))
-544.0,5,((phi ** n) + cos(euler_gamma))
-544.0,5,((phi ** n) + sin(catalan))
-544.0,5,((phi ** n) + sin(catalan))
-544.0,5,(cos(euler_gamma) + (phi ** n))
-544.0,5,((phi ** n) + cos(euler_gamma))
-544.0,5,((phi ** n) + sin(catalan))
-544.0,5,(log2(e) ** (phi + n))
-544.0,5,ceil(sqrt((sinh(n) * phi)))
-544.0,5,((phi ** n) + cos(euler_gamma))
-544.0,5,((phi ** n) + cos(euler_gamma))
-544.0,5,((phi ** n) + sin(avogadro))
-544.0,5,(cos(euler_gamma) + (phi ** n))
-544.0,5,(sin(catalan) + (phi ** n))
-544.0,5,((phi ** n) + sin(avogadro))
-544.0,5,((phi ** n) + cos(euler_gamma))
-544.0,5,((phi ** n) + sin(catalan))
-544.0,5,((phi ** n) + sin(catalan))
-544.0,5,(sin(catalan) + (phi ** n))
-544.0,5,((phi ** n) - log2(euler_gamma))
-544.0,5,((phi ** n) + cos(euler_gamma))
-544.0,5,((phi ** n) + cos(euler_gamma))
-544.0,5,((phi ** n) + sin(avogadro))
-544.0,5,(log2(e) ** (n + phi))
-544.0,5,(sin(catalan) + (phi ** n))
-544.0,5,((phi ** n) + sin(catalan))
-544.0,5,(sin(catalan) + (phi ** n))
-544.0,5,(cos(euler_gamma) + (phi ** n))
-544.0,5,((phi ** n) + sin(avogadro))
-544.0,5,(cos(euler_gamma) + (phi ** n))
-544.0,5,ceil(sinh((phi ** log2(n))))
-544.0,5,(sin(avogadro) + (phi ** n))
-544.0,5,((phi ** n) + cos(euler_gamma))
-544.0,5,((phi ** n) + sin(catalan))
-544.0,5,((phi ** n) + cos(euler_gamma))
-544.0,5,((phi ** n) + sin(catalan))
-544.0,5,(cos(euler_gamma) + (phi ** n))
-544.0,5,((phi ** n) + sin(avogadro))
-544.0,5,(cos(euler_gamma) + (phi ** n))
-544.0,5,ceil(sinh((phi ** log2(n))))
-544.0,5,(cos(euler_gamma) + (phi ** n))
-544.0,5,(cos(euler_gamma) + (phi ** n))
-544.0,5,((phi ** n) + sin(catalan))
-544.0,5,((phi ** n) + cos(euler_gamma))
-544.0,5,(cos(euler_gamma) + (phi ** n))
-544.0,5,((phi ** n) + cos(euler_gamma))
-544.0,5,((phi ** n) + cos(euler_gamma))
-544.0,5,((phi ** n) + sin(avogadro))
-544.0,5,(cos(euler_gamma) + (phi ** n))
-544.0,5,((phi ** n) + cos(euler_gamma))
-544.0,5,(cos(euler_gamma) + (phi ** n))
-544.0,5,((phi ** n) - log2(euler_gamma))
-544.0,5,((phi ** n) + sin(avogadro))
-544.0,5,(sin(avogadro) + (phi ** n))
-544.0,5,((phi ** n) + sin(avogadro))
-544.0,5,(sin(catalan) + (phi ** n))
-544.0,5,(sin(catalan) + (phi ** n))
-544.0,5,((phi ** n) + sin(catalan))
-544.0,5,cosh(sqrt((n / atan(euler_gamma))))
-544.0,5,((phi ** n) + sin(avogadro))
-544.0,5,(sin(catalan) + (phi ** n))
-544.0,5,ceil(cosh((phi ** log2(n))))
-544.0,5,((phi ** n) + sin(avogadro))
-544.0,5,(cos(euler_gamma) + (phi ** n))
-544.0,5,(cos(euler_gamma) + (phi ** n))
-544.0,5,((phi ** n) + cos(euler_gamma))
-544.0,5,((phi ** n) + sin(catalan))
-544.0,5,ceil((acos(log10(catalan)) ** n))
-544.0,5,((phi ** n) + sin(catalan))
-544.0,5,((phi ** n) + sin(avogadro))
-544.0,5,(sin(catalan) + (phi ** n))
-544.0,5,(cos(euler_gamma) + (phi ** n))
-544.0,5,(sin(avogadro) + (phi ** n))
-544.0,5,(sin(catalan) + (phi ** n))
-544.0,5,(sin(avogadro) + (phi ** n))
-544.0,5,ceil((acos(log10(catalan)) ** n))
-544.0,5,((phi ** n) + sin(catalan))
-544.0,5,((phi ** n) + cos(euler_gamma))
-544.0,5,((phi ** n) + sin(avogadro))
-544.0,5,((phi ** n) + cos(euler_gamma))
-544.0,5,((phi ** n) + sin(avogadro))
-544.0,5,((phi ** n) + cos(euler_gamma))
-544.0,5,(sin(catalan) + (phi ** n))
-544.0,5,(cos(euler_gamma) + (phi ** n))
-544.0,5,ceil((cosh(sinh(catalan)) ** n))
-543.0,5,sinh(sqrt((sinh(sqrt(n)) + n)))
-543.0,5,ceil(((phi ** tanh(pi)) ** n))
-543.0,5,sinh(sqrt((n + sinh(sqrt(n)))))
-543.0,5,((phi ** n) + (n % phi))
-543.0,5,ceil(((phi ** n) ** tanh(pi)))
-543.0,5,ceil(((phi ** tanh(pi)) ** n))
-543.0,5,sinh(sqrt((n + sinh(sqrt(n)))))
-543.0,5,sinh(sqrt((n + sinh(sqrt(n)))))
-543.0,5,ceil((ceil((phi ** n)) * catalan))
-543.0,5,(sqrt(sinh(n)) + (n ** euler_gamma))
